N,PnL,PF,WR,Avg,AvgWin,AvgLoss,DD,Max,Min,policy,journey_type
237,14144.759999999995,8.78647788701845,0.6413502109704642,59.6825316455696,105.00881578947367,-21.371529411764737,187.39000000000124,1213.83,-122.0600000000004,ALL_OPEN_HA1,MULTI
65,-281.5399999999979,0.6503216831855348,0.15384615384615385,-4.331384615384583,52.360000000000056,-14.638909090909063,577.8499999999988,394.10000000000036,-35.86000000000058,ALL_OPEN_HA1,SINGLE
237,12649.510000000006,6.129919743047977,0.5991561181434599,53.37345991561184,106.4460563380282,-25.956105263157912,199.98999999999796,1213.83,-122.0600000000004,ALL_OPEN_HA2,MULTI
65,-546.9399999999973,0.4136829467004003,0.06153846153846154,-8.414461538461497,96.47500000000014,-15.292459016393408,659.4299999999976,287.75,-50.82999999999993,ALL_OPEN_HA2,SINGLE
237,12455.379999999996,6.180136829628395,0.5991561181434599,52.55434599156116,104.64669014084507,-25.31000000000001,197.97000000000116,1213.83,-122.0600000000004,ANCHOR_ONLY_HA1,MULTI
65,-281.5399999999979,0.6503216831855348,0.15384615384615385,-4.331384615384583,52.360000000000056,-14.638909090909063,577.8499999999988,394.10000000000036,-35.86000000000058,ANCHOR_ONLY_HA1,SINGLE
237,11714.790000000003,5.2420760654265495,0.5822784810126582,49.42949367088609,104.90115942028989,-27.89464646464648,199.98999999999796,1213.83,-122.0600000000004,ANCHOR_ONLY_HA2,MULTI
65,-546.9399999999973,0.4136829467004003,0.06153846153846154,-8.414461538461497,96.47500000000014,-15.292459016393408,659.4299999999976,287.75,-50.82999999999993,ANCHOR_ONLY_HA2,SINGLE
237,9483.07,3.688196458285497,0.5358649789029536,40.012953586497886,102.44677165354331,-32.06972727272727,300.96000000000004,1213.83,-217.78999999999996,BASE,MULTI
65,-952.3299999999977,0.26927651215788057,0.06153846153846154,-14.651230769230732,87.73500000000013,-21.365081967213083,989.4999999999977,287.75,-108.38999999999942,BASE,SINGLE
