phase,state,window,year,N,accuracy
phase0,A,5,2024,46,0.5
phase0,A,5,2025,27,0.5555555555555556
phase0,A,5,2026,12,0.5833333333333334
phase0,A,5,ALL,85,0.5294117647058824
phase0,B,5,2024,34,0.5882352941176471
phase0,B,5,2025,17,0.7647058823529411
phase0,B,5,2026,13,0.6923076923076923
phase0,B,5,ALL,64,0.65625
phase0,C,5,2024,21,0.5714285714285714
phase0,C,5,2025,21,0.6190476190476191
phase0,C,5,2026,9,0.3333333333333333
phase0,C,5,ALL,51,0.5490196078431373
phase0,D,5,2024,68,0.5294117647058824
phase0,D,5,2025,38,0.5263157894736842
phase0,D,5,2026,24,0.5416666666666666
phase0,D,5,ALL,130,0.5307692307692308
phase2,A,5,2024,53,0.4339622641509434
phase2,A,5,2025,35,0.6285714285714286
phase2,A,5,2026,11,0.5454545454545454
phase2,A,5,ALL,99,0.5151515151515151
phase2,B,5,2024,34,0.6470588235294118
phase2,B,5,2025,18,0.6666666666666666
phase2,B,5,2026,11,0.6363636363636364
phase2,B,5,ALL,63,0.6507936507936508
phase2,C,5,2024,30,0.5
phase2,C,5,2025,19,0.5789473684210527
phase2,C,5,2026,7,0.42857142857142855
phase2,C,5,ALL,56,0.5178571428571429
phase2,D,5,2024,74,0.581081081081081
phase2,D,5,2025,47,0.5106382978723404
phase2,D,5,2026,25,0.48
phase2,D,5,ALL,146,0.541095890410959
