year,m5_index,source_start,decision,slow_target,h4_atr14_prev,p15_double_formula,python_X_p15,feature_max_abs_vs_X_float32
2024,141640,2024-01-02 01:00:00,2024-01-02 01:05:00,2.124222626753915,8.49689050701566,0.3400513724143449,0.340051583886722,1.864963110165263e-06
2024,159401,2024-04-02 14:10:00,2024-04-02 14:15:00,3.4227628877473957,13.691051550989583,0.08486464081726208,0.0848646285456439,3.5603841155307236e-06
2024,177170,2024-07-02 04:55:00,2024-07-02 05:00:00,2.365934133182087,9.463736532728348,0.15272225122104652,0.15272222391781223,1.7801920577653618e-06
2024,194926,2024-09-30 17:35:00,2024-09-30 17:40:00,3.3834142480227904,13.533656992091162,0.6615576284907962,0.661557701241108,1.0172526060614473e-05
2024,212695,2024-12-31 19:00:00,2024-12-31 19:05:00,2.6829263595613133,10.731705438245253,0.20770531919022828,0.20770515649552776,4.069010429930131e-06
2025,212708,2025-01-02 08:00:00,2025-01-02 08:05:00,2.603135483499301,10.412541933997204,0.667315003744101,0.6673150006917661,6.103515630684342e-06
2025,230371,2025-04-02 13:00:00,2025-04-02 13:05:00,4.599281642615563,18.39712657046225,0.07815304647542275,0.07815301076792242,4.069010429930131e-06
2025,248037,2025-07-02 18:15:00,2025-07-02 18:20:00,4.210042230610787,16.840168922443148,0.40595691261778954,0.4059569145336889,5.0862630303072365e-06
2025,265712,2025-10-01 02:40:00,2025-10-01 02:45:00,6.615554793357053,26.462219173428213,0.006804783548908345,0.006804782342129691,2.7126736199534207e-06
2025,283379,2025-12-31 18:55:00,2025-12-31 19:00:00,11.439106868284211,45.756427473136846,0.0546588539900077,0.054658791380834335,1.2207031261368684e-05
2026,283392,2026-01-02 08:00:00,2026-01-02 08:05:00,11.26881352054963,45.07525408219852,0.46040393282530834,0.46040373637592114,1.0172526060614473e-05
2026,295047,2026-03-03 18:25:00,2026-03-03 18:30:00,18.023888501134643,72.09555400453857,0.5726826352259462,0.5726825646402307,1.6276041719720524e-05
2026,306714,2026-05-04 01:40:00,2026-05-04 01:45:00,10.127159573872067,40.50863829548827,0.0698409438827856,0.06984088645534144,3.0517578011313162e-06
2026,318369,2026-07-01 13:35:00,2026-07-01 13:40:00,9.461492521466852,37.84597008586741,0.1026716788204512,0.10267172969548724,6.103515630684342e-06
2026,330024,2026-08-28 22:55:00,2026-08-28 23:00:00,11.003096797635378,44.01238719054151,0.28737330291091306,0.28737319009972606,8.138020859860262e-06
