sl_bin_gold,trades,wins,losses,win_rate,pnl,pf,avg_win,avg_loss,median_hold_h
<10,148,75,73,0.5067567567567568,98.66999999999996,1.186268217171336,8.378533333333335,-7.256438356164384,4.075138888888889
10-20,428,250,178,0.5841121495327103,393.58,1.1694595618627721,10.864559999999999,-13.04808988764045,10.854722222222222
20-40,445,270,175,0.6067415730337079,871.0899999999995,1.2426786052575858,16.520629629629628,-20.51131428571429,19.535833333333333
40-80,214,137,77,0.6401869158878505,1876.47,1.5272153090152025,39.67649635036496,-46.2235064935065,16.00347222222222
80-120,55,40,15,0.7272727272727273,1010.4399999999998,2.0140907266158172,50.17100000000001,-66.42666666666666,24.185833333333335
120+,32,23,9,0.71875,704.36,1.6937798571780354,74.76565217391305,-112.80555555555554,26.611944444444443
