role,trades,wins,losses,win_rate,pnl,pf,avg_win,avg_loss,median_hold_h
ANCHOR_CHILD,355,132,223,0.37183098591549296,2439.4300000000003,1.4983859961672512,55.56128787878787,-21.949147982062783,60.92638888888889
CONTINUATION_CHILD,967,663,304,0.6856256463288521,2515.18,1.3533568606735638,14.529622926093513,-23.41434210526316,6.6386111111111115
