child_risk_target,start_balance,end_balance,end_equity,max_balance,min_balance,max_balance_dd,entries,closed,median_lot,max_lot,minimum_lot_oversize_share,max_concurrent
0.01,1000.0,5352.100000000007,5368.570000000006,5648.14,996.2599999999999,0.1859286922915188,459,457,0.01,0.04,0.8823529411764706,2
0.02,1000.0,4782.9800000000005,4799.45,5484.219999999998,996.2599999999999,0.19959994310950327,459,457,0.01,0.09,0.38344226579520696,2
0.03,1000.0,4840.579999999995,4882.209999999995,6525.310000000002,996.2599999999999,0.3140034726319525,459,457,0.01,0.14,0.12854030501089325,2
0.04,1000.0,5584.319999999996,5642.419999999995,8640.94,996.2599999999999,0.42999025568977506,459,457,0.02,0.22,0.015250544662309368,2
0.05,1000.0,7453.280000000004,7569.480000000001,13558.57,1000.0,0.537678383487344,459,457,0.03,0.38,0.0,2
0.06,1000.0,8740.009999999987,8897.839999999984,19512.549999999996,912.14,0.6347566053642403,459,457,0.04,0.55,0.0,2
0.07,1000.0,15766.839999999976,16115.439999999968,42321.29,1000.0,0.7109492645427401,459,457,0.08,1.19,0.0,2
0.08,1000.0,14924.099999999997,15289.169999999987,48560.259999999995,975.9799999999998,0.7651620893298346,459,457,0.09,1.36,0.0,2
0.1,1000.0,21172.21999999999,21852.949999999975,106529.39,970.3599999999999,0.8546661160830827,459,457,0.17,2.7600000000000002,0.0,2
