exit_reason,trades,wins,losses,win_rate,pnl,pf,avg_win,avg_loss,median_hold_h
CHALLENGE_OPENS,232,132,100,0.5689655172413793,5529.4800000000005,4.064085868968918,55.56128787878787,-18.046100000000003,92.8423611111111
NEXT_H4_LIQ,761,663,98,0.871222076215506,7901.62,5.563400942524487,14.529622926093513,-17.66857142857143,6.521111111111111
STRUCTURAL_SL,255,0,255,0.0,-6324.7,0.0,,-24.802745098039214,7.036666666666667
TICK_COLLISION_STOP_CHALLENGE_OPENS,30,0,30,0.0,-978.86,0.0,,-32.62866666666667,19.984305555555558
TICK_COLLISION_STOP_NEXT_H4_LIQ,44,0,44,0.0,-1172.93,0.0,,-26.657500000000002,11.656805555555556
