hold_bin,trades,wins,losses,win_rate,pnl,pf,avg_win,avg_loss,median_hold_h
<1h,266,231,35,0.868421052631579,637.14,2.136958189832081,5.184112554112554,-16.011142857142858,0.13055555555555554
1-4h,158,90,68,0.569620253164557,22.019999999999982,1.0201452802224944,12.389777777777777,-16.074411764705886,2.1197222222222223
4-12h,202,103,99,0.5099009900990099,-328.91,0.8354717849443002,16.215533980582524,-20.193030303030305,6.57
12-24h,202,104,98,0.5148514851485149,-866.6700000000001,0.6984939832386491,19.30576923076923,-29.331326530612248,18.425694444444446
1-3d,274,120,154,0.43795620437956206,-1373.52,0.6682374935689495,23.054583333333333,-26.883571428571425,42.21055555555556
3-7d,179,108,71,0.6033519553072626,2946.57,3.2094524677194403,39.63138888888889,-18.783380281690143,96.88777777777777
7d+,41,39,2,0.9512195121951219,3917.9800000000005,330.24201680672275,100.76615384615386,-5.949999999999999,207.23277777777778
