session_source_time,trades,wins,losses,win_rate,pnl,pf,avg_win,avg_loss,median_hold_h
00-08,285,174,111,0.6105263157894737,1693.52,1.548735994193544,27.469770114942527,-27.803783783783786,10.698055555555555
08-13,284,163,121,0.573943661971831,1280.11,1.6799366863371028,19.403680981595095,-15.559421487603306,6.729722222222222
13-17,412,246,166,0.5970873786407767,1001.9199999999998,1.2754351095093177,18.859796747967476,-21.91319277108434,18.565416666666668
17-24,341,212,129,0.6217008797653959,979.0600000000001,1.2874414289572884,20.684811320754715,-26.40403100775194,20.49
