direction,trades,wins,losses,win_rate,pnl,pf,avg_win,avg_loss,median_hold_h
DOWN,591,335,256,0.5668358714043993,118.40999999999994,1.0190899197936398,18.869134328358207,-24.229492187500004,12.395
UP,731,460,271,0.6292749658002736,4836.200000000001,1.832411052226642,23.143630434782608,-21.438634686346862,15.69138888888889
