head,C,year,auc
RUNWAY,0.02,2023,0.8234774239400385
RUNWAY,0.02,2024,0.8121779339096575
RUNWAY,0.02,2025,0.8279333237119353
RUNWAY,0.02,2026,0.8099652584018865
RUNWAY,0.05,2023,0.831701681829268
RUNWAY,0.05,2024,0.8118763689462156
RUNWAY,0.05,2025,0.8306470733769045
RUNWAY,0.05,2026,0.8123413677029144
RUNWAY,0.1,2023,0.8350795020337729
RUNWAY,0.1,2024,0.8112467859523634
RUNWAY,0.1,2025,0.8313222893429272
RUNWAY,0.1,2026,0.8128693919920317
RUNWAY,0.2,2023,0.8369231414776914
RUNWAY,0.2,2024,0.8104426127165183
RUNWAY,0.2,2025,0.8316985547285735
RUNWAY,0.2,2026,0.8131334041365903
RUNWAY,0.5,2023,0.8374791180952031
RUNWAY,0.5,2024,0.8099876199646587
RUNWAY,0.5,2025,0.8318557614992887
RUNWAY,0.5,2026,0.8131994071727299
RUNWAY,1.0,2023,0.837324388753537
RUNWAY,1.0,2024,0.8098765170833907
RUNWAY,1.0,2025,0.8319098818629775
RUNWAY,1.0,2026,0.8130193988923491
RUNWAY,2.0,2023,0.837211619911306
RUNWAY,2.0,2024,0.8096516660141578
RUNWAY,2.0,2025,0.8318738016205184
RUNWAY,2.0,2026,0.8130854019284888
RUNWAY,5.0,2023,0.8369913272892731
RUNWAY,5.0,2024,0.8095484990529802
RUNWAY,5.0,2025,0.8318660701399914
RUNWAY,5.0,2026,0.8131274038605776
PERSIST,0.02,2023,0.7491894690474251
PERSIST,0.02,2024,0.7603600328071229
PERSIST,0.02,2025,0.7770642181546374
PERSIST,0.02,2026,0.7592838229230319
PERSIST,0.05,2023,0.750082984173509
PERSIST,0.05,2024,0.7598167705277044
PERSIST,0.05,2025,0.7780527341201655
PERSIST,0.05,2026,0.7577288602073615
PERSIST,0.1,2023,0.7497343462621631
PERSIST,0.1,2024,0.7590642360083539
PERSIST,0.1,2025,0.7780947515773131
PERSIST,0.1,2026,0.7569737345435216
PERSIST,0.2,2023,0.7486425041805236
PERSIST,0.2,2024,0.7584956073968225
PERSIST,0.2,2025,0.7780129281081309
PERSIST,0.2,2026,0.7567104341475774
PERSIST,0.5,2023,0.7475360485337375
PERSIST,0.5,2024,0.7580347856967709
PERSIST,0.5,2025,0.7777962064870532
PERSIST,0.5,2026,0.7563875185676459
PERSIST,1.0,2023,0.7467698801896423
PERSIST,1.0,2024,0.7577240481283876
PERSIST,1.0,2025,0.7776812113411752
PERSIST,1.0,2026,0.7563080316556627
PERSIST,2.0,2023,0.7464066287131503
PERSIST,2.0,2024,0.7575887610237851
PERSIST,2.0,2025,0.777674577005836
PERSIST,2.0,2026,0.7561738974916912
PERSIST,5.0,2023,0.7459890982804009
PERSIST,5.0,2024,0.7574259937260605
PERSIST,5.0,2025,0.777676788450949
PERSIST,5.0,2026,0.7560795067837112
WIN,0.02,2023,0.5334962554197871
WIN,0.02,2024,0.5102712015371781
WIN,0.02,2025,0.5196560583849561
WIN,0.02,2026,0.536404656378491
WIN,0.05,2023,0.5312709048932935
WIN,0.05,2024,0.5092550582400649
WIN,0.05,2025,0.5195378383064579
WIN,0.05,2026,0.5363557074455777
WIN,0.1,2023,0.5296717157497607
WIN,0.1,2024,0.5091609708977396
WIN,0.1,2025,0.5199102315537271
WIN,0.1,2026,0.5361866111318774
WIN,0.2,2023,0.5281063122923588
WIN,0.2,2024,0.5093658722210258
WIN,0.2,2025,0.5201584937185731
WIN,0.2,2026,0.5361154126840035
WIN,0.5,2023,0.5260971901571034
WIN,0.5,2024,0.5095373202670408
WIN,0.5,2025,0.5201230276950237
WIN,0.5,2026,0.5362088606468378
WIN,1.0,2023,0.5248245959795034
WIN,1.0,2024,0.5095770460338004
WIN,1.0,2025,0.5195102536214751
WIN,1.0,2026,0.5361020629750272
WIN,2.0,2023,0.5237614730559152
WIN,2.0,2024,0.5099115788065125
WIN,2.0,2025,0.5197604861209628
WIN,2.0,2026,0.5362622594827433
WIN,5.0,2023,0.523047468889014
WIN,5.0,2024,0.5098969429977063
WIN,5.0,2025,0.5199654009236929
WIN,5.0,2026,0.536133212295972
SEVERE,0.02,2023,0.7272718662868226
SEVERE,0.02,2024,0.716164900349954
SEVERE,0.02,2025,0.7099095732448504
SEVERE,0.02,2026,0.7199544564890094
SEVERE,0.05,2023,0.7328634531458359
SEVERE,0.05,2024,0.7181523646242816
SEVERE,0.05,2025,0.7119813397286376
SEVERE,0.05,2026,0.7186417871123156
SEVERE,0.1,2023,0.7350587950054551
SEVERE,0.1,2024,0.7186621177090513
SEVERE,0.1,2025,0.7128478268011433
SEVERE,0.1,2026,0.7178890018066847
SEVERE,0.2,2023,0.7360418687113589
SEVERE,0.2,2024,0.7190592287264
SEVERE,0.2,2025,0.713125020532869
SEVERE,0.2,2026,0.7174514453477868
SEVERE,0.5,2023,0.7360172445144866
SEVERE,0.5,2024,0.718917948845228
SEVERE,0.5,2025,0.7133262426492328
SEVERE,0.5,2026,0.7173808717253838
SEVERE,1.0,2023,0.7360475512183295
SEVERE,1.0,2024,0.7188320354039746
SEVERE,1.0,2025,0.7134453332895299
SEVERE,1.0,2026,0.7173432324601023
SEVERE,2.0,2023,0.7359471602618499
SEVERE,2.0,2024,0.7188263078412244
SEVERE,2.0,2025,0.7135397844870068
SEVERE,2.0,2026,0.7174279208069859
SEVERE,5.0,2023,0.7357937325736452
SEVERE,5.0,2024,0.7188377629667247
SEVERE,5.0,2025,0.7134781858799567
SEVERE,5.0,2026,0.7173761668172238
STOP,0.02,2023,0.7719868655483161
STOP,0.02,2024,0.7882531071969324
STOP,0.02,2025,0.782273368136265
STOP,0.02,2026,0.787272100596639
STOP,0.05,2023,0.7832944578811013
STOP,0.05,2024,0.7938673028114549
STOP,0.05,2025,0.7849890129431341
STOP,0.05,2026,0.785204069504861
STOP,0.1,2023,0.7891838737164646
STOP,0.1,2024,0.7960197379170615
STOP,0.1,2025,0.7859213250517598
STOP,0.1,2026,0.784110627778174
STOP,0.2,2023,0.7927558248625013
STOP,0.2,2024,0.7966667755955688
STOP,0.2,2025,0.7860610448500551
STOP,0.2,2026,0.7838966935273004
STOP,0.5,2023,0.7941092930979575
STOP,0.5,2024,0.7969390978508328
STOP,0.5,2025,0.7861982242883815
STOP,0.5,2026,0.7837184149849058
STOP,1.0,2023,0.7943761135450108
STOP,1.0,2024,0.797137348452665
STOP,1.0,2025,0.7862769754474208
STOP,1.0,2026,0.7836649314221873
STOP,2.0,2023,0.7943180155444429
STOP,2.0,2024,0.7971264555624544
STOP,2.0,2025,0.7863328633667392
STOP,2.0,2026,0.783712472366826
STOP,5.0,2023,0.7940533468751882
STOP,5.0,2024,0.797098134047907
STOP,5.0,2025,0.786350645886522
STOP,5.0,2026,0.7837303002210654
SHOCK,0.02,2023,0.6922772277227723
SHOCK,0.02,2024,0.6899988100904332
SHOCK,0.02,2025,0.7002040122407345
SHOCK,0.02,2026,0.6685075431034482
SHOCK,0.05,2023,0.6931749174917492
SHOCK,0.05,2024,0.6867860542598763
SHOCK,0.05,2025,0.7038082284937097
SHOCK,0.05,2026,0.6544989224137931
SHOCK,0.1,2023,0.6901650165016502
SHOCK,0.1,2024,0.6831865778200856
SHOCK,0.1,2025,0.7047942876572595
SHOCK,0.1,2026,0.6462149784482758
SHOCK,0.2,2023,0.6846996699669967
SHOCK,0.2,2024,0.679408614945264
SHOCK,0.2,2025,0.7052363141788508
SHOCK,0.2,2026,0.6399515086206897
SHOCK,0.5,2023,0.6793135313531354
SHOCK,0.5,2024,0.6760173726796763
SHOCK,0.5,2025,0.703502210132608
SHOCK,0.5,2026,0.6361126077586208
SHOCK,1.0,2023,0.6757227722772278
SHOCK,1.0,2024,0.6753034269395526
SHOCK,1.0,2025,0.703332199931996
SHOCK,1.0,2026,0.634967672413793
SHOCK,2.0,2023,0.6745346534653466
SHOCK,2.0,2024,0.6742622560685388
SHOCK,2.0,2025,0.7040122407344441
SHOCK,2.0,2026,0.6349676724137931
SHOCK,5.0,2023,0.6725544554455445
SHOCK,5.0,2024,0.673875535459305
SHOCK,5.0,2025,0.7036042162529752
SHOCK,5.0,2026,0.6350350215517242
