decision,year,dir,k,L,rid,entry,stop,stop_dist_atr,pnl,R,stop_hit,early3,next_same,win,severe,shock,fast_body_rng,fast_body_atr,std_align,std_body_rng,slow_align,slow_body_rng,adx14,adx28_rel,di14_signed,di28_signed,ema8_21_signed,ema8_slope,path_eff4_rel,path_eff12_rel,flip4,flip8,flip12,m15_aligned,m15_transition,m15_same_mean,m15_opp_mean,m15_same_max,m15_opp_max,m15_len_adv,m15_streak,m15_body_sum_atr,m15_body_mean_atr,m15_body_eff,m15_body_rng,m15_opp_wick,m15_no_opp_wick,m30_aligned,m30_transition,m30_same_mean,m30_opp_mean,m30_same_max,m30_opp_max,m30_len_adv,m30_streak,m30_body_sum_atr,m30_body_mean_atr,m30_body_eff,m30_body_rng,m30_opp_wick,m30_no_opp_wick,h1_aligned,h1_transition,h1_same_mean,h1_opp_mean,h1_same_max,h1_opp_max,h1_len_adv,h1_streak,h1_body_sum_atr,h1_body_mean_atr,h1_body_eff,h1_body_rng,h1_opp_wick,h1_no_opp_wick,W,score,shock_score
2024-01-02 04:00:00,2024,1,2,4,976,2066.5,2061.12,0.6106298587633131,-0.1399999999998726,-0.0260223048326895,0,0,1,0,0,0,0.1966831235711755,0.1672032349211408,1,0.0894370896049649,0,-0.1851043402949296,23.53600404577432,1.1820523355128718,0.0070000065164538,0.0589537008697476,0.0244874979465824,-0.008436787280412,0.7860116073559043,0.9249076027466608,0.3333333333333333,0.4285714285714285,0.3636363636363636,0.5,0.2727272727272727,3.0,3.0,4,4,0,-2,0.7175998936183037,0.0597999911348586,0.5267241186302568,0.1346609915648522,0.2863157507804391,0.25,0.8333333333333334,0.4,2.5,1.0,3,1,2,3,0.650429388212972,0.1084048980354953,0.8271391710219782,0.2304783219233731,0.2197030028532794,0.1666666666666666,0.6666666666666666,0.5,2.0,1.0,2,1,1,2,0.2757151194329986,0.0919050398109995,0.7587621687331434,0.145186599181751,0.2735982160058268,0.3333333333333333,1.0,0.16618824342200783,0.0
2024-01-02 08:00:00,2024,1,3,4,976,2074.56,2062.28,1.3949412389670903,-8.199999999999818,-0.6677524429967417,0,0,1,0,1,0,0.5144940080879847,0.6422965073963252,1,0.4504041765759811,1,0.3863672764688914,22.789452922711167,1.1614642574970178,0.0490950691949807,0.0773773913641947,0.137283338192184,0.1946211791403332,0.8308546795781467,0.1216607386213471,0.3333333333333333,0.4285714285714285,0.2727272727272727,0.75,0.4666666666666667,3.0,1.0,6,1,5,4,0.8491138996596926,0.0530696187287307,0.5910933424500271,0.2943964247563453,0.2434535316805674,0.3125,0.875,0.1428571428571428,7.0,1.0,7,1,6,7,0.8121078310696385,0.1015134788837048,0.7843112214047862,0.3132488540653861,0.2295539540382434,0.25,1.0,0.0,4.0,0.0,4,0,4,4,1.1228600781143605,0.28071501952859,1.0,0.5398770298630664,0.0816015027922956,0.75,0.0,0.06386915605666531,0.0
2024-01-02 12:00:00,2024,1,4,4,976,2077.02,2063.93,1.484903633256765,-10.659999999999854,-0.8143621084797353,0,0,0,0,1,1,0.6781487875712832,0.7270891655398911,1,0.7079037893311504,1,0.728940597436717,22.63373082202434,1.1511184464900568,0.0795895358242766,0.0914991388571229,0.2519394273963051,0.215444961696113,1.6311709742288842,0.2058698747482958,0.0,0.2857142857142857,0.2727272727272727,0.75,0.2666666666666666,4.0,2.0,6,3,3,6,0.6301597110060174,0.039384981937876,0.444010594283557,0.1162673258145116,0.2884768093782205,0.1875,0.625,0.2857142857142857,2.5,3.0,3,3,0,2,0.4953690093761325,0.0619211261720165,0.4852356983670881,0.098664399133426,0.2455165986558051,0.375,0.75,0.6666666666666666,1.5,1.0,2,1,1,1,0.9319982675469276,0.2329995668867319,0.9648753763475116,0.3662598615811777,0.1311660250304349,0.5,0.0,0.02290559079258157,0.0
2024-01-02 16:00:00,2024,-1,1,4,977,2066.36,2078.9,1.4240252522737915,2.2600000000002183,0.1802232854864613,0,1,1,1,0,0,0.2961799635107657,0.4348849259992946,1,0.0045448201745551,0,-0.0544063578670897,21.282875327301262,1.1286737565808114,-0.0149625645172777,-0.0585752842905125,-0.1679519709817942,0.1037848326634056,0.0183966651229001,0.3664076833250203,0.3333333333333333,0.2857142857142857,0.3636363636363636,0.625,0.4,2.5,2.0,6,2,4,1,1.46052325435453,0.0912827033971581,0.6103681854869855,0.1731897170228603,0.2649440037483193,0.25,1.0,0.0,8.0,0.0,8,0,8,8,1.313854098418092,0.1642317623022615,1.0,0.2596971771131201,0.2533927799675773,0.375,0.75,0.3333333333333333,3.0,1.0,3,1,2,3,1.195339988753509,0.2988349971883772,0.7650449141076827,0.2993194671424583,0.1354613515171941,0.25,3.0,0.5353167338747319,0.12369593465309668
2024-01-02 20:00:00,2024,-1,2,4,977,2062.65,2077.75,1.7102856338464436,-1.449999999999818,-0.0960264900662137,0,0,1,0,0,0,0.4974139706677301,0.8779543724831325,1,0.485325394466975,1,0.4205633788311894,20.70941579544146,1.0859642836665775,0.0563867272333029,-0.0194895932293834,-0.0508716679373379,0.1716266198311015,1.1397963747860158,0.1269489947915326,0.3333333333333333,0.2857142857142857,0.3636363636363636,0.625,0.2666666666666666,3.333333333333333,3.0,4,4,0,4,0.6153211408815402,0.0384575713050962,0.197345366614456,0.0776649500764966,0.299348645544701,0.3125,0.625,0.5714285714285714,1.6666666666666667,1.5,2,2,0,2,0.5288274051225809,0.0661034256403226,0.3207901757035483,0.0634972249488163,0.2989376579074497,0.125,1.0,0.0,4.0,0.0,4,0,4,4,1.0640524527029636,0.2660131131757409,1.0,0.228735289703411,0.2353990514288268,0.0,1.0,0.14846076901202568,0.0
2024-01-03 00:00:00,2024,-1,3,4,977,2058.51,2071.4943822624286,1.4650655958599523,-5.589999999999691,-0.4305172080596318,0,0,1,0,0,0,0.6433000852320118,0.5530900338815143,1,0.6759429871771808,1,0.7381955816467501,20.176917658714498,1.0480613391502132,0.0533068598472831,-0.0189499739040408,0.0877730745530879,0.2265053084263422,1.5943591331887723,0.59080526927755,0.3333333333333333,0.2857142857142857,0.3636363636363636,0.75,0.4666666666666667,3.0,1.0,6,1,5,-1,0.7223235617244081,0.0451452226077755,0.6898968296612039,0.2203647242155916,0.2698731228428652,0.25,0.875,0.1428571428571428,7.0,1.0,7,1,6,-1,0.7342715964945574,0.0917839495618196,0.9556530991295528,0.355821696774508,0.1862053270602861,0.375,1.0,0.0,4.0,0.0,4,0,4,4,1.058580346982337,0.2646450867455842,1.0,0.6637813079869821,0.0243225353391519,0.75,0.0,0.08355864748761353,0.0
2024-01-03 04:00:00,2024,-1,4,4,977,2062.46,2067.6859411312143,0.5903659497092256,-1.639999999999873,-0.3138190727416017,0,0,0,0,0,0,0.2506006361593336,0.1160707561149275,1,0.6578775803600543,1,0.6958316709051129,19.68245510318232,1.013115395013895,0.0515191081442229,-0.0186343339915936,0.1321955766711734,0.0885179965983672,0.565740337583104,0.4896739734267696,0.0,0.1428571428571428,0.2727272727272727,0.1666666666666666,0.1818181818181818,2.0,5.0,2,6,-4,-4,-0.4587075671999331,-0.0382256305999944,-0.6787126620200866,-0.2068342350844465,0.4022963177199959,0.0833333333333333,0.0,0.0,0.0,6.0,0,6,-6,-6,-0.4332391429041872,-0.0722065238173645,-1.0,-0.3225482152085435,0.4534684428544178,0.0,0.3333333333333333,0.5,1.0,2.0,1,2,-1,-2,-0.1593767994220757,-0.0531255998073585,-0.4992957113226992,-0.0730309459793545,0.393715774686479,0.0,0.0,0.003486609332399038,0.0
2024-01-03 08:00:00,2024,1,1,1,978,2064.1,2058.44,0.6413135096011264,-5.659999999999855,-1.0,1,0,0,0,1,1,0.5189692615469118,0.2838474382857586,1,0.2445487993628289,0,-0.3182693441186503,18.6429871491296,0.9842857033419136,-0.0206790268586702,0.032400127642487,-0.1364942287418595,-0.0270040571559232,0.2639197980774897,0.08030272635814,0.3333333333333333,0.2857142857142857,0.2727272727272727,0.5625,0.4666666666666667,2.25,1.75,4,3,1,-1,0.386691521645146,0.0241682201028216,0.3977081635805843,0.083966468300904,0.281965693143253,0.0625,0.875,0.2857142857142857,3.5,1.0,6,1,5,1,0.3903208703504027,0.0487901087938003,0.6571606933055549,0.2103405436618641,0.2306360707466352,0.125,1.0,0.0,4.0,0.0,4,0,4,4,0.873421552548396,0.218355388137099,1.0,0.5766865598985085,0.0669277025076703,0.75,0.0,0.4516151929344501,0.22109053775064624
2024-01-03 12:00:00,2024,-1,1,4,979,2056.78,2065.95,1.0419211631452705,14.610000000000127,1.593238822246536,0,1,1,1,0,0,0.3170870243329198,0.4042377342628378,1,0.2550795580571448,1,0.4665141564697427,18.647344220182838,0.9494293269072498,0.0798085136316454,-0.0007500937226136,0.2460935607414486,0.2058882673877195,0.2807860363964918,0.1280945717779976,0.6666666666666666,0.4285714285714285,0.3636363636363636,0.75,0.2,6.0,2.0,7,3,4,7,1.2146198179677985,0.0759137386229873,0.7365716593035014,0.2299422524538118,0.2028391539879577,0.375,0.75,0.1428571428571428,6.0,2.0,6,2,4,6,0.9800272513997906,0.1225034064249738,0.9447311852217825,0.2940075355973686,0.1991657793374779,0.5,1.0,0.0,4.0,0.0,4,0,4,4,0.9300843533350532,0.2325210883337632,1.0,0.3308503256586065,0.1575321614694011,0.25,3.0,0.5250820956259726,0.17344627389602896
2024-01-03 16:00:00,2024,-1,2,4,979,2041.01,2065.4,2.7670352466224712,-1.160000000000082,-0.0475604756047592,0,0,1,0,0,0,0.6192839886558779,1.5206133970606417,1,0.5746821465039527,1,0.6661225846050463,20.071921209615446,0.9378254631206772,0.1871567801847882,0.0602674542878365,0.5526448135402411,0.5572168147842855,1.411045275080413,1.2148364258399924,0.6666666666666666,0.4285714285714285,0.3636363636363636,0.8125,0.2666666666666666,4.333333333333333,1.5,6,2,4,4,2.258390080177909,0.1411493800111193,0.8235596706272098,0.2835192402655326,0.2284230867781813,0.4375,1.0,0.0,8.0,0.0,8,0,8,8,2.32792374846404,0.2909904685580049,1.0,0.4200352332106418,0.1583121021719617,0.375,1.0,0.0,4.0,0.0,4,0,4,4,3.0694189250855515,0.7673547312713879,1.0,0.6286361512722658,0.0,1.0,1.0,0.2761560328242716,0.0
