liq,trend,ha,d24,d25,d26,e24,e25,e26,n24,n25,n26,sum_delta,min_delta
h4c_distance_ratio,bb_z_primary,ha_opp_wick_frac,17.169999999999618,60.70999999999958,12.260000000000218,0,0,0,5,5,1,90.13999999999942,12.260000000000218
h4c_distance_ratio,bb_z_primary,ha_body_frac,17.169999999999618,57.35999999999967,51.86999999999989,0,0,0,6,4,2,126.39999999999918,17.169999999999618
h4c_opp_d1_S,donchian_primary,ha_body_vs_prior3,5.989999999999782,-29.539999999999964,45.23000000000002,0,1,0,4,6,3,21.679999999999836,-29.539999999999964
h4c_opp_d1_S,bb_z_primary,ha_opp_wick_frac,24.2199999999998,9.139999999999873,12.260000000000218,0,0,0,6,3,1,45.61999999999989,9.139999999999873
h4c_opp_d1_S,bb_z_primary,ha_body_vs_prior3,7.289999999999509,-9.3799999999992,27.890000000000327,0,1,0,5,8,2,25.800000000000637,-9.3799999999992
h4c_opp_d1_S,macd_hist_primary_S,ha_opp_body_strength_S,17.019999999999527,17.840000000000146,93.68000000000029,0,1,0,6,9,3,128.53999999999996,17.019999999999527
h4c_opp_d1_S,macd_hist_primary_S,ha_body_vs_prior3,15.210000000000036,-183.79000000000042,13.730000000000473,0,2,1,6,11,4,-154.8499999999999,-183.79000000000042
h4c_opp_d1_S,macd_hist_primary_S,ha_body_vs_prior6,8.840000000000146,-195.98999999999933,112.35000000000082,0,2,0,5,10,5,-74.79999999999836,-195.98999999999933
since_child_h4liq_distance_ratio,bb_z_primary,ha_opp_wick_frac,17.169999999999618,22.61999999999989,12.260000000000218,0,0,0,5,3,1,52.04999999999973,12.260000000000218
since_child_h4liq_distance_ratio,bb_z_primary,ha_body_frac,17.169999999999618,19.269999999999982,51.86999999999989,0,0,0,6,2,2,88.30999999999949,17.169999999999618
since_child_h4liq_distance_ratio,macd_hist_primary_S,ha_opp_body_strength_S,1.110000000000582,44.659999999999854,189.36000000000104,0,0,0,8,3,5,235.13000000000147,1.110000000000582
since_child_h4liq_distance_ratio,macd_hist_primary_S,ha_body_vs_prior3,21.169999999999163,-212.80000000000018,34.880000000000564,0,2,1,6,9,4,-156.75000000000045,-212.80000000000018
since_child_h4liq_distance_ratio,macd_hist_primary_S,ha_body_vs_prior6,22.599999999999454,-194.44999999999982,71.41000000000031,0,2,0,6,9,3,-100.44000000000005,-194.44999999999982
since_child_h4liq_opp_d1_S,h1_rsi_primary,ha_body_vs_prior6,30.339999999999236,43.63000000000011,100.42000000000098,0,2,0,7,6,4,174.39000000000033,30.339999999999236
since_child_h4liq_opp_d1_S,donchian_primary,ha_opp_body_strength_S,19.41000000000031,171.40999999999985,161.01000000000113,0,0,0,8,4,3,351.8300000000013,19.41000000000031
