year,route_id,side,event_ts,base_route_pnl,new_route_pnl,delta,changed,latest_rank,total_accepted
2024,165,UP,2024-01-08 08:00:00,0.0,0.0,0.0,0,1,1
2024,168,DOWN,2024-01-12 04:00:00,0.0,0.0,0.0,0,2,2
2024,176,DOWN,2024-02-13 12:00:00,-12.00999999999999,-10.27000000000021,1.73999999999978,2,4,4
2024,187,UP,2024-04-13 00:00:00,-39.18000000000029,-19.220000000000255,19.960000000000036,2,3,3
2025,260,DOWN,2025-03-03 04:00:00,82.85999999999967,95.05999999999949,12.199999999999818,2,9,9
2025,270,UP,2025-04-25 08:00:00,0.0,0.0,0.0,0,1,1
2025,274,DOWN,2025-05-15 16:00:00,249.60000000000036,257.2399999999998,7.639999999999418,2,8,8
2025,306,UP,2025-10-21 12:00:00,449.2600000000003,536.96,87.69999999999976,1,4,4
2025,307,DOWN,2025-10-30 12:00:00,-85.49999999999999,-54.32000000000015,31.179999999999836,1,7,7
2026,324,DOWN,2026-02-06 08:00:00,-217.78999999999996,-59.340000000001055,158.4499999999989,2,3,3
2026,333,DOWN,2026-03-24 12:00:00,927.8800000000001,1014.4499999999998,86.56999999999971,1,5,5
2026,349,DOWN,2026-06-12 00:00:00,-21.0,14.61000000000059,35.61000000000059,1,3,3
