family,feature,year,auc,ap,sign,n
HA_CORE,h4_ha_body_mean_primary_2S,2024,0.5792608974816295,0.6682688762152371,-1.0,345
HA_CORE,h4_ha_body_mean_primary_2S,2025,0.5428380187416332,0.6175676130533293,-1.0,346
HA_CORE,h4_ha_body_mean_primary_2S,2026,0.5735887096774195,0.661449120577194,-1.0,221
HA_CORE,h4_ha_body_mean_primary_2S,AVG,0.5652292086335607,,,912
HA_CORE,h4_ha_body_mean_primary_3S,2024,0.5886423628451166,0.673515953536246,-1.0,345
HA_CORE,h4_ha_body_mean_primary_3S,2025,0.5221552878179385,0.5952198714915307,-1.0,346
HA_CORE,h4_ha_body_mean_primary_3S,2026,0.5968581989247311,0.6731886115071671,-1.0,221
HA_CORE,h4_ha_body_mean_primary_3S,AVG,0.5692186165292621,,,912
HA_CORE,h4_ha_body_mean_primary_6S,2024,0.5983448669472784,0.6729653272866243,-1.0,345
HA_CORE,h4_ha_body_mean_primary_6S,2025,0.5191097724230255,0.5606068126795565,-1.0,346
HA_CORE,h4_ha_body_mean_primary_6S,2026,0.6449092741935484,0.7128608327875893,-1.0,221
HA_CORE,h4_ha_body_mean_primary_6S,AVG,0.5874546378546174,,,912
HA_CORE,ha_no_primary_wick,2024,0.5079189555539702,0.6240880543496083,1.0,345
HA_CORE,ha_no_primary_wick,2025,0.5922690763052209,0.5801229740451094,1.0,346
HA_CORE,ha_no_primary_wick,2026,0.5535954301075269,0.6092571644042233,1.0,221
HA_CORE,ha_no_primary_wick,AVG,0.551261153988906,,,912
HA_CORE,ha_no_opp_wick,2024,,,1.0,345
HA_CORE,ha_no_opp_wick,2025,,,1.0,346
HA_CORE,ha_no_opp_wick,2026,,,1.0,221
HA_CORE,ha_no_opp_wick,AVG,,,,912
MTF_HA,h1_ha_color_primary,2024,0.504387529428551,0.6223669328098422,-1.0,345
MTF_HA,h1_ha_color_primary,2025,0.5777443105756359,0.563471987768627,-1.0,346
MTF_HA,h1_ha_color_primary,2026,0.5739667338709677,0.6189709816112681,-1.0,221
MTF_HA,h1_ha_color_primary,AVG,0.552032857958385,,,912
MTF_HA,h1_ha_signed_streak_primary,2024,0.5106299493472212,0.6377747322531211,-1.0,345
MTF_HA,h1_ha_signed_streak_primary,2025,0.6310408299866131,0.6730695375299779,-1.0,346
