year,method,auc,ap,n
2024,LIQ_LOGIT,0.6488906328030248,0.7437325972317024,345
2024,LIQ_TREE2,0.6320004280516516,0.6982408472618661,345
2024,LIQ_TREE3,0.6069237354640793,0.6876912784052177,345
2024,LIQ_HGB,0.5591781408289933,0.6749150174224369,345
2024,TREND_LOGIT,0.5861810658486124,0.6810843858585343,345
2024,TREND_TREE2,0.6008239994292645,0.6691422917736696,345
2024,TREND_TREE3,0.5622815153028465,0.640067713461695,345
2024,TREND_HGB,0.5782264393236783,0.644009222052098,345
2024,HA_LOGIT,0.5951701505314975,0.687036723443868,345
2024,HA_TREE2,0.5828815010344581,0.6664538871415148,345
2024,HA_TREE3,0.6074766355140188,0.6888342850828754,345
2024,HA_HGB,0.5905685952771634,0.6765542572230169,345
2024,LIQ_TREND_LOGIT,0.6351216380109868,0.7262520728967474,345
2024,LIQ_TREND_TREE2,0.5981308411214954,0.6716973616707752,345
2024,LIQ_TREND_TREE3,0.6157344652921453,0.6870827146345173,345
2024,LIQ_TREND_HGB,0.6326960119854463,0.718899416599148,345
2024,LIQ_TREND_HA_LOGIT,0.6326960119854463,0.7340078449040495,345
2024,LIQ_TREND_HA_TREE2,0.5981308411214954,0.6716973616707752,345
2024,LIQ_TREND_HA_TREE3,0.6157344652921453,0.6870827146345173,345
2024,LIQ_TREND_HA_HGB,0.631911250624242,0.7238104028194648,345
2024,ALL_BOUNDED_LOGIT,0.5902475565384889,0.7194124157098253,345
2024,ALL_BOUNDED_TREE2,0.619765285011058,0.6757460917310907,345
2024,ALL_BOUNDED_TREE3,0.6000035670970965,0.6697048742901996,345
2024,ALL_BOUNDED_HGB,0.5627809088963402,0.6582500493261692,345
2025,LIQ_LOGIT,0.655421686746988,0.6437354728656854,346
2025,LIQ_TREE2,0.6284471218206159,0.6019890117496087,346
2025,LIQ_TREE3,0.6599230254350736,0.6109425495167072,346
2025,LIQ_HGB,0.641884203480589,0.6307525464663027,346
2025,TREND_LOGIT,0.6488955823293174,0.6813256374402312,346
2025,TREND_TREE2,0.6201974564926371,0.6037725378671082,346
2025,TREND_TREE3,0.6305555555555555,0.6230182274697532,346
2025,TREND_HGB,0.6528279785809905,0.6860420531074015,346
2025,HA_LOGIT,0.5894578313253012,0.6141656490211472,346
2025,HA_TREE2,0.5727409638554217,0.5744233037437796,346
2025,HA_TREE3,0.572623828647925,0.5792403421516212,346
2025,HA_HGB,0.601723560910308,0.6434532033574076,346
2025,LIQ_TREND_LOGIT,0.7002342704149933,0.712271412524851,346
2025,LIQ_TREND_TREE2,0.6522757697456492,0.6157183647495366,346
2025,LIQ_TREND_TREE3,0.6570448460508702,0.6225253039856891,346
2025,LIQ_TREND_HGB,0.7068105756358768,0.7045754635922068,346
2025,LIQ_TREND_HA_LOGIT,0.6745983935742972,0.6944189426007246,346
2025,LIQ_TREND_HA_TREE2,0.6522757697456492,0.6157183647495366,346
2025,LIQ_TREND_HA_TREE3,0.6570448460508702,0.6225253039856891,346
2025,LIQ_TREND_HA_HGB,0.7096050870147257,0.7053065272546631,346
2025,ALL_BOUNDED_LOGIT,0.6315595716198126,0.6656741115114033,346
2025,ALL_BOUNDED_TREE2,0.6292838018741633,0.6075491742200466,346
2025,ALL_BOUNDED_TREE3,0.6277610441767068,0.625742258795976,346
2025,ALL_BOUNDED_HGB,0.6492971887550201,0.6588478290377444,346
2026,LIQ_LOGIT,0.650453629032258,0.7195829727905201,221
2026,LIQ_TREE2,0.6365507392473118,0.6781708746164248,221
2026,LIQ_TREE3,0.6352066532258065,0.6591367769221965,221
2026,LIQ_HGB,0.5954301075268817,0.6428015771283035,221
2026,TREND_LOGIT,0.6726310483870968,0.7474345760724231,221
2026,TREND_TREE2,0.6447832661290323,0.6770943134683943,221
2026,TREND_TREE3,0.6334005376344086,0.6818520975009985,221
2026,TREND_HGB,0.6743951612903227,0.7578388204691903,221
2026,HA_LOGIT,0.6403729838709677,0.6987484301059342,221
2026,HA_TREE2,0.5622479838709677,0.6129374225651799,221
2026,HA_TREE3,0.562457997311828,0.6191928535696984,221
2026,HA_HGB,0.6112651209677419,0.6715389484494356,221
2026,LIQ_TREND_LOGIT,0.695396505376344,0.7516683820205333,221
2026,LIQ_TREND_TREE2,0.6301663306451613,0.6655881335350424,221
2026,LIQ_TREND_TREE3,0.6401209677419355,0.6807524335021197,221
2026,LIQ_TREND_HGB,0.6601562500000001,0.7406588972994169,221
2026,LIQ_TREND_HA_LOGIT,0.6974966397849462,0.7506939765105525,221
2026,LIQ_TREND_HA_TREE2,0.6301663306451613,0.6655881335350424,221
2026,LIQ_TREND_HA_TREE3,0.6401209677419355,0.6807524335021197,221
2026,LIQ_TREND_HA_HGB,0.6519657258064516,0.7300279693819116,221
2026,ALL_BOUNDED_LOGIT,0.6705309139784946,0.7259558056655196,221
2026,ALL_BOUNDED_TREE2,0.6331905241935484,0.6709250439993018,221
2026,ALL_BOUNDED_TREE3,0.6249159946236559,0.671180374615064,221
2026,ALL_BOUNDED_HGB,0.6218077956989249,0.6702239393326352,221
