method,avg_auc,delta_sum,min_delta,events,early,d24,d25,d26
MECH,0.6497049484044827,441.0499999999979,21.699999999999818,12,0,21.699999999999818,138.7199999999989,280.6299999999992
LOGIT,0.6491664955031933,234.59999999999968,-122.41000000000008,17,4,-122.41000000000008,126.61000000000013,230.39999999999964
TREE2,0.6294033241315851,110.20000000000141,-169.1199999999967,42,12,98.96999999999912,180.349999999999,-169.1199999999967
TREE3,0.6176678463253257,182.8999999999994,-163.449999999998,28,4,98.96999999999912,247.3799999999983,-163.449999999998
HGB,0.6504445355034124,140.64000000000078,-46.24000000000024,12,3,-46.24000000000024,26.849999999999454,160.03000000000156
