rule,delta_sum,min_delta,events,early,d24,d25,d26
HA1+OPP_CLOSER+DONCHIAN+BODYREL3,268.90000000000055,60.04000000000087,17,0,82.88999999999987,125.9699999999998,60.04000000000087
HA1+OPP_CLOSER+DONCHIAN+BODYREL6,244.85000000000014,72.67999999999984,17,2,93.16999999999939,72.67999999999984,79.00000000000091
HA1+OPP_CLOSER+DONCHIAN+BODYFRAC,77.7699999999993,4.279999999999745,9,1,64.94999999999959,8.539999999999964,4.279999999999745
HA1+OPP_CLOSER+MACD_NEG,-5.880000000002383,-202.55000000000018,53,17,-202.55000000000018,112.4799999999982,84.1899999999996
HA1+OPP_CLOSER+DONCHIAN+NOWICK,-99.56000000000108,-267.4000000000001,13,2,64.94999999999959,102.88999999999942,-267.4000000000001
HA1+OPP_CLOSER+BB_NEG,-133.33000000000197,-206.10000000000218,42,13,-62.50000000000023,135.27000000000044,-206.10000000000218
HA1+OPP_CLOSER+H1RSI50,-326.0000000000016,-461.7000000000012,116,37,29.529999999998154,106.17000000000144,-461.7000000000012
HA1+OPP_CLOSER+DONCHIAN_WEAK,-436.50000000000114,-577.5400000000004,44,15,-12.030000000000427,153.0699999999997,-577.5400000000004
HA1+OPP_CLOSER,-1167.7100000000041,-1162.2900000000036,161,75,-205.2800000000011,199.86000000000058,-1162.2900000000036
