multiple,entries,lot_units,PnL,PF,DD,weighted_hours,PnL_per_1000h,sum_R,max_units,max_concurrent_units
2,639,1389.0,7903.789999999999,1.4634656352562232,2080.029999999999,27182.256944444445,290.77018939795533,229.17653528433692,3.0,3.0
3,674,1550.0,8908.089999999995,1.4792444283287192,1649.8200000000015,29196.475277777776,305.10840487585097,227.43872284955836,3.0,3.0
4,655,1428.0,8890.110000000004,1.5116878063829529,1629.5400000000009,27569.374166666665,322.4632502085876,251.41540191047002,3.0,3.0
5,676,1451.0,9020.250000000004,1.515541841176363,1327.2599999999984,28367.24722222222,317.9811537347112,251.14215524774855,3.0,3.0
