signal_id,direction,units,entry_time,entry_price,structural_sl,exit_time,exit_price,actual_pnl,intended_risk_price,intended_risk_dollars,actual_r,adverse_slippage_price,adverse_slippage_r,excess_loss_beyond_1r,exit_comment
1,SHORT,1,2025.01.03 16:00:00,2649.77,2659.29,2025.01.07 15:20:11,2659.29,-9.52,9.519999999999982,9.519999999999982,-1.0000000000000018,0.0,0.0,1.7763568394002505e-15,sl 2659.29
9,SHORT,3,2025.01.09 08:00:01,2658.32,2662.15,2025.01.09 08:33:18,2662.19,-11.61,3.8299999999999272,11.489999999999782,-1.0104438642297842,0.03999999999996362,0.010443864229755713,0.010443864229784161,sl 2662.15
18,SHORT,3,2025.01.16 08:00:00,2694.68,2702.21,2025.01.16 10:18:57,2702.31,-22.89,7.5300000000002,22.5900000000006,-1.0132802124833729,0.09999999999990905,0.013280212483387304,0.013280212483372855,sl 2702.21
20,SHORT,1,2025.01.17 12:00:00,2704.68,2717.29,2025.01.17 18:51:13,2717.32,-12.64,12.610000000000127,12.610000000000127,-1.0023790642347243,0.03000000000020009,0.0023790642347501813,0.0023790642347243374,sl 2717.29
21,LONG,3,2025.01.17 20:00:00,2712.7,2702.69,2025.01.17 22:00:41,2702.67,-30.09,10.009999999999764,30.02999999999929,-1.0019980019980257,0.01999999999998181,0.001998001998000228,0.001998001998025689,sl 2702.69
25,LONG,1,2025.01.20 12:00:00,2706.43,2702.77,2025.01.20 15:36:12,2702.71,-3.72,3.6599999999998545,3.6599999999998545,-1.0163934426229912,0.05999999999994543,0.01639344262293656,0.01639344262299125,sl 2702.77
34,LONG,1,2025.01.27 16:00:00,2757.24,2747.27,2025.01.27 16:31:04,2746.56,-10.68,9.9699999999998,9.9699999999998,-1.0712136409227897,0.7100000000000364,0.07121364092277338,0.0712136409227897,sl 2747.27
37,LONG,3,2025.01.28 08:00:00,2741.67,2737.84,2025.01.28 10:14:20,2737.84,-11.49,3.8299999999999272,11.489999999999782,-1.000000000000019,0.0,0.0,1.9095836023552692e-14,sl 2737.84
41,SHORT,3,2025.01.29 08:00:01,2760.8,2766.25,2025.01.29 10:35:33,2766.28,-16.44,5.449999999999818,16.349999999999454,-1.0055045871559969,0.03000000000020009,0.0055045871560002,0.005504587155996887,sl 2766.25
47,SHORT,3,2025.01.31 12:00:01,2793.71,2800.85,2025.01.31 13:57:18,2800.91,-21.6,7.139999999999873,21.419999999999618,-1.0084033613445558,0.05999999999994543,0.008403361344530322,0.008403361344555771,sl 2800.85
55,SHORT,1,2025.02.06 12:00:00,2859.17,2873.24,2025.02.07 16:26:55,2873.24,-14.07,14.069999999999709,14.069999999999709,-1.0000000000000207,0.0,0.0,2.0650148258027912e-14,sl 2873.24
59,LONG,1,2025.02.07 12:00:00,2869.13,2859.0,2025.02.07 15:31:50,2858.88,-10.25,10.13000000000011,10.13000000000011,-1.0118460019743227,0.11999999999989086,0.011846001974322761,0.011846001974322729,sl 2859.00
60,SHORT,1,2025.02.07 16:00:00,2862.58,2870.81,2025.02.07 16:24:14,2870.89,-8.31,8.230000000000018,8.230000000000018,-1.0097205346294025,0.07999999999992724,0.009720534629395755,0.009720534629402477,sl 2870.81
