w3_risk_multiplier,total_R,PF_R,DD_R,max_committed_risk_units,total_allocated_risk_units,R_to_DD
1.0,170.79665698665144,1.3815705761208052,28.667601691515827,5.0,1158.0,5.957828590774605
1.25,199.68188061097322,1.400010028841891,32.610214154733384,5.5,1302.0,6.123292526185061
1.5,228.56710423529506,1.4149959215095962,36.552826617950956,6.0,1446.0,6.253062358877784
1.75,257.45232785961684,1.427415411174383,40.49543908116853,7.0,1590.0,6.35756356027114
2.0,286.3375514839387,1.4378757619197555,44.43805154438604,8.0,1734.0,6.4435217461759375
2.25,315.22277510826046,1.446806656002121,48.380664007603585,9.0,1878.0,6.515470210551875
2.5,344.10799873258225,1.4545206842283682,52.32327647082121,10.0,2022.0,6.576575893990102
2.75,372.9932223569041,1.461250687318314,56.26588893403877,11.0,2166.0,6.629118093098446
3.0,401.87844598122587,1.4671736639293742,60.208501397256356,12.0,2310.0,6.674779086920425
