episode_id,start_time,end_time,duration_hours,max_long_units,max_short_units,max_gross_units,start_deal,last_deal
1,2025.01.07 04:00:00,2025.01.08 12:00:00,32.0,2.0,2.0,4.0,4,7
2,2025.02.07 04:00:00,2025.02.07 16:00:00,12.0,5.0,1.0,6.0,97,100
3,2025.03.03 04:00:00,2025.03.04 11:29:39,31.49416666666667,1.0,3.0,4.0,169,169
4,2025.03.24 04:00:00,2025.03.24 20:00:00,16.0,1.0,2.0,3.0,232,232
5,2025.03.27 04:00:00,2025.03.27 06:09:43,2.1619444444444444,3.0,3.0,6.0,249,249
6,2025.04.04 04:00:00,2025.04.04 05:37:19,1.6219444444444444,1.0,1.0,2.0,267,267
7,2025.04.15 04:00:00,2025.04.15 16:00:00,12.0,6.999999999999999,1.0,7.999999999999998,291,293
8,2025.05.02 04:00:00,2025.05.02 20:00:00,16.0,2.0,1.0,3.0,329,331
9,2025.05.19 04:00:00,2025.05.19 20:00:00,16.0,3.0,3.0,6.0,375,375
10,2025.05.28 04:00:00,2025.05.28 08:00:01,4.000277777777778,3.0,2.0,5.0,406,406
11,2025.06.18 04:00:00,2025.06.18 12:00:00,8.0,2.0,1.0,3.0,489,490
12,2025.06.25 04:00:00,2025.06.25 16:00:00,12.0,1.0,1.0,2.0,513,513
13,2025.07.25 04:00:00,2025.07.25 05:18:50,1.3138888888888889,1.0,5.0,6.0,617,617
14,2025.09.26 04:00:00,2025.09.26 08:00:00,4.0,1.0,1.0,2.0,841,841
15,2025.11.17 04:00:00,2025.11.17 05:00:58,1.0161111111111112,3.0,1.0,4.0,959,959
16,2025.11.24 04:00:00,2025.11.24 12:00:00,8.0,3.0,1.0,4.0,981,981
17,2026.02.18 04:00:00,2026.02.19 04:00:00,24.0,6.0,3.0,9.0,1249,1250
18,2026.02.20 04:00:01,2026.02.20 08:23:23,4.389444444444444,4.0,1.0,5.0,1259,1260
19,2026.02.25 04:00:00,2026.02.25 16:00:00,12.0,4.0,3.0,7.000000000000001,1269,1270
20,2026.02.27 04:00:00,2026.02.27 12:00:00,8.0,2.0,2.0,4.0,1282,1283
21,2026.03.11 04:00:00,2026.03.11 08:00:00,4.0,4.0,1.0,5.0,1332,1332
22,2026.03.20 04:00:00,2026.03.20 12:00:00,8.0,4.0,1.0,5.0,1363,1364
23,2026.04.29 04:00:00,2026.04.29 12:00:00,8.0,6.0,4.0,10.0,1526,1528
24,2026.05.13 04:00:00,2026.05.13 08:00:00,4.0,3.0,4.0,7.000000000000001,1574,1574
25,2026.05.22 04:00:00,2026.05.22 08:00:00,4.0,1.0,1.0,2.0,1603,1603
26,2026.05.28 04:00:00,2026.05.28 05:12:52,1.2144444444444444,3.0,3.0,6.0,1631,1631
27,2026.06.05 04:00:00,2026.06.05 15:52:39,11.8775,5.999999999999999,1.0,6.999999999999999,1656,1657
28,2026.07.01 04:00:00,2026.07.01 16:00:00,12.0,4.0,2.0,6.0,1736,1737
29,2026.07.09 04:00:00,2026.07.09 08:00:00,4.0,1.0,1.0,2.0,1765,1765
30,2026.07.15 04:00:00,2026.07.15 16:00:00,12.0,7.000000000000001,2.0,9.0,1787,1789
31,2026.08.03 04:00:00,2026.08.03 08:00:00,4.0,1.0,4.0,5.0,1858,1858
32,2026.08.04 04:00:00,2026.08.04 11:03:43,7.061944444444444,2.0,1.0,3.0,1869,1870
33,2026.08.10 04:00:00,2026.08.10 08:51:39,4.860833333333333,9.0,1.0,9.999999999999998,1891,1891
