signal_id,decision_time,entry_status,entry_detail,direction,units,requested_or_event_price,structural_sl,filled,market_closed_entry_reject,sl_already_touched_reject,entry_time_actual,entry_price_actual,entry_ticket,entry_deal,intended_fast_nha_time,intended_fast_nha_old_direction,intended_exit_reject_count_at_time,exit_time_actual,exit_price_actual,exit_deal,exit_order,actual_pnl,actual_swap,exit_comment,exit_reason_actual,actual_holding_hours,exit_reject_affected,actual_exit_after_intended_flip,unintended_hold_hours
0,2025.01.03 12:00:00,ENTRY_FILL,signal=0 units=1 effective_ts=2025.01.03 12:00:00 fill=2653.52000,SHORT,1,2653.52,2665.2,True,False,False,2025.01.03 12:00:00,2653.52,2,2,2025.01.07 01:00:05,SHORT,2,2025.01.08 12:00:00,2653.74,9,9,-0.22,0.0,,FAST_NHA_OR_MANUAL,120.0,True,True,34.99861111111111
1,2025.01.03 16:00:00,ENTRY_FILL,signal=1 units=1 effective_ts=2025.01.03 16:00:00 fill=2649.77000,SHORT,1,2649.77,2659.29,True,False,False,2025.01.03 16:00:00,2649.77,3,3,2025.01.07 01:00:05,SHORT,2,2025.01.07 15:20:11,2659.29,6,6,-9.52,0.0,sl 2659.29,STRUCTURAL_SL,95.33638888888889,True,True,14.335
3,2025.01.07 04:00:00,ENTRY_FILL,signal=3 units=1 effective_ts=2025.01.07 04:00:00 fill=2639.14000,LONG,1,2639.14,2632.88,True,False,False,2025.01.07 04:00:00,2639.14,4,4,2025.01.08 01:00:05,LONG,2,2025.01.09 08:00:01,2658.32,15,15,19.18,0.0,,FAST_NHA_OR_MANUAL,52.000277777777775,True,True,30.99888888888889
4,2025.01.07 08:00:00,ENTRY_FILL,signal=4 units=1 effective_ts=2025.01.07 08:00:00 fill=2644.55000,LONG,1,2644.55,2632.9,True,False,False,2025.01.07 08:00:00,2644.55,5,5,2025.01.08 01:00:05,LONG,2,2025.01.09 08:00:01,2658.31,14,14,13.76,0.0,,FAST_NHA_OR_MANUAL,48.000277777777775,True,True,30.99888888888889
27,2025.01.22 20:00:00,ENTRY_FILL,signal=27 units=3 effective_ts=2025.01.22 20:00:00 fill=2756.47000,SHORT,3,2756.47,2761.68,True,False,False,2025.01.22 20:00:00,2756.47,48,48,2025.01.23 01:00:06,SHORT,1,2025.01.23 20:00:00,2757.76,51,51,-3.87,0.0,,FAST_NHA_OR_MANUAL,24.0,True,True,18.998333333333335
52,2025.02.04 16:00:00,ENTRY_FILL,signal=52 units=3 effective_ts=2025.02.04 16:00:00 fill=2831.72000,LONG,3,2831.72,2807.19,True,False,False,2025.02.04 16:00:00,2831.72,92,92,2025.02.06 01:00:06,LONG,2,2025.02.06 12:00:00,2859.19,95,95,82.41,0.0,,FAST_NHA_OR_MANUAL,44.0,True,True,10.998333333333333
53,2025.02.04 20:00:00,ENTRY_FILL,signal=53 units=3 effective_ts=2025.02.04 20:00:00 fill=2844.16000,LONG,3,2844.16,2807.19,True,False,False,2025.02.04 20:00:00,2844.16,93,93,2025.02.06 01:00:06,LONG,2,2025.02.06 12:00:00,2859.36,94,94,45.6,0.0,,FAST_NHA_OR_MANUAL,40.0,True,True,10.998333333333333
55,2025.02.06 12:00:00,ENTRY_FILL,signal=55 units=1 effective_ts=2025.02.06 12:00:00 fill=2859.17000,SHORT,1,2859.17,2873.24,True,False,False,2025.02.06 12:00:00,2859.17,96,96,2025.02.07 01:00:05,SHORT,1,2025.02.07 16:26:55,2873.24,105,105,-14.07,0.0,sl 2873.24,STRUCTURAL_SL,28.448611111111113,True,True,15.447222222222223
83,2025.02.20 16:00:00,ENTRY_FILL,signal=83 units=3 effective_ts=2025.02.20 16:00:00 fill=2933.47000,SHORT,3,2933.47,2954.85,True,False,False,2025.02.20 16:00:00,2933.47,146,146,2025.02.21 01:00:05,SHORT,1,2025.02.21 16:00:00,2931.06,147,147,7.23,0.0,,FAST_NHA_OR_MANUAL,24.0,True,True,14.998611111111112
92,2025.02.24 20:00:00,ENTRY_FILL,signal=92 units=3 effective_ts=2025.02.24 20:00:00 fill=2943.00000,SHORT,3,2943.0,2956.2,True,False,False,2025.02.24 20:00:00,2943.0,160,160,2025.02.25 01:00:05,SHORT,1,2025.02.26 04:00:00,2918.09,163,163,74.73,0.0,,FAST_NHA_OR_MANUAL,32.0,True,True,26.99861111111111
98,2025.02.27 08:00:00,ENTRY_FILL,signal=98 units=3 effective_ts=2025.02.27 08:00:00 fill=2890.95000,SHORT,3,2890.95,2920.74,True,False,False,2025.02.27 08:00:00,2890.95,168,168,2025.03.03 01:00:05,SHORT,1,2025.03.04 11:29:39,2920.8,170,170,-89.55,0.0,sl 2920.74,STRUCTURAL_SL,123.49416666666667,True,True,34.492777777777775
101,2025.03.04 20:00:01,ENTRY_FILL,signal=101 units=1 effective_ts=2025.03.04 20:00:01 fill=2911.58000,SHORT,1,2911.58,2927.8,True,False,False,2025.03.04 20:00:02,2911.58,172,172,2025.03.05 01:00:05,SHORT,1,2025.03.05 08:00:00,2918.83,175,175,-7.25,0.0,,FAST_NHA_OR_MANUAL,11.999444444444444,True,True,6.998611111111111
135,2025.03.21 04:00:00,ENTRY_FILL,signal=135 units=1 effective_ts=2025.03.21 04:00:00 fill=3036.09000,SHORT,1,3036.09,3057.44,True,False,False,2025.03.21 04:00:00,3036.09,230,230,2025.03.24 00:00:05,SHORT,2,2025.03.25 04:00:00,3011.96,237,237,24.13,0.0,,FAST_NHA_OR_MANUAL,96.0,True,True,27.99861111111111
136,2025.03.21 08:00:00,ENTRY_FILL,signal=136 units=1 effective_ts=2025.03.21 08:00:00 fill=3028.09000,SHORT,1,3028.09,3047.45,True,False,False,2025.03.21 08:00:00,3028.09,231,231,2025.03.24 00:00:05,SHORT,2,2025.03.25 04:00:00,3011.96,236,236,16.13,0.0,,FAST_NHA_OR_MANUAL,92.0,True,True,27.99861111111111
140,2025.03.25 04:00:00,ENTRY_FILL,signal=140 units=3 effective_ts=2025.03.25 04:00:00 fill=3011.96000,LONG,3,3011.96,3002.45,True,False,False,2025.03.25 04:00:01,3011.96,238,238,2025.03.26 00:00:05,LONG,3,2025.03.26 12:00:01,3018.37,247,247,19.23,0.0,,FAST_NHA_OR_MANUAL,32.0,True,True,11.998888888888889
141,2025.03.25 08:00:00,ENTRY_FILL,signal=141 units=3 effective_ts=2025.03.25 08:00:00 fill=3018.46000,LONG,3,3018.46,3007.53,True,False,False,2025.03.25 08:00:00,3018.46,239,239,2025.03.26 00:00:05,LONG,3,2025.03.26 12:00:00,3018.38,246,246,-0.24,0.0,,FAST_NHA_OR_MANUAL,28.0,True,True,11.998611111111112
142,2025.03.25 12:00:00,ENTRY_FILL,signal=142 units=1 effective_ts=2025.03.25 12:00:00 fill=3023.45000,LONG,1,3023.45,3010.52,True,False,False,2025.03.25 12:00:00,3023.45,240,240,2025.03.26 00:00:05,LONG,3,2025.03.26 12:00:00,3018.37,245,245,-5.08,0.0,,FAST_NHA_OR_MANUAL,24.0,True,True,11.998611111111112
146,2025.03.26 12:00:01,ENTRY_FILL,signal=146 units=3 effective_ts=2025.03.26 12:00:00 fill=3018.33000,SHORT,3,3018.33,3036.0,True,False,False,2025.03.26 12:00:01,3018.33,248,248,2025.03.27 00:00:05,SHORT,1,2025.03.27 06:09:43,3036.03,250,250,-53.1,0.0,sl 3036.00,STRUCTURAL_SL,18.161666666666665,True,True,6.160555555555556
