test_year,run_id,bounded_pnl,all1_pnl,oracle_bars,selected_units,delta
2025,1454,0.0,25.759999999997945,0,0.0,-25.759999999997945
2025,1455,29.599999999999454,-5.8400000000006,3,2.0,35.440000000000055
2025,1456,44.41999999999962,8.849999999999909,2,5.0,35.56999999999971
2025,1457,-10.899999999999636,-12.399999999999636,1,2.0,1.5
2025,1458,7.800000000001091,0.49000000000114596,1,6.0,7.309999999999945
2025,1459,-11.489999999999782,-3.8299999999999272,0,3.0,-7.6599999999998545
2025,1460,0.0,36.67999999999893,3,0.0,-36.67999999999893
2025,1461,14.58999999999969,24.75999999999931,2,1.0,-10.169999999999618
2025,1462,-12.509999999999309,-5.229999999999563,0,4.0,-7.279999999999745
2025,1463,-8.269999999999527,-8.269999999999527,0,2.0,0.0
2025,1464,139.9300000000012,88.39000000000124,3,7.0,51.539999999999964
2025,1465,-22.5,-7.5,0,3.0,-15.0
2025,1466,0.0,0.4900000000006912,1,0.0,-0.4900000000006912
2025,1467,-10.659999999999854,-28.729999999999563,1,2.0,18.06999999999971
2025,1468,-29.940000000000055,-9.980000000000018,0,3.0,-19.960000000000036
2025,1469,-19.549999999999727,-19.549999999999727,0,2.0,0.0
2025,1470,193.9999999999991,303.1299999999969,5,5.0,-109.12999999999784
2025,1471,-0.6000000000008185,-0.20000000000027285,0,3.0,-0.4000000000005457
2025,1472,0.0,-4.070000000000164,0,0.0,4.070000000000164
2025,1473,-5.210000000000036,-33.59999999999991,1,1.0,28.389999999999873
2025,1474,75.72000000000071,30.550000000000637,2,5.0,45.17000000000007
2025,1475,59.970000000001164,35.220000000001164,1,4.0,24.75
2025,1476,-10.159999999999854,-10.159999999999854,0,1.0,0.0
2025,1477,-24.11999999999989,-9.759999999999764,0,3.0,-14.360000000000127
2025,1478,109.76000000000113,39.440000000000964,2,11.0,70.32000000000016
2025,1479,-13.969999999999345,-15.699999999999363,1,4.0,1.7300000000000182
2025,1480,198.71999999999844,82.5099999999984,2,8.0,116.21000000000004
2025,1481,-21.450000000000273,-7.150000000000091,0,3.0,-14.300000000000182
2025,1482,0.0,-8.179999999999836,0,0.0,8.179999999999836
2025,1483,-7.0900000000001455,-20.450000000000273,1,2.0,13.360000000000127
2025,1484,99.42000000000098,24.870000000000346,2,6.0,74.55000000000064
2025,1485,0.0,-4.150000000000091,0,0.0,4.150000000000091
2025,1486,165.78000000000065,96.10000000000127,2,6.0,69.67999999999938
2025,1487,-18.6599999999994,-6.2199999999998,0,3.0,-12.4399999999996
2025,1488,0.0,-16.789999999999964,0,0.0,16.789999999999964
2025,1489,2.8400000000001455,-1.199999999999818,1,1.0,4.039999999999964
