multiple,map,entries,lot_units,PnL,PF,DD,weighted_hours,PnL_per_1000h,sum_R,max_units,max_concurrent_units
4,always1_upperHalf_2_topQ3,754,1790.0,9601.909999999994,1.4497444928968553,1548.1500000000042,33744.09916666667,284.55078775624924,241.02738687439864,3.0,3.0
5,always1_upperHalf_2_topQ3,754,1812.0,9552.899999999994,1.4432887889871302,1375.7100000000037,34337.20972222222,278.2083948369743,237.41052513373978,3.0,3.0
3,always1_upperHalf_2_topQ3,757,1860.0,9544.249999999989,1.4327527778609035,1558.2900000000018,34691.47944444444,275.11798726498023,222.88605679139476,3.0,3.0
5,always1_midHigh_2_topQ3,754,1876.0,9359.339999999991,1.4188690543588052,1387.980000000004,35257.73277777777,265.4549587459291,227.8883630195549,3.0,3.0
4,always1_midHigh_2_topQ3,754,1870.0,9205.739999999993,1.4116031918703609,1560.420000000002,35026.37027777778,262.8231223216556,226.64198609210655,3.0,3.0
3,always1_midHigh_2_topQ3,754,1913.0,9166.099999999988,1.4013958930720327,1558.2900000000018,35507.085277777776,258.1484773614077,217.2683388507494,3.0,3.0
5,always1_topQ_to3,753,1528.0,8656.499999999998,1.4685021407730812,1347.3599999999979,29383.81833333333,294.60092292293984,235.98297741941758,3.0,3.0
3,always1_topQ_to3,754,1630.0,8449.47999999999,1.4300013893207537,1662.090000000001,30333.735,278.550597214619,217.62504930772712,3.0,3.0
4,always1_topQ_to3,753,1526.0,8298.2,1.4453594481497203,1641.8100000000004,28974.293333333335,286.3987019298026,229.29574726354272,3.0,3.0
