slice,runs,observed_delta,boot_mean,ci_2.5,ci_50,ci_97.5,p_delta_gt_0
POOLED,751,4820.300000000019,4745.264914000019,-3207.000749999978,4870.675000000022,12362.842500000017,0.8868
2025,446,3322.3500000000004,3343.567866,409.9102499999968,3318.3149999999896,6474.30225000001,0.9864
2026,305,1497.9500000000194,1472.9246200000193,-6027.821499999994,1668.675000000025,8111.854250000026,0.6712
