feature,mean_AUC,min_AUC,AUC_2025,AUC_2026
M30_SLOW_transition_rate,0.5361419649785846,0.5210024496853836,0.5512814802717857,0.5210024496853836
M15_STD_flow_last_align,0.5359624988243378,0.5319194738483008,0.5319194738483008,0.5400055238003747
M15_STD_last_align,0.5359624988243378,0.5319194738483008,0.5319194738483008,0.5400055238003747
M30_FAST_flow_late,0.5343527510354831,0.5262172701674164,0.5262172701674164,0.5424882319035497
H1_STD_transition_rate,0.5309838600315302,0.5166074259090255,0.545360294154035,0.5166074259090255
M15_STD_flow_late,0.5269696297522997,0.5137055787322278,0.5137055787322278,0.5402336807723714
M15_FAST_flow_last_align,0.5207331345214078,0.5082316633844084,0.5332346056584072,0.5082316633844084
M15_FAST_last_align,0.5207331345214078,0.5082316633844084,0.5332346056584072,0.5082316633844084
M15_FAST_flow_late,0.508025442358894,0.49193229112539655,0.49193229112539655,0.5241185935923915
H1_STD_last_run_disp_dir,0.5062886940517672,0.4215127356226277,0.4215127356226277,0.5910646524809069
H1_STD_flow_run_age_dir,0.5053189871053929,0.43920082545244,0.43920082545244,0.5714371487583457
H1_STD_last_run_age_dir,0.5053189871053929,0.43920082545244,0.43920082545244,0.5714371487583457
H1_STD_last_run_body_sum_dir,0.4189304843689196,0.414789375090062,0.42307159364777724,0.414789375090062
M30_SLOW_last_run_body_sum_dir,0.40625400464809697,0.398626254863346,0.4138817544328479,0.398626254863346
