feature,mean_AUC,min_AUC,AUC_2025,AUC_2026
M15_FAST_flow_body,0.6394280859571988,0.6392901504916588,0.6392901504916588,0.6395660214227388
M15_STD_flow_body,0.6344393614511283,0.6329314568423076,0.6359472660599492,0.6329314568423076
M30_FAST_flow_body,0.6332756766220016,0.6329794898890436,0.6335718633549594,0.6329794898890436
M30_STD_flow_body,0.6207243164023425,0.6185215428214612,0.6229270899832238,0.6185215428214612
H1_STD_flow_last_body,0.6194468523414585,0.6145661673372231,0.6145661673372231,0.6243275373456938
H1_STD_last_body_dir,0.6194468523414585,0.6145661673372231,0.6145661673372231,0.6243275373456938
M15_SLOW_flow_body,0.6182301962803514,0.6140034343628417,0.6224569581978612,0.6140034343628417
H1_FAST_flow_body,0.6178319580199696,0.6105420529324175,0.6251218631075216,0.6105420529324175
H1_SLOW_flow_late,0.616939442927378,0.6095963794903771,0.6095963794903771,0.6242825063643788
M15_STD_flow_side,0.6160084443529397,0.6142736202507325,0.6177432684551469,0.6142736202507325
M15_FAST_flow_side,0.6152727782238476,0.6140184446899467,0.6165271117577485,0.6140184446899467
M30_FAST_flow_side,0.6144781194241244,0.6138803496805803,0.6150758891676688,0.6138803496805803
M30_SLOW_flow_last_body,0.6122516690134773,0.6038323163640503,0.6038323163640503,0.6206710216629042
M30_SLOW_last_body_dir,0.6122516690134773,0.6038323163640503,0.6038323163640503,0.6206710216629042
M15_SLOW_flow_side,0.607924236605399,0.5989390700802151,0.6169094031305828,0.5989390700802151
H1_FAST_last_run_disp_dir,0.6073187148874641,0.604183678370719,0.6104537514042094,0.604183678370719
H1_FAST_flow_last_body,0.6068161766444564,0.5975845123743635,0.5975845123743635,0.6160478409145492
H1_FAST_last_body_dir,0.6068161766444564,0.5975845123743635,0.5975845123743635,0.6160478409145492
M30_STD_flow_side,0.6066511269737694,0.5992482828185792,0.6140539711289597,0.5992482828185792
H1_FAST_last_run_body_sum_dir,0.6064552862211089,0.602622604351794,0.6102879680904237,0.602622604351794
M30_STD_last_run_disp_dir,0.6046468935843057,0.5966863132265392,0.5966863132265392,0.612607473942072
M30_STD_last_run_body_sum_dir,0.603476367208668,0.5960924625502917,0.5960924625502917,0.6108602718670445
M15_SLOW_last_run_disp_dir,0.6026735588823593,0.5910224624018291,0.5910224624018291,0.6143246553628896
M15_SLOW_last_run_body_sum_dir,0.6020943549058125,0.5898100172711572,0.5898100172711572,0.6143786925404678
H1_FAST_flow_side,0.6000497704699439,0.5941837984533359,0.6059157424865518,0.5941837984533359
H1_FAST_last_run_range_dir,0.599800780757135,0.5997406215476248,0.5998609399666455,0.5997406215476248
M30_FAST_last_run_body_sum_dir,0.5991137837330354,0.5804865616540721,0.5804865616540721,0.6177410058119985
M30_STD_last_run_range_dir,0.5988798138331993,0.5934918914638914,0.5934918914638914,0.6042677362025073
M30_FAST_last_run_disp_dir,0.598630415693246,0.5804024328082704,0.5804024328082704,0.6168583985782218
M15_SLOW_last_run_range_dir,0.5981511474350757,0.5866848780874049,0.5866848780874049,0.6096174167827465
M30_STD_flow_run_age_dir,0.5980999098512695,0.5964561960894933,0.5964561960894933,0.5997436236130457
M30_STD_last_run_age_dir,0.5980999098512695,0.5964561960894933,0.5964561960894933,0.5997436236130457
M30_SLOW_last_run_disp_dir,0.5963442946287019,0.5876102953912239,0.5876102953912239,0.60507829386618
M15_SLOW_flow_run_age_dir,0.5948480818012258,0.586896437390818,0.586896437390818,0.6027997262116337
M15_SLOW_last_run_age_dir,0.5948480818012258,0.586896437390818,0.586896437390818,0.6027997262116337
H1_SLOW_flow_run_age_dir,0.5942456590278715,0.590293758134517,0.590293758134517,0.5981975599212259
H1_SLOW_last_run_age_dir,0.5942456590278715,0.590293758134517,0.590293758134517,0.5981975599212259
H1_FAST_flow_run_age_dir,0.5935899277059729,0.5840218070032183,0.6031580484087276,0.5840218070032183
H1_FAST_last_run_age_dir,0.5935899277059729,0.5840218070032183,0.6031580484087276,0.5840218070032183
M30_FAST_flow_run_age_dir,0.5927369174342201,0.5793508222357489,0.5793508222357489,0.6061230126326912
M30_FAST_last_run_age_dir,0.5927369174342201,0.5793508222357489,0.5793508222357489,0.6061230126326912
M30_STD_flow_last_body,0.5915974101876496,0.5807043069020295,0.5807043069020295,0.6024905134732695
M30_STD_last_body_dir,0.5915974101876496,0.5807043069020295,0.5807043069020295,0.6024905134732695
M30_SLOW_flow_late,0.5906879748326903,0.5859673085202726,0.5859673085202726,0.5954086411451079
M30_FAST_last_run_range_dir,0.5906445897199888,0.5704108951804069,0.5704108951804069,0.6108782842595706
M30_SLOW_last_run_range_dir,0.5899676914382921,0.5787297534035067,0.5787297534035067,0.6012056294730774
H1_STD_flow_last_align,0.5891338348641995,0.5883798268925279,0.5883798268925279,0.5898878428358711
H1_STD_last_align,0.5891338348641995,0.5883798268925279,0.5883798268925279,0.5898878428358711
M15_SLOW_flow_last_body,0.588878066603818,0.5806993581463941,0.5806993581463941,0.5970567750612421
M15_SLOW_last_body_dir,0.588878066603818,0.5806993581463941,0.5806993581463941,0.5970567750612421
M30_SLOW_flow_last_align,0.5881767558882002,0.5799211663227282,0.5799211663227282,0.5964323454536722
M30_SLOW_last_align,0.5881767558882002,0.5799211663227282,0.5799211663227282,0.5964323454536722
M30_SLOW_flow_run_age_dir,0.5857733855173874,0.5806622424791285,0.5806622424791285,0.5908845285556463
M30_SLOW_last_run_age_dir,0.5857733855173874,0.5806622424791285,0.5806622424791285,0.5908845285556463
H1_FAST_flow_last_align,0.5790618183325479,0.5770630193573179,0.5810606173077779,0.5770630193573179
H1_FAST_last_align,0.5790618183325479,0.5770630193573179,0.5810606173077779,0.5770630193573179
M15_STD_last_run_disp_dir,0.578759481176909,0.5638785377416848,0.5638785377416848,0.5936404246121332
M15_STD_last_run_body_sum_dir,0.5785961232590995,0.563017454261126,0.563017454261126,0.5941747922570728
H1_STD_last_run_range_dir,0.5778641153099436,0.5729792993551772,0.5729792993551772,0.5827489312647101
H1_STD_flow_late,0.5765745821277718,0.5678214587941862,0.5678214587941862,0.5853277054613574
H1_STD_flow_body,0.5748931973483458,0.5697439838608963,0.5800424108357953,0.5697439838608963
M15_STD_last_run_range_dir,0.5740334392150966,0.5594939402487245,0.5594939402487245,0.5885729381814688
H1_STD_flow_side,0.5723515289839688,0.5671201786829339,0.5775828792850037,0.5671201786829339
M15_STD_flow_run_age_dir,0.5718469313345708,0.5598341671986579,0.5598341671986579,0.5838596954704837
M15_STD_last_run_age_dir,0.5718469313345708,0.5598341671986579,0.5598341671986579,0.5838596954704837
M30_FAST_flow_last_body,0.5718371976606516,0.5650142771600082,0.5650142771600082,0.5786601181612949
M30_FAST_last_body_dir,0.5718371976606516,0.5650142771600082,0.5650142771600082,0.5786601181612949
H1_SLOW_last_run_body_sum_dir,0.5708658606158257,0.5698442626601541,0.5698442626601541,0.5718874585714973
M30_SLOW_flow_body,0.5684724808024691,0.5665377779912579,0.5704071836136804,0.5665377779912579
M30_STD_flow_last_align,0.5669429176772262,0.5653606900544859,0.5653606900544859,0.5685251452999665
M30_STD_last_align,0.5669429176772262,0.5653606900544859,0.5653606900544859,0.5685251452999665
M30_SLOW_flow_side,0.5635450586458195,0.5614312647101206,0.5656588525815184,0.5614312647101206
M15_SLOW_flow_last_align,0.5631513704523565,0.5577655873430626,0.5577655873430626,0.5685371535616504
M15_SLOW_last_align,0.5631513704523565,0.5577655873430626,0.5577655873430626,0.5685371535616504
H1_SLOW_flow_last_body,0.5628140473813137,0.5612457997436544,0.5612457997436544,0.564382295018973
H1_SLOW_last_body_dir,0.5628140473813137,0.5612457997436544,0.5612457997436544,0.564382295018973
M15_STD_flow_last_body,0.5606645880167268,0.5541789766963097,0.5541789766963097,0.567150199337144
M15_STD_last_body_dir,0.5606645880167268,0.5541789766963097,0.5541789766963097,0.567150199337144
M15_FAST_last_run_body_sum_dir,0.5562994079983742,0.5554334862498824,0.5554334862498824,0.557165329746866
M15_FAST_last_run_disp_dir,0.556042090458837,0.5549608800867022,0.5549608800867022,0.5571233008309717
M15_STD_transition_rate,0.5553681530826609,0.5541863998297627,0.5541863998297627,0.5565499063355589
M30_FAST_flow_last_align,0.5547426177438175,0.5442443497582533,0.5442443497582533,0.5652408857293818
M30_FAST_last_align,0.5547426177438175,0.5442443497582533,0.5442443497582533,0.5652408857293818
H1_SLOW_last_run_range_dir,0.5542126621638781,0.5528903885873481,0.5555349357404081,0.5528903885873481
M15_FAST_last_run_range_dir,0.5539599560634123,0.5536469090734425,0.5542730030533822,0.5536469090734425
M15_FAST_flow_run_age_dir,0.5526305213847394,0.5473395696239013,0.5579214731455776,0.5473395696239013
M15_FAST_last_run_age_dir,0.5526305213847394,0.5473395696239013,0.5579214731455776,0.5473395696239013
M15_SLOW_flow_late,0.5516030295110834,0.533047790133171,0.533047790133171,0.5701582688889957
H1_SLOW_flow_body,0.5510831470609614,0.5397533540191319,0.5397533540191319,0.5624129401027909
H1_SLOW_last_run_disp_dir,0.5510535257342968,0.5501104760074932,0.5519965754611003,0.5501104760074932
H1_SLOW_flow_side,0.5497685233650351,0.5381177902816338,0.5381177902816338,0.5614192564484366
M15_SLOW_transition_rate,0.5491152253279079,0.5329056390796868,0.5653248115761291,0.5329056390796868
H1_SLOW_flow_last_align,0.5486901163156509,0.5486747232408411,0.5486747232408411,0.5487055093904607
H1_SLOW_last_align,0.5486901163156509,0.5486747232408411,0.5486747232408411,0.5487055093904607
M30_STD_flow_late,0.5466613850154611,0.5364426364990523,0.5364426364990523,0.5568801335318699
M15_FAST_transition_rate,0.5462459338124663,0.536608419812838,0.536608419812838,0.5558834478120948
M30_FAST_transition_rate,0.545654595353512,0.5438691819972141,0.5474400087098099,0.5438691819972141
H1_SLOW_transition_rate,0.5452756969723002,0.5310744738235571,0.5310744738235571,0.5594769201210432
H1_FAST_flow_late,0.5421411524281607,0.5420792691677678,0.5420792691677678,0.5422030356885537
M30_STD_transition_rate,0.5391222363845717,0.5246259426485422,0.5536185301206011,0.5246259426485422
H1_FAST_transition_rate,0.5382907275813046,0.5255325664056871,0.551048888756922,0.5255325664056871
M15_FAST_flow_last_body,0.5375270788407626,0.5356645372015947,0.5393896204799304,0.5356645372015947
M15_FAST_last_body_dir,0.5375270788407626,0.5356645372015947,0.5393896204799304,0.5356645372015947
