multiple,mean_AUC,min_AUC,base_rate_mean,entries,lot_units,PnL,PF,DD,weighted_hours,PnL_per_1000h,sum_R,max_units,max_concurrent_units
2,0.804309502781076,0.8026954522227898,0.42245015454018386,1099,2165.0,15020.830000000014,1.5921858651231267,3777.670000000029,43795.65944444445,342.97531286300637,409.33582174549804,3.0,13.0
3,0.809432427405151,0.8004346990729623,0.22679092949805185,1159,2313.0,14827.570000000005,1.5533951485827708,2638.0400000000354,44596.36388888889,332.4838329183665,388.8765423128168,3.0,12.0
4,0.8189760797428945,0.8182620320855615,0.13688462666416196,1070,2052.0,13576.330000000016,1.5615167698184635,2373.4199999999946,39822.02166666667,340.9251823938459,365.9870047302815,3.0,10.0
5,0.8282456256022304,0.8113654301499604,0.08266953808229618,1091,2035.0,13156.940000000013,1.5497040057924543,2367.7499999999945,40099.487499999996,328.10743528829425,385.1007915437682,3.0,9.0
6,0.8533586749994859,0.8466755123101872,0.055496278737243845,1100,2100.0,12497.3,1.4918421184163042,2892.729999999994,40684.964166666665,307.17244702009793,368.2704490720881,3.0,10.0
7,0.861073752254447,0.8509979928635147,0.037596444021585615,1019,1859.0,10210.860000000006,1.4617427897768542,2520.1700000000046,36382.27722222222,280.6547797333377,312.0007548813055,3.0,9.0
8,0.854082451549111,0.8499477533960292,0.026332309372284396,1081,1979.0,11241.120000000006,1.496686801686623,1637.4300000000148,38469.30222222222,292.21013511148243,335.20557003199775,3.0,9.0
