signal_id,decision_time,entry_event,direction,units,event_price,structural_sl,h4_source_open,h4_source_end,h4_fast_dir,h4_fast_run_k,answer_final_run_len,answer_future_remaining_h4,h4_fast_body_signed,h4_fast_body_to_range_signed,era_scale_prev_h4_atr180,era_risk_event_price,m15_count,m15_aligned_fraction,m15_transition_rate,m15_mean_same_run_len,m15_mean_opp_run_len,m15_max_same_run_len,m15_max_opp_run_len,m15_length_advantage,m15_current_signed_streak,m15_body_sum_signed,m15_body_mean_signed,m15_body_flow_eff,m15_body_to_range_mean_signed,m15_opposing_wick_share_mean,m15_no_opposing_wick_fraction,m30_count,m30_aligned_fraction,m30_transition_rate,m30_mean_same_run_len,m30_mean_opp_run_len,m30_max_same_run_len,m30_max_opp_run_len,m30_length_advantage,m30_current_signed_streak,m30_body_sum_signed,m30_body_mean_signed,m30_body_flow_eff,m30_body_to_range_mean_signed,m30_opposing_wick_share_mean,m30_no_opposing_wick_fraction,h1_count,h1_aligned_fraction,h1_transition_rate,h1_mean_same_run_len,h1_mean_opp_run_len,h1_max_same_run_len,h1_max_opp_run_len,h1_length_advantage,h1_current_signed_streak,h1_body_sum_signed,h1_body_mean_signed,h1_body_flow_eff,h1_body_to_range_mean_signed,h1_opposing_wick_share_mean,h1_no_opposing_wick_fraction
0,2025.01.03 12:00:00,ENTRY_FILL,SHORT,1,2653.52,2665.2,2025-01-03 08:00:00,2025-01-03 12:00:00,SHORT,1,9,8,3.9894056136013205,0.38139633017220903,13.288075941141674,0.8789835377021726,16,0.5625,0.4666666666666667,2.25,1.75,4,3,1,1,6.356616858620782,0.3972885536637989,0.44552032235708294,0.085938728034153,0.3345119127701717,0.0625,8,0.625,0.42857142857142855,2.5,1.5,4,2,2,-2,7.532743008822308,0.9415928761027885,0.6777631608866218,0.20089101226544875,0.2941240310201482,0.25,4,1.0,0.0,4.0,0.0,4,0,4,4,12.676719566039083,3.1691798915097706,1.0,0.5403635789982144,0.019511149163779915,0.75
1,2025.01.03 16:00:00,ENTRY_FILL,SHORT,1,2649.77,2659.29,2025-01-03 12:00:00,2025-01-03 16:00:00,SHORT,2,9,7,5.007351403400662,0.31632036660775015,13.272364408135331,0.717279883768462,16,0.5625,0.3333333333333333,3.0,2.3333333333333335,7,3,4,7,7.309452449520904,0.4568407780950565,0.3796772676110074,0.019084360268817827,0.3136785836267694,0.0625,8,0.5,0.14285714285714285,4.0,4.0,4,4,0,4,5.480618114364006,0.6850772642955008,0.3748091951569474,0.046090557058868345,0.3267573415947048,0.125,4,0.25,0.3333333333333333,1.0,3.0,1,3,-2,1,1.7651074728769345,0.4412768682192336,0.20139880178728792,-0.10207005811491449,0.34537502701644224,0.25
2,2025.01.07 01:00:05,ENTRY_REJECT,LONG,3,2636.84,2632.88,2025-01-06 20:00:00,2025-01-07 00:00:00,LONG,1,6,5,5.161534799935907,0.670718141639594,13.367165147486837,0.2962483036834894,16,0.5,0.5333333333333333,2.0,1.6,4,4,0,-1,-0.45680542019408676,-0.028550338762130423,-0.05867566982413209,-0.0060346506271343045,0.40444951060065115,0.125,8,0.25,0.14285714285714285,2.0,6.0,2,6,-4,2,-1.3417804266814528,-0.1677225533351816,-0.22151410923021697,-0.03032720671345129,0.3688751007123171,0.25,4,0.25,0.3333333333333333,1.0,3.0,1,3,-2,1,-2.91997769606769,-0.7299944240169225,-0.688677124586684,-0.21513624105115473,0.3855374929415437,0.0
3,2025.01.07 04:00:00,ENTRY_FILL,LONG,1,2639.14,2632.88,2025-01-07 00:00:00,2025-01-07 04:00:00,LONG,2,6,4,2.9423836999840205,0.3566525696950328,13.324125341111909,0.46982446049831,12,0.5,0.2727272727272727,3.0,3.0,5,4,1,5,3.81968103514464,0.31830675292872,0.35482272984529845,-0.03134139023483449,0.3025360617032868,0.16666666666666666,6,0.5,0.2,3.0,3.0,3,3,0,3,2.612837470290742,0.4354729117151237,0.3308192965768524,-0.009820391809533625,0.33886176512261956,0.3333333333333333,3,0.3333333333333333,0.5,1.0,2.0,1,2,-1,1,1.955001301063021,0.6516671003543403,0.579259804262655,0.03727599787669002,0.41964882943140785,0.3333333333333333
4,2025.01.07 08:00:00,ENTRY_FILL,LONG,1,2644.55,2632.9,2025-01-07 04:00:00,2025-01-07 08:00:00,LONG,3,6,3,5.189595924996411,0.5885499822332467,13.295935755883509,0.8762076031275133,16,0.625,0.2,5.0,3.0,5,3,2,5,7.085069007906895,0.44281681299418096,0.5733005482584855,0.09950834783506354,0.31141103856266433,0.1875,8,0.75,0.2857142857142857,3.0,2.0,4,2,2,2,6.990665689148955,0.8738332111436193,0.8068960006457455,0.1722147843938405,0.3002535249898678,0.125,4,1.0,0.0,4.0,0.0,4,0,4,4,7.51937517424949,1.8798437935623724,1.0,0.4391057256466695,0.13066615987966523,0.5
5,2025.01.08 01:00:05,ENTRY_REJECT,SHORT,1,2647.73,2656.02,2025-01-07 20:00:00,2025-01-08 00:00:00,SHORT,1,3,2,3.829040640918265,0.5700487529572034,13.342203080643344,0.6213366675573214,16,0.625,0.4,2.5,2.0,4,3,1,2,4.047855819140295,0.25299098869626846,0.3332271947236082,0.08066880950603308,0.27272830951058064,0.1875,8,0.625,0.5714285714285714,1.6666666666666667,1.5,3,2,1,1,5.23974324670462,0.6549679058380775,0.6105896096074237,0.1401352132478187,0.24648945953858187,0.375,4,1.0,0.0,4.0,0.0,4,0,4,4,5.094371271130967,1.2735928177827418,1.0,0.296481578401552,0.16040663547615808,0.25
6,2025.01.08 04:00:00,ENTRY_FILL,SHORT,1,2648.77,2656.02,2025-01-08 00:00:00,2025-01-08 04:00:00,SHORT,2,3,1,2.0332601602290197,0.46634407344700923,13.299357507973104,0.5451391163560758,12,0.4166666666666667,0.2727272727272727,2.5,3.5,4,6,-2,-1,0.7419419334401027,0.061828494453341896,0.11537500224802333,-0.027799794769824623,0.3477336601723892,0.08333333333333333,6,0.5,0.4,1.5,3.0,2,3,-1,2,0.6722784319554194,0.11204640532590322,0.12238677334828227,-0.033663728208562366,0.3185569154662929,0.0,3,0.6666666666666666,1.0,1.0,1.0,1,1,0,1,0.15300499081558883,0.05100166360519628,0.07806937581596153,0.018486383083775818,0.35676383052297495,0.0
7,2025.01.08 12:00:00,ENTRY_FILL,LONG,3,2653.76,2645.23,2025-01-08 08:00:00,2025-01-08 12:00:00,LONG,1,5,4,3.168421239985946,0.5168713278932936,13.206473886202662,0.6458953444728223,16,0.6875,0.2,5.5,2.5,6,4,2,-1,5.229085096019389,0.32681781850121183,0.46585417118104083,0.1383208708092519,0.28625224410811695,0.0625,8,0.875,0.2857142857142857,3.5,1.0,4,1,3,3,5.421267440645352,0.677658430080669,0.6543499682193882,0.2367352065777012,0.200826617167996,0.25,4,1.0,0.0,4.0,0.0,4,0,4,4,8.450432435902712,2.112608108975678,1.0,0.470630874751856,0.09114736161981243,0.75
8,2025.01.08 16:00:00,ENTRY_FILL,LONG,3,2660.34,2645.23,2025-01-08 12:00:00,2025-01-08 16:00:00,LONG,2,5,3,4.5701053099965065,0.31561500759644345,13.167160142390426,1.1475519274163692,16,0.5625,0.3333333333333333,3.0,2.3333333333333335,6,4,2,6,6.054072737804745,0.37837954611279656,0.26105464682087404,0.0616748562897741,0.3007167388999773,0.1875,8,0.625,0.2857142857142857,2.5,3.0,3,3,0,3,4.130665607718129,0.5163332009647661,0.24349880364509,0.03071929625641938,0.32930988185335075,0.125,4,0.5,0.6666666666666666,1.0,2.0,1,2,-1,1,2.5356520272434864,0.6339130068108716,0.2595044710312533,0.1001523622747949,0.32983146615236514,0.5
9,2025.01.09 08:00:01,ENTRY_FILL,SHORT,3,2658.32,2662.15,2025-01-09 04:00:00,2025-01-09 08:00:00,SHORT,1,1,0,0.809991776132847,0.12089429494519613,13.171606466561524,0.2907769837888086,16,0.5625,0.26666666666666666,3.0,3.5,4,4,0,2,0.6243867878265519,0.03902417423915949,0.037398633971696585,0.037042553267817205,0.3070490219286055,0.25,8,0.625,0.5714285714285714,1.6666666666666667,1.5,2,2,0,1,0.16430008635870763,0.020537510794838454,0.020773050662615408,0.005376534249086011,0.3691668551797085,0.125,4,0.5,1.0,1.0,1.0,1,1,0,-1,2.668968791136649,0.6672421977841623,0.8039895034652795,0.16030037754614823,0.3366714685031691,0.25
10,2025.01.13 04:00:00,ENTRY_FILL,SHORT,1,2685.49,2693.2,2025-01-13 00:00:00,2025-01-13 04:00:00,SHORT,1,6,5,3.614730001924727,0.26042723356806186,13.02735490104984,0.5918315773663853,12,0.5833333333333334,0.36363636363636365,3.5,1.6666666666666667,6,3,3,-1,7.175151192460362,0.5979292660383635,0.3923623997899078,0.025551370015001764,0.28155826786230054,0.16666666666666666,6,0.6666666666666666,0.4,2.0,2.0,3,2,1,3,7.943268467248345,1.3238780778747241,0.6976948505575584,0.12471986082208313,0.26366436073552296,0.16666666666666666,3,0.3333333333333333,0.5,1.0,2.0,1,2,-1,1,2.9410795293142655,0.9803598431047552,0.6004898786040453,0.05770658313300849,0.27779571649393753,0.3333333333333333
11,2025.01.14 04:00:00,ENTRY_FILL,LONG,3,2670.91,2656.75,2025-01-14 00:00:00,2025-01-14 04:00:00,LONG,1,2,1,4.668441716307825,0.4802923576448254,13.001717736222966,1.0890868643110054,12,0.8333333333333334,0.18181818181818182,5.0,2.0,9,2,7,1,9.93337527154199,0.8277812726284992,0.8558253636195751,0.32773842559621247,0.210750908555788,0.4166666666666667,6,1.0,0.0,6.0,0.0,6,0,6,6,9.917142442300701,1.6528570737167836,1.0,0.4338157442201347,0.1394171009273471,0.3333333333333333,3,1.0,0.0,3.0,0.0,3,0,3,3,13.456322250237918,4.485440750079306,1.0,0.6441384928710757,0.0,1.0
12,2025.01.14 08:00:00,ENTRY_FILL,LONG,1,2668.9,2656.75,2025-01-14 04:00:00,2025-01-14 08:00:00,LONG,2,2,0,3.4071104290769654,0.39677030558966075,12.983485971021729,0.9358041459064289,16,0.375,0.26666666666666666,3.0,3.3333333333333335,3,5,-2,-3,-1.5716878640891991,-0.09823049150557495,-0.10674375940747843,-0.07494601484131569,0.37839377065245805,0.0625,8,0.5,0.5714285714285714,2.0,1.3333333333333333,2,2,0,-1,-0.14092873802701433,-0.01761609225337679,-0.017238324680296003,-0.03154311763424618,0.36405880565775045,0.0,4,1.0,0.0,4.0,0.0,4,0,4,4,5.270757444227911,1.3176893610569778,1.0,0.29884905639292414,0.21309771713602496,0.25
13,2025.01.14 12:00:00,ENTRY_FILL,SHORT,1,2667.29,2675.22,2025-01-14 08:00:00,2025-01-14 12:00:00,SHORT,1,2,1,0.7242223927305531,0.07536133118944262,12.955411048960496,0.6120994517295626,16,0.625,0.26666666666666666,3.3333333333333335,3.0,5,4,1,5,2.89490495735663,0.18093155983478937,0.2024481496511856,0.05949087891631793,0.32493104604923007,0.25,8,0.625,0.5714285714285714,1.6666666666666667,1.5,2,2,0,2,2.4918813007925564,0.31148516259906955,0.2385044401208988,0.1175434839733541,0.3018453243497736,0.375,4,0.75,0.6666666666666666,1.5,1.0,2,1,1,1,3.2608901597354816,0.8152225399338704,0.6095897225669775,0.21320465318786502,0.2688632863826055,0.25
14,2025.01.14 16:00:00,ENTRY_FILL,SHORT,1,2662.86,2675.22,2025-01-14 12:00:00,2025-01-14 16:00:00,SHORT,2,2,0,2.97905559818264,0.2192093891230764,12.936825432021829,0.9554121345261125,16,0.5625,0.4666666666666667,2.25,1.75,3,4,-1,3,3.1103845582242684,0.19439903488901678,0.20400647649034145,0.013260156845374174,0.39897510794934943,0.0,8,0.75,0.2857142857142857,3.0,2.0,3,2,1,3,2.911326231100702,0.36391577888758775,0.2668493754692909,0.05029057756292957,0.3354187951937675,0.0,4,0.75,0.6666666666666666,1.5,1.0,2,1,1,1,3.553493134983455,0.8883732837458638,0.6206004749123254,0.13238827381054796,0.32409632437149827,0.25
15,2025.01.14 20:00:00,ENTRY_FILL,LONG,3,2669.13,2659.81,2025-01-14 16:00:00,2025-01-14 20:00:00,LONG,1,9,8,0.5272361004540471,0.0371816714001448,12.940454179621709,0.7202220162161741,16,0.625,0.4,3.3333333333333335,1.5,8,2,6,-1,6.491967074444801,0.4057479421528001,0.28784454988729796,0.05385449535149419,0.33881736088310316,0.1875,8,0.625,0.2857142857142857,5.0,1.5,5,2,3,-2,5.3620069682883695,0.6702508710360462,0.29381443215730324,0.07949438798867772,0.27742620260107487,0.25,4,0.75,0.3333333333333333,3.0,1.0,3,1,2,3,4.666031679063963,1.1665079197659907,0.3676086790101394,0.18934837183649944,0.2220066041525752,0.25
16,2025.01.15 01:00:05,ENTRY_REJECT,LONG,3,2678.64,2666.64,2025-01-14 20:00:00,2025-01-15 00:00:00,LONG,2,9,7,6.809809025114191,0.5906165676595033,12.947340545290475,0.9268312637659736,16,0.8125,0.2,6.5,1.5,7,2,5,6,10.013021530005517,0.6258138456253448,0.6395546530211339,0.27351219681265726,0.20686738720552636,0.3125,8,0.875,0.14285714285714285,7.0,1.0,7,1,6,7,9.216679718124396,1.1520849647655496,0.7851271921149194,0.367384801355609,0.1782409118435122,0.625,4,1.0,0.0,4.0,0.0,4,0,4,4,10.566314479941866,2.6415786199854665,1.0,0.5023941517131882,0.13476815745296541,0.75
17,2025.01.15 08:00:00,ENTRY_FILL,LONG,1,2679.47,2669.32,2025-01-15 04:00:00,2025-01-15 08:00:00,LONG,4,9,5,2.2916130640692245,0.23100938145860006,12.920580506532474,0.7855684189164667,16,0.75,0.4,3.0,1.3333333333333333,6,2,4,2,8.98400513534807,0.5615003209592544,0.7946794930689067,0.24137543781995763,0.26937545222451353,0.3125,8,0.625,0.42857142857142855,2.5,1.5,4,2,2,1,6.961101138445883,0.8701376423057354,0.8221145952743015,0.2704615458319553,0.2591051340669957,0.125,4,0.75,0.3333333333333333,3.0,1.0,3,1,2,3,4.918135269373579,1.2295338173433947,0.6259725224478456,0.3453166862115997,0.1454713582432276,0.25
18,2025.01.16 08:00:00,ENTRY_FILL,SHORT,3,2694.68,2702.21,2025-01-16 04:00:00,2025-01-16 08:00:00,SHORT,1,1,0,0.21271005540438637,0.04604113753341805,12.860561376624414,0.5855109881662602,16,0.4375,0.26666666666666666,2.3333333333333335,4.5,4,6,-2,4,4.756919172895323,0.2973074483059577,0.5576804745778347,0.11232581930228384,0.32762522040169284,0.1875,8,0.5,0.5714285714285714,1.3333333333333333,2.0,2,3,-1,2,3.673754448530417,0.4592193060663021,0.6894363157867729,0.14186122028546225,0.3576205227506067,0.125,4,0.25,0.3333333333333333,1.0,3.0,1,3,-2,1,-0.6653999183340602,-0.16634997958351505,-0.2157111705595185,-0.13470007373563542,0.4029291654787121,0.0
19,2025.01.17 04:00:00,ENTRY_FILL,SHORT,1,2714.59,2724.65,2025-01-17 00:00:00,2025-01-17 04:00:00,SHORT,1,4,3,3.282629599663778,0.4517403226133471,12.847730535803844,0.7830176677480044,12,0.3333333333333333,0.5454545454545454,1.3333333333333333,2.0,2,3,-1,-2,0.9004861070588959,0.07504050892157466,0.09168099283739621,-0.042303754763867184,0.37282755691414865,0.08333333333333333,6,0.3333333333333333,0.6,1.0,2.0,1,3,-2,-1,1.573282402544919,0.2622137337574865,0.3948884277404664,0.005091238425651483,0.4541066605934392,0.0,3,0.6666666666666666,1.0,1.0,1.0,1,1,0,1,2.8181047296138786,0.9393682432046262,0.9836653062048414,0.24692383618471714,0.19135733590843415,0.3333333333333333
20,2025.01.17 12:00:00,ENTRY_FILL,SHORT,1,2704.68,2717.29,2025-01-17 08:00:00,2025-01-17 12:00:00,SHORT,3,4,1,5.71516434997875,0.5391664481111843,12.773904447459598,0.9871688058937949,16,0.5625,0.26666666666666666,3.0,3.5,4,4,0,4,8.669979048010646,0.5418736905006654,0.66508600743939,0.14792621463935773,0.30720941874137137,0.1875,8,0.75,0.5714285714285714,2.0,1.0,2,1,1,2,8.659847713858198,1.0824809642322748,0.8230075038964392,0.25053867396186946,0.2551109187629641,0.25,4,1.0,0.0,4.0,0.0,4,0,4,4,8.729314492714366,2.1823286231785914,1.0,0.4212926498570492,0.11436246548050853,0.25
21,2025.01.17 20:00:00,ENTRY_FILL,LONG,3,2712.7,2702.69,2025-01-17 16:00:00,2025-01-17 20:00:00,LONG,1,1,0,3.2078022281261838,0.2189626094284071,12.74226149385966,0.7855748373099595,16,0.6875,0.2,5.5,2.5,10,3,7,1,7.582358223497977,0.47389738896862355,0.3926880226626681,0.12669633957351922,0.349360671975848,0.1875,8,0.625,0.2857142857142857,5.0,1.5,5,2,3,-2,7.4939509905721025,0.9367438738215128,0.4210108539957282,0.13535639190206972,0.2093818004267678,0.25,4,0.75,0.3333333333333333,3.0,1.0,3,1,2,3,10.489436271512659,2.6223590678781648,0.972561477389513,0.3819903040255976,0.23338122735539937,0.5
