candidate,valid_n,stop_hits,median_dist,p1_dist,pnl,pf,dd,gp,gl,total_R_equal,PF_R_equal,DD_R_equal,total_R_Wprop,PF_R_Wprop,DD_R_Wprop
NHA_ONLY,1159,0,,,12813.21000000004,1.4379747596954988,4031.2599999999948,42068.80000000002,29255.589999999986,,,,,,
H1_STRUCT,1159,256,30.23999999999978,5.15120000000009,14931.100000000039,1.5579867318811567,2586.1299999999846,41689.980000000025,26758.879999999986,160.0197297581775,1.3751675187459074,23.998890965412357,397.4449103448504,1.4790231249671009,50.320668406978484
ENTRY_PHA_RAW,1153,535,18.009999999999764,1.1824000000005253,9618.230000000016,1.3901073763330787,3318.619999999997,34273.57000000002,24655.34000000001,205.0855747246413,1.322316628062476,50.18096506954467,470.7420533112711,1.38917769234489,93.87351009366643
ENTRY_FAST_BODY,1104,596,14.19747569506012,0.6553561753232998,9837.221099639793,1.4590007570227486,2738.8955184917722,31269.04000000001,21431.81890036022,224.94929373186605,1.3362296828385916,55.680230352463155,489.4548636244881,1.367425232111459,110.83270918023771
ENTRY_STD_BODY,1084,616,13.519274482774563,0.31410000000011223,12749.820935212887,1.6097781813761707,2176.851203279388,33658.77000000002,20908.949064787135,206.50572840407668,1.3044541025840433,53.14830865159189,449.9461129587927,1.328322399010908,105.49048677946763
PREV_H4_RAW,1158,289,28.50499999999988,4.319699999999839,14153.600000000033,1.5295018374464988,2741.099999999984,40883.63000000002,26730.029999999988,163.48544451113918,1.3586402342273411,29.197624720255853,395.2280786859071,1.4544458102604778,60.73852442599636
PREV_FAST_HA_EXT,1158,282,28.795000000000073,4.914013165323199,14273.918082474112,1.5328836385276257,2560.1324891599434,41060.10000000002,26786.181917525915,165.8480389254188,1.369406639712076,29.191997208356113,397.6633663469803,1.4616807968398942,60.73289691409664
PREV_STD_HA_EXT,1158,279,28.850000000000136,4.551399999999953,14357.829334905004,1.5377006890156886,2552.9747361055524,41060.10000000002,26702.27066509502,170.79665698665144,1.3815705761208052,28.667601691515827,401.87844598122587,1.4671736639293742,60.208501397256356
PREV_SLOW_HA_EXT,1158,277,29.13000000000011,4.551399999999953,14297.988475636546,1.535717034865065,2548.439999999984,40987.43000000002,26689.44152436348,154.34970622715747,1.3451128901034721,28.430148419350893,384.32414209566724,1.4478008602771544,59.97104812509144
RUN_FAST_HA_EXT,1154,378,24.420000000000073,2.431800000000062,11025.363350540736,1.430682181658621,3255.2761480273575,36625.13000000003,25599.766649459292,150.41631825283014,1.2924056689155194,30.350977928200592,373.28499400154647,1.3592491402857487,64.56722541520756
RUN_STD_HA_EXT,1154,379,24.06999999999971,2.3906000000000995,10908.396381138953,1.4289422022033302,3227.7868216923207,36339.32000000003,25430.923618861074,161.04559427593225,1.312058484571714,30.149764056989753,376.22103807477754,1.36049395815443,63.524749800139716
H1_FAST_BODY,927,705,6.753431825459302,0.17887045902234605,8935.568923197628,1.5232476627959903,1285.2127382567396,26012.700000000026,17077.131076802398,556.5603532238871,1.7699577824695305,97.70830236778096,1004.550276558296,1.691453277171456,170.14937016871397
H1_STD_BODY,1002,719,8.107128257044678,0.16499999999951342,9403.270893746076,1.5093294761774843,1837.5481287344055,27865.330000000024,18462.059106253946,176.03061891312456,1.2362072736421346,107.08938829679639,508.39811100407144,1.3434847703141881,174.35414463654337
CHOP12_H1FAST_ELSE_PREVSTD,1155,481,19.948931823029397,0.3718480117523086,15611.095251891276,1.6998038771688644,1308.2658966052068,37918.91000000002,22307.814748108744,216.70148620395196,1.3650778592736277,52.23637861515056,639.2560377428196,1.5616286593715316,93.478560350382
