period,direction,selected_signals,fills,entry_rejects,sl_already_touched_rejects,units_filled,pnl,gross_profit,gross_loss,pf,exit_reject_affected_positions,unintended_hold_hours_sum
ALL,ALL,1159,984,174,1,1966,16220.67,39846.87,-23626.2,1.686554,131,2813.1958
ALL,LONG,719,606,113,0,1360,11905.59,27692.27,-15786.68,1.754154,72,1351.5492
ALL,SHORT,440,378,61,1,606,4315.08,12154.6,-7839.52,1.550427,59,1461.6467
2025,ALL,657,556,101,0,1086,7584.24,16477.99,-8893.75,1.852761,62,1618.145
2025,LONG,424,355,69,0,795,7875.34,14223.25,-6347.91,2.240619,29,673.3606
2025,SHORT,233,201,32,0,291,-291.1,2254.74,-2545.84,0.885657,33,944.7844
2026,ALL,502,428,73,1,880,8636.43,23368.88,-14732.45,1.586218,69,1195.0508
2026,LONG,295,251,44,0,565,4030.25,13469.02,-9438.77,1.426989,43,678.1886
2026,SHORT,207,177,29,1,315,4606.18,9899.86,-5293.68,1.870128,26,516.8622
