signal_id,decision_time,direction,W,run_seq,final_run_len,entry_price,stop_prev_std_ha_extreme,stop_distance,valid_stop,exit_time,exit_reason,child_pnl_price,child_R,weighted_fixedlot_pnl,weighted_R_Wprop,chop12,campaign_start
0,2025-01-03 12:00:00,SHORT,1.0,1,9,2653.52,2665.2,11.679999999999836,True,2025-01-07 01:00:00,NHA,17.18000000000029,1.4708904109589496,17.18000000000029,1.4708904109589496,False,2025-01-03 08:00:00
1,2025-01-03 16:00:00,SHORT,1.0,2,9,2649.77,2660.29,10.519999999999982,True,2025-01-07 01:00:00,NHA,13.430000000000291,1.276615969581779,13.430000000000291,1.276615969581779,False,2025-01-03 08:00:00
2,2025-01-07 01:00:05,LONG,3.0,1,6,2636.84,2614.68,22.16000000000031,True,2025-01-08 01:00:00,NHA,10.889999999999873,0.4914259927797708,32.66999999999962,1.4742779783393123,False,2025-01-06 20:00:00
3,2025-01-07 04:00:00,LONG,1.0,2,6,2639.14,2631.64732618823,7.492673811769691,True,2025-01-08 01:00:00,NHA,8.590000000000146,1.1464532176092792,8.590000000000146,1.1464532176092792,False,2025-01-06 20:00:00
4,2025-01-07 08:00:00,LONG,1.0,3,6,2644.55,2632.9,11.650000000000091,True,2025-01-08 01:00:00,NHA,3.1799999999998363,0.2729613733905418,3.1799999999998363,0.2729613733905418,True,2025-01-06 20:00:00
5,2025-01-08 01:00:05,SHORT,1.0,1,3,2647.73,2662.95,15.2199999999998,True,2025-01-08 12:00:00,NHA,-5.9399999999996,-0.3902759526938028,-5.9399999999996,-0.3902759526938028,True,2025-01-07 20:00:00
6,2025-01-08 04:00:00,SHORT,1.0,2,3,2648.77,2652.6,3.8299999999999272,True,2025-01-08 08:28:00,SL,-3.8299999999999272,-1.0,-3.8299999999999272,-1.0,True,2025-01-07 20:00:00
7,2025-01-08 12:00:00,LONG,3.0,1,5,2653.76,2645.23,8.5300000000002,True,2025-01-09 08:00:00,NHA,4.559999999999945,0.5345838218053738,13.679999999999836,1.6037514654161213,False,2025-01-08 08:00:00
8,2025-01-08 16:00:00,LONG,3.0,2,5,2660.34,2648.9,11.440000000000055,True,2025-01-09 08:00:00,NHA,-2.019999999999982,-0.17657342657342415,-6.059999999999945,-0.5297202797202725,False,2025-01-08 08:00:00
9,2025-01-09 08:00:01,SHORT,3.0,1,1,2658.32,2663.23,4.9099999999998545,True,2025-01-09 08:40:00,SL,-4.9099999999998545,-1.0,-14.729999999999563,-3.0,False,2025-01-09 04:00:00
10,2025-01-13 04:00:00,SHORT,1.0,1,6,2685.49,2697.22,11.730000000000018,True,2025-01-14 04:00:00,NHA,14.61999999999989,1.2463768115941916,14.61999999999989,1.2463768115941916,False,2025-01-13 00:00:00
11,2025-01-14 04:00:00,LONG,3.0,1,2,2670.91,2656.75,14.159999999999854,True,2025-01-14 12:00:00,NHA,-3.649999999999636,-0.25776836158189786,-10.949999999998909,-0.7733050847456936,False,2025-01-14 00:00:00
12,2025-01-14 08:00:00,LONG,1.0,2,2,2668.9,2662.35,6.550000000000182,True,2025-01-14 12:00:00,NHA,-1.6399999999998727,-0.25038167938928657,-1.6399999999998727,-0.25038167938928657,False,2025-01-14 00:00:00
13,2025-01-14 12:00:00,SHORT,1.0,1,2,2667.29,2675.22,7.929999999999836,True,2025-01-14 20:00:00,NHA,-1.900000000000091,-0.23959646910468224,-1.900000000000091,-0.23959646910468224,False,2025-01-14 08:00:00
14,2025-01-14 16:00:00,SHORT,1.0,2,2,2662.86,2674.38,11.519999999999982,True,2025-01-14 20:00:00,NHA,-6.329999999999927,-0.5494791666666612,-6.329999999999927,-0.5494791666666612,False,2025-01-14 08:00:00
15,2025-01-14 20:00:00,LONG,3.0,1,9,2669.13,2660.79,8.340000000000146,True,2025-01-16 08:00:00,NHA,25.579999999999927,3.067146282973559,76.73999999999978,9.201438848920677,False,2025-01-14 16:00:00
16,2025-01-15 01:00:05,LONG,3.0,2,9,2678.64,2659.81,18.829999999999927,True,2025-01-16 08:00:00,NHA,16.070000000000164,0.8534253850239101,48.21000000000049,2.56027615507173,False,2025-01-14 16:00:00
17,2025-01-15 08:00:00,LONG,1.0,4,9,2679.47,2669.82,9.649999999999636,True,2025-01-16 08:00:00,NHA,15.240000000000236,1.5792746113990477,15.240000000000236,1.5792746113990477,False,2025-01-14 16:00:00
18,2025-01-16 08:00:00,SHORT,3.0,1,1,2694.68,2702.21,7.5300000000002,True,2025-01-16 10:18:00,SL,-7.5300000000002,-1.0,-22.5900000000006,-3.0,False,2025-01-16 04:00:00
19,2025-01-17 04:00:00,SHORT,1.0,1,4,2714.59,2723.27,8.679999999999836,True,2025-01-17 20:00:00,NHA,1.9500000000002728,0.22465437788022,1.9500000000002728,0.22465437788022,False,2025-01-17 00:00:00
20,2025-01-17 12:00:00,SHORT,1.0,3,4,2704.68,2717.29,12.610000000000127,True,2025-01-17 18:51:00,SL,-12.610000000000127,-1.0,-12.610000000000127,-1.0,False,2025-01-17 00:00:00
21,2025-01-17 20:00:00,LONG,3.0,1,1,2712.7,2702.84,9.859999999999673,True,2025-01-17 21:56:00,SL,-9.859999999999673,-1.0,-29.579999999999018,-3.0,False,2025-01-17 16:00:00
