family,mean_AUC,min_AUC,AUC_2025,AUC_2026,mean_Brier
H4+PHASE_FLAGS,0.8147849124000925,0.8061686440270905,0.8234011807730945,0.8061686440270905,0.13706787040244084
H4+ALL_PHASE,0.8134636081202768,0.8057183342139391,0.8212088820266146,0.8057183342139391,0.13744756633048458
H4+FLOW_MEAN,0.8120033848902606,0.8027582977088237,0.8212484720716976,0.8027582977088237,0.13774051423260542
H4+ALIGN_COUNT,0.8117348843075312,0.8015754839329459,0.8218942846821166,0.8015754839329459,0.13780698238440905
H4_ONLY,0.8102030944918412,0.799420000960661,0.8209861880230216,0.799420000960661,0.13807678795085682
H4+MICRO_MACRO_GRADIENTS,0.8102020250029709,0.8015334550170518,0.81887059498889,0.8015334550170518,0.13818414929425454
