target_HA,mean_AUC,min_AUC,AUC_2025,AUC_2026,mean_Brier,oracle_PnL_2025_26
STD_w1_a50,0.850374933616914,0.8489451302161475,0.8518047370176803,0.8489451302161475,0.13260480387644352,24721.070000000007
SMOOTH_STD_w1_a75,0.8487703996723193,0.8382016351075151,0.8382016351075151,0.8593391642371234,0.13843828843144634,31849.77000000002
SLOW_w2_a75,0.8473237559232603,0.8351528568416614,0.8351528568416614,0.8594946550048591,0.13871892913610423,30867.790000000015
FAST_w2_a25,0.8220964526995945,0.8211034107895094,0.8230894946096796,0.8211034107895094,0.13410596059652014,25757.149999999994
CLOSE4_FAST_w4_a25,0.8079857984146211,0.8047855664004733,0.811186030428769,0.8047855664004733,0.13442012388451452,24199.13999999998
