feature,mean_AUC,min_AUC,AUC_2025,AUC_2026
MTF_FLOW_MEAN,0.6246686558186259,0.6201846870647005,0.6291526245725513,0.6201846870647005
MTF_BODY_MEAN,0.5934932642182548,0.5889811007022283,0.5889811007022283,0.5980054277342812
MTF_ALIGN_COUNT,0.5849024475053781,0.5828329890964984,0.5869719059142577,0.5828329890964984
MICRO_MINUS_MESO_FLOW,0.5721554681324361,0.5720615783659158,0.5722493578989564,0.5720615783659158
ALL_LTF_ALIGNED,0.5707959803901241,0.5634696671309862,0.5781222936492619,0.5634696671309862
MESO_MINUS_MACRO_FLOW,0.5695874783868315,0.5666300458749648,0.5666300458749648,0.5725449108986983
MICRO_MINUS_MACRO_FLOW,0.5382090214795959,0.537583324673011,0.537583324673011,0.5388347182861809
MICRO_FADES_MACRO,0.5260988489665046,0.5136932068431393,0.5136932068431393,0.5385044910898699
MICRO_LEADS_MACRO,0.5260520667766464,0.5258237667515251,0.5262803668017677,0.5258237667515251
MICRO_FAST_MATURE_GAP,0.5000196372540655,0.4892856285124165,0.5107536459957144,0.4892856285124165
