name,N,PnL,PF,DD,PositionHours,MaxConcurrent,entries,lot_units,weighted_hours,PnL_per_1000h,sum_R_weighted,max_units,multiple,mean_AUC,min_AUC,base_rate_mean,sum_R,max_concurrent_units
V9_GRAMMAR_BASE_2025_2026,450.0,5307.95,1.5153394544224175,1700.619999999999,38323.395833333336,14.0,,,,,,,,,,,,
V9_LITERAL_EXIT_ORACLE_2025_2026,450.0,16476.180000000008,3.798915508533748,856.8099999999959,,,,,,,,,,,,,,
V10_FAST_ALL1_2025_2026,,10007.269999999984,1.3683857907859278,2034.2799999999943,,,2489.0,2489.0,43033.33944444444,232.54690733261026,253.72258731715573,1.0,,,,,,
V10_FAST_TRUE_EARLY_THIRD_ORACLE_2025_2026,,23344.729999999992,15.156643602602696,148.80999999999995,,,567.0,567.0,19288.7425,1210.2774455099907,733.1794732418749,1.0,,,,,,
V10_BOUNDED_M3_2025_2026,,14827.570000000005,1.5533951485827708,2638.0400000000354,,,1159.0,2313.0,44596.36388888889,332.4838329183665,,3.0,3.0,0.809432427405151,0.8004346990729623,0.22679092949805185,388.8765423128168,12.0
