signal_id,decision_time,entry_status,entry_detail,direction,units,requested_or_event_price,structural_sl,filled,market_closed_entry_reject,sl_already_touched_reject,entry_time_actual,entry_price_actual,entry_ticket,entry_deal,intended_fast_nha_time,intended_fast_nha_old_direction,intended_exit_reject_count_at_time,exit_time_actual,exit_price_actual,exit_deal,exit_order,actual_pnl,actual_swap,exit_comment,exit_reason_actual,actual_holding_hours,exit_reject_affected,actual_exit_after_intended_flip,unintended_hold_hours
0,2025.01.03 12:00:00,ENTRY_FILL,signal=0 units=1 effective_ts=2025.01.03 12:00:00 fill=2653.52000,SHORT,1,2653.52,2665.2,True,False,False,2025.01.03 12:00:00,2653.52,2,2,2025.01.07 01:00:05,SHORT,2,2025.01.08 12:00:00,2653.74,9,9,-0.22,0.0,,FAST_NHA_OR_MANUAL,120.0,True,True,34.99861111111111
1,2025.01.03 16:00:00,ENTRY_FILL,signal=1 units=1 effective_ts=2025.01.03 16:00:00 fill=2649.77000,SHORT,1,2649.77,2659.29,True,False,False,2025.01.03 16:00:00,2649.77,3,3,2025.01.07 01:00:05,SHORT,2,2025.01.07 15:20:11,2659.29,6,6,-9.52,0.0,sl 2659.29,STRUCTURAL_SL,95.33638888888889,True,True,14.335
2,2025.01.07 01:00:05,ENTRY_REJECT,retcode=10018 market closed,LONG,3,2636.84,2632.88,False,True,False,,,,,,,0,,,,,,,,,,False,False,
3,2025.01.07 04:00:00,ENTRY_FILL,signal=3 units=1 effective_ts=2025.01.07 04:00:00 fill=2639.14000,LONG,1,2639.14,2632.88,True,False,False,2025.01.07 04:00:00,2639.14,4,4,2025.01.08 01:00:05,LONG,2,2025.01.09 08:00:01,2658.32,15,15,19.18,0.0,,FAST_NHA_OR_MANUAL,52.000277777777775,True,True,30.99888888888889
4,2025.01.07 08:00:00,ENTRY_FILL,signal=4 units=1 effective_ts=2025.01.07 08:00:00 fill=2644.55000,LONG,1,2644.55,2632.9,True,False,False,2025.01.07 08:00:00,2644.55,5,5,2025.01.08 01:00:05,LONG,2,2025.01.09 08:00:01,2658.31,14,14,13.76,0.0,,FAST_NHA_OR_MANUAL,48.000277777777775,True,True,30.99888888888889
5,2025.01.08 01:00:05,ENTRY_REJECT,retcode=10018 market closed,SHORT,1,2647.73,2656.02,False,True,False,,,,,,,0,,,,,,,,,,False,False,
6,2025.01.08 04:00:00,ENTRY_FILL,signal=6 units=1 effective_ts=2025.01.08 04:00:00 fill=2648.77000,SHORT,1,2648.77,2656.02,True,False,False,2025.01.08 04:00:00,2648.77,7,7,2025.01.08 12:00:00,SHORT,0,2025.01.08 12:00:00,2653.74,8,8,-4.97,0.0,,FAST_NHA_OR_MANUAL,8.0,False,False,0.0
7,2025.01.08 12:00:00,ENTRY_FILL,signal=7 units=3 effective_ts=2025.01.08 12:00:00 fill=2653.76000,LONG,3,2653.76,2645.23,True,False,False,2025.01.08 12:00:00,2653.76,10,10,2025.01.09 08:00:00,LONG,0,2025.01.09 08:00:00,2658.31,13,13,13.65,0.0,,FAST_NHA_OR_MANUAL,20.0,False,False,0.0
8,2025.01.08 16:00:00,ENTRY_FILL,signal=8 units=3 effective_ts=2025.01.08 16:00:00 fill=2660.34000,LONG,3,2660.34,2645.23,True,False,False,2025.01.08 16:00:00,2660.34,11,11,2025.01.09 08:00:00,LONG,0,2025.01.09 08:00:00,2658.32,12,12,-6.06,0.0,,FAST_NHA_OR_MANUAL,16.0,False,False,0.0
9,2025.01.09 08:00:01,ENTRY_FILL,signal=9 units=3 effective_ts=2025.01.09 08:00:00 fill=2658.32000,SHORT,3,2658.32,2662.15,True,False,False,2025.01.09 08:00:01,2658.32,16,16,2025.01.09 12:00:00,SHORT,0,2025.01.09 08:33:18,2662.19,17,17,-11.61,0.0,sl 2662.15,STRUCTURAL_SL,0.5547222222222222,False,False,0.0
10,2025.01.13 04:00:00,ENTRY_FILL,signal=10 units=1 effective_ts=2025.01.13 04:00:00 fill=2685.49000,SHORT,1,2685.49,2693.2,True,False,False,2025.01.13 04:00:00,2685.49,18,18,2025.01.14 04:00:00,SHORT,0,2025.01.14 04:00:00,2670.9,19,19,14.59,0.0,,FAST_NHA_OR_MANUAL,24.0,False,False,0.0
11,2025.01.14 04:00:00,ENTRY_FILL,signal=11 units=3 effective_ts=2025.01.14 04:00:00 fill=2670.91000,LONG,3,2670.91,2656.75,True,False,False,2025.01.14 04:00:00,2670.91,20,20,2025.01.14 12:00:00,LONG,0,2025.01.14 12:00:00,2667.29,23,23,-10.86,0.0,,FAST_NHA_OR_MANUAL,8.0,False,False,0.0
12,2025.01.14 08:00:00,ENTRY_FILL,signal=12 units=1 effective_ts=2025.01.14 08:00:00 fill=2668.90000,LONG,1,2668.9,2656.75,True,False,False,2025.01.14 08:00:00,2668.9,21,21,2025.01.14 12:00:00,LONG,0,2025.01.14 12:00:00,2667.3,22,22,-1.6,0.0,,FAST_NHA_OR_MANUAL,4.0,False,False,0.0
13,2025.01.14 12:00:00,ENTRY_FILL,signal=13 units=1 effective_ts=2025.01.14 12:00:00 fill=2667.29000,SHORT,1,2667.29,2675.22,True,False,False,2025.01.14 12:00:00,2667.29,24,24,2025.01.14 20:00:00,SHORT,0,2025.01.14 20:00:00,2669.12,27,27,-1.83,0.0,,FAST_NHA_OR_MANUAL,8.0,False,False,0.0
14,2025.01.14 16:00:00,ENTRY_FILL,signal=14 units=1 effective_ts=2025.01.14 16:00:00 fill=2662.86000,SHORT,1,2662.86,2675.22,True,False,False,2025.01.14 16:00:00,2662.86,25,25,2025.01.14 20:00:00,SHORT,0,2025.01.14 20:00:00,2669.11,26,26,-6.25,0.0,,FAST_NHA_OR_MANUAL,4.0,False,False,0.0
15,2025.01.14 20:00:00,ENTRY_FILL,signal=15 units=3 effective_ts=2025.01.14 20:00:00 fill=2669.13000,LONG,3,2669.13,2659.81,True,False,False,2025.01.14 20:00:00,2669.13,28,28,2025.01.16 08:00:00,LONG,0,2025.01.16 08:00:00,2694.74,31,31,76.83,0.0,,FAST_NHA_OR_MANUAL,36.0,False,False,0.0
16,2025.01.15 01:00:05,ENTRY_REJECT,retcode=10018 market closed,LONG,3,2678.64,2666.64,False,True,False,,,,,,,0,,,,,,,,,,False,False,
17,2025.01.15 08:00:00,ENTRY_FILL,signal=17 units=1 effective_ts=2025.01.15 08:00:00 fill=2679.47000,LONG,1,2679.47,2669.32,True,False,False,2025.01.15 08:00:00,2679.47,29,29,2025.01.16 08:00:00,LONG,0,2025.01.16 08:00:00,2694.74,30,30,15.27,0.0,,FAST_NHA_OR_MANUAL,24.0,False,False,0.0
18,2025.01.16 08:00:00,ENTRY_FILL,signal=18 units=3 effective_ts=2025.01.16 08:00:00 fill=2694.68000,SHORT,3,2694.68,2702.21,True,False,False,2025.01.16 08:00:00,2694.68,32,32,2025.01.16 12:00:00,SHORT,0,2025.01.16 10:18:57,2702.31,33,33,-22.89,0.0,sl 2702.21,STRUCTURAL_SL,2.3158333333333334,False,False,0.0
19,2025.01.17 04:00:00,ENTRY_FILL,signal=19 units=1 effective_ts=2025.01.17 04:00:00 fill=2714.59000,SHORT,1,2714.59,2724.65,True,False,False,2025.01.17 04:00:00,2714.59,34,34,2025.01.17 20:00:00,SHORT,0,2025.01.17 20:00:00,2712.71,37,37,1.88,0.0,,FAST_NHA_OR_MANUAL,16.0,False,False,0.0
