market,N,positive_count,WR,avg_win_R,EV_R,total_R,LONG_N,SHORT_N
BTCUSD,49,19,0.3877551020408163,3.3157894736842106,0.673469387755102,33.0,27,22
GOLD,38,11,0.2894736842105263,4.159090909090909,0.4934210526315789,18.75,23,15
USDJPY,25,7,0.28,2.892857142857143,0.09,2.25,15,10
XAUEUR,32,11,0.34375,3.477272727272727,0.5390625,17.25,19,13
