market,variant,accepted_n,resolved_n,censored_n,positive,negative,positive_rate,avg_positive_R,avg_negative_R,expectancy_R,total_R,max_negative_streak,max_drawdown_R
XAUEUR,V3,72,72,0,18,54,0.25,2.013888888888889,-1.0,-0.2465277777777778,-17.75,10,37.5
XAUEUR,R2,88,87,1,24,63,0.27586206896551724,1.3464182590484206,-1.0,-0.3527122044004357,-30.685961782837907,7,31.185961782837904
XAUEUR,R2P,88,87,1,29,58,0.3333333333333333,1.1487599385228309,-1.0,-0.28374668715905643,-24.685961782837907,6,25.185961782837904
USDJPY,V3,61,61,0,17,44,0.2786885245901639,2.1029411764705883,-1.0,-0.13524590163934427,-8.25,8,12.75
USDJPY,R2,88,88,0,24,64,0.2727272727272727,2.6041666666666665,-1.0,-0.017045454545454544,-1.5,8,10.5
USDJPY,R2P,88,88,0,25,63,0.2840909090909091,2.14,-1.0,-0.10795454545454546,-9.5,7,10.5
BTCUSD,V3,110,110,0,37,73,0.33636363636363636,2.2409824506220843,-1.0,0.09014864248197378,9.916350673017115,6,17.333649326982886
BTCUSD,R2,169,169,0,46,123,0.27218934911242604,1.447170140064032,-1.0,-0.33390635240860667,-56.43017355705453,20,57.930173557054516
BTCUSD,R2P,169,169,0,52,117,0.3076923076923077,1.2417274315951055,-1.0,-0.31023771335535216,-52.430173557054516,12,52.930173557054516
