prior,state,N,positive,WR,avg_positive_R,EV_R,total_R
p1,ALIGNED,49,20,0.40816326530612246,3.75,0.9387755102040817,46.0
p1,OPPOSED,95,28,0.29473684210526313,3.294642857142857,0.2657894736842105,25.25
p2,ALIGNED,51,21,0.4117647058823529,3.7857142857142856,0.9705882352941176,49.5
p2,OPPOSED,93,27,0.2903225806451613,3.25,0.23387096774193547,21.75
s1,ALIGNED,50,19,0.38,3.9078947368421053,0.865,43.25
s1,OPPOSED,94,29,0.30851063829787234,3.206896551724138,0.2978723404255319,28.0
s2,ALIGNED,37,14,0.3783783783783784,3.6964285714285716,0.777027027027027,28.75
s2,OPPOSED,107,34,0.3177570093457944,3.3970588235294117,0.397196261682243,42.5
s3,ALIGNED,25,10,0.4,4.125,1.05,26.25
s3,NEUTRAL,37,13,0.35135135135135137,3.3461538461538463,0.527027027027027,19.5
s3,OPPOSED,82,25,0.3048780487804878,3.3,0.31097560975609756,25.5
