metric,observed_aligned_minus_opposed,cluster_bootstrap_ci2_5,cluster_bootstrap_median,cluster_bootstrap_ci97_5,stratified_permutation_one_sided_p,stratified_permutation_two_sided_p,permutation_null_ci2_5,permutation_null_ci97_5,bootstrap_seed,bootstrap_reps,permutation_seed,permutation_reps
hit1,0.08490566037735847,-0.06611168423004822,0.0878364830172059,0.2679714482407707,0.2709572904270957,0.38146618533814663,-0.1185983827493261,0.17212167886022328,20260829,50000,20260829,100000
hit3,0.12938005390835583,-0.030000000000000027,0.13738934586760676,0.2819036762337204,0.21570784292157077,0.22072779272207277,-0.07412398921832886,0.18752406623026568,20260829,50000,20260829,100000
hit5,0.16461301501732767,0.0017883686680138513,0.17383512544802868,0.3315789473684211,0.06074939250607494,0.06115938840611594,-0.09703504043126682,0.16461301501732767,20260829,50000,20260829,100000
