market,aligned_N,opposed_N,d_hit1_pp,d_hit3_pp,d_hit5_pp,aligned_hit5,opposed_hit5
BTCUSD,15,39,4.615384615384616,20.0,26.153846153846157,0.4666666666666667,0.20512820512820512
GOLD,16,23,12.228260869565222,15.760869565217392,20.108695652173914,0.375,0.17391304347826086
USDJPY,7,19,48.87218045112782,41.35338345864661,18.045112781954884,0.2857142857142857,0.10526315789473684
XAUEUR,15,17,-18.823529411764707,-14.509803921568626,-2.7450980392156876,0.26666666666666666,0.29411764705882354
