market,year,segment,high_high,dir,p2,stop_at,d1_atr,prior_mfe_6h_d1,prior_mae_6h_d1,prior_endpoint_6h_d1,prior_mfe_24h_d1,prior_mae_24h_d1,prior_endpoint_24h_d1,prior_mfe_48h_d1,prior_mae_48h_d1,prior_endpoint_48h_d1
GOLD,2022,GOLD22,False,-1,1,2022-01-31 21:02:00,19.40071428571423,0.030926696366120297,0.14999447737564184,-0.11597511137292475,0.4958580317366888,0.17731305916570717,0.13350023931372976,0.6004933544420372,0.24432090129229528,0.49276536210008026
GOLD,2022,GOLD22,False,-1,1,2022-02-07 03:00:00,19.20714285714283,0.06872443287467138,0.23428783934548192,-0.18690963183340314,0.5383413908516141,0.23428783934548192,0.3873558943845211,0.8095946448493851,0.23428783934548192,0.6351803644477415
GOLD,2022,GOLD22,False,-1,1,2022-02-07 15:08:00,20.104285714285684,0.3407233709941095,0.13529453563560456,0.3243089604206746,0.45462943224615077,0.13529453563560456,0.22830952888510672,0.9022951751581105,0.13529453563560456,0.7774461735237755
GOLD,2022,GOLD22,False,-1,1,2022-02-08 15:35:00,20.125714285714253,0.30210107893242166,0.127697331061905,0.24496024985802747,0.4904173764906257,0.127697331061905,0.3830919931856811,0.6643242475865941,0.127697331061905,0.08347529812605674
GOLD,2022,GOLD22,False,-1,1,2022-03-04 16:29:00,33.80285714285714,0.5487701800355054,0.26269968726227355,0.5109035584481509,0.5617868312061536,0.26269968726227355,0.5603076663003989,0.5617868312061536,0.26269968726227355,0.5603076663003989
GOLD,2022,GOLD22,False,1,-1,2022-03-16 20:17:00,50.087857142857175,0.0966302069221254,0.589963350113371,-0.5422471942158745,0.0966302069221254,0.9960497982117106,-0.8019907876160425,0.0966302069221254,0.9960497982117106,-0.574989661024199
GOLD,2022,GOLD22,False,1,-1,2022-04-27 11:01:00,24.773571428571408,0.5937779315514733,0.43029726378917993,0.38791338696190847,0.9796730386644754,0.43029726378917993,0.468644580918602,0.9796730386644754,0.8666493671251063,-0.7923766686849516
GOLD,2022,GOLD22,False,-1,1,2022-05-23 01:00:00,31.543571428571425,0.1867258440705632,0.17594710264713065,0.16833857928941656,0.5195987409705428,0.17594710264713065,0.14012363850456516,0.6540159869568206,0.17594710264713065,0.5500328344013993
GOLD,2022,GOLD22,False,1,-1,2022-05-25 13:15:00,29.101428571428592,0.44808796819007257,0.07044327720779378,0.295861764272737,0.44808796819007257,0.07044327720779378,0.27455696823916365,0.4817632909528241,0.18452702371018018,-0.1625349761916455
GOLD,2022,GOLD22,False,1,-1,2022-05-31 17:26:00,27.73285714285717,0.28269716169576764,0.15288724050893748,0.19832071292432885,0.5188791016329213,0.22428269716169652,0.11214134858084417,0.5188791016329213,0.9620357492402012,-0.8232112501931743
GOLD,2022,GOLD22,False,-1,1,2022-05-30 09:16:00,25.36357142857145,0.027204370722917447,0.3599650792756716,-0.3457714945506763,0.027204370722917447,0.6828691317694074,-0.3777070601819225,0.027204370722917447,1.3314371004534042,-1.1508631614520275
GOLD,2022,GOLD22,False,1,-1,2022-06-14 21:41:00,24.46857142857141,0.1614315740308287,0.11320644558617403,-0.05966837926202863,0.1614315740308287,1.1242993928071001,-0.9963801961700193,0.1614315740308287,1.7871905651564712,-1.6592713685193812
GOLD,2022,GOLD22,True,1,-1,2022-07-13 09:23:00,21.670714285714244,0.01707373347835618,0.41438412604238933,-0.26348923827417076,0.7401694188997657,1.0378061241306593,-0.06414186360790217,1.1665513036026247,1.0378061241306593,0.7701638155509346
GOLD,2022,GOLD22,True,-1,1,2022-07-22 12:12:00,25.222857142857134,0.7988785681921199,0.011101042138648673,0.4999433620299101,0.7988785681921199,0.011101042138648673,0.31677616674218445,0.7988785681921199,0.011101042138648673,0.31677616674218445
GOLD,2022,GOLD22,False,-1,1,2022-07-25 11:36:00,26.37642857142857,0.2377122430741727,0.487935656836457,-0.47087496953448116,0.2377122430741727,0.5743764724997917,-0.2574268150675644,0.2377122430741727,0.6168386275624875,-0.23809136945866066
GOLD,2022,GOLD22,True,1,-1,2022-08-17 18:06:00,21.12357142857138,0.20451087140296637,0.2911439488722871,0.1013086261116501,0.20451087140296637,0.3943461941636034,0.1410746288844566,0.8701180130524429,0.3943461941636034,0.6888039766002767
GOLD,2022,GOLD22,False,1,-1,2022-09-01 01:19:00,19.30642857142855,0.3516963261681882,0.12172111435865901,0.26675052721150677,1.0514632431832465,0.12172111435865901,0.6992489548262985,1.0514632431832465,0.46098634799660143,-0.17040956010211084
GOLD,2022,GOLD22,False,-1,1,2022-09-08 09:22:00,20.16357142857144,0.47213858089198935,0.12299408409791432,0.13886428849764193,0.47213858089198935,0.728541570725143,0.16713309008465918,0.5326437351659642,0.728541570725143,-0.0838145169860808
GOLD,2022,GOLD22,False,-1,1,2022-09-21 14:51:00,23.50928571428569,0.03658129006775984,0.4738553155288135,-0.2313979278704489,0.5134141524625506,0.9472852672196399,-0.25521830279828667,0.5134141524625506,1.478139337040077,-1.2488682283596118
GOLD,2022,GOLD22,True,1,-1,2022-10-07 15:46:00,29.725714285714275,0.2634083044982752,0.298731257208762,0.02623990772780374,0.2634083044982752,0.298731257208762,0.11875240292195986,0.2634083044982752,0.298731257208762,0.11875240292195986
GOLD,2022,GOLD22,True,-1,1,2022-11-14 17:14:00,29.49214285714285,0.0033907336094328444,0.2834653297488479,-0.12443992346630103,0.39027343844607504,0.2834653297488479,-0.1498704255370705,0.39027343844607504,0.2834653297488479,0.012884787715852518
GOLD,2022,GOLD22,False,-1,1,2022-11-25 04:21:00,26.901428571428564,0.08661250066379637,0.32600499176889114,-0.23009930433859271,0.08661250066379637,0.47618288991556285,-0.12304179278848508,0.08661250066379637,0.47618288991556285,-0.12304179278848508
GOLD,2022,GOLD22,False,-1,1,2022-12-14 08:45:00,23.56785714285716,0.02079102894377973,0.3360509168055794,-0.32968631610850024,0.06152447340506326,0.986513108046673,-0.7026519169571118,0.06152447340506326,1.6560691013789943,-1.2754659796938896
GOLD,2023,GOLD2325,False,-1,1,2023-03-06 09:23:00,19.453571428571404,0.10794932990636594,0.45801358545989096,-0.20356159353772932,0.10794932990636594,0.6230218468882022,-0.39272994308794396,0.10794932990636594,2.4052138791995605,-2.2098769965118445
GOLD,2023,GOLD2325,False,1,-1,2023-04-27 15:44:00,28.39428571428568,0.3497182531696465,0.24828939424431345,-0.16975246528477153,0.3497182531696465,0.26167236868585486,0.11974240289796274,0.3497182531696465,0.3845844234252395,-0.1852485409539142
GOLD,2023,GOLD2325,False,-1,1,2023-05-03 16:35:00,30.52499999999996,0.6312858312858315,0.1601965601965637,0.20278460278460483,2.0458640458640502,0.1601965601965637,0.5588861588861579,2.0458640458640502,0.4022932022932019,-0.3066339066339038
GOLD,2023,GOLD2325,False,1,-1,2023-05-30 08:13:00,23.803571428571395,0.23021755438859823,0.7927381845461331,-0.7532483120780232,0.23021755438859823,1.0947936984246054,-0.9313728432107975,0.23021755438859823,1.5699324831207777,-1.1162190547636899
