prior,confirmed_oppN,fillN,acceptedN,blockedN,WR,avg_positive_R,EV_R,total_R,TP5,BE,SL
DP1_DMI_H1,479,454,444,10,0.21846846846846846,2.9922680412371134,-0.12781531531531531,-56.75,58,39,347
DP2_DMI_H1H4,355,337,336,1,0.21726190476190477,3.113013698630137,-0.10639880952380952,-35.75,46,27,263
DP3_MACD_H1H4,392,369,364,5,0.23626373626373626,3.1482558139534884,-0.019917582417582416,-7.25,55,31,278
C1_DISP_H1_24,500,472,460,12,0.23478260869565218,3.1458333333333335,-0.026630434782608695,-12.25,69,39,352
S1_STRUCT_H1M30,286,270,269,1,0.22676579925650558,3.331967213114754,-0.017657992565055763,-4.75,42,19,208
