prior,agreement,subset,availability,oppN,fillN,acceptedN,hit1,hit3,hit5,WR,avg_pos,EV,totalR
AR25_H1H4,ALIGNED,ALL,807,355,334,328,0.47305389221556887,0.23053892215568864,0.1377245508982036,0.22560975609756098,3.0304054054054053,-0.09070121951219512,-29.75
AR25_H1H4,ALIGNED,DIRECT,807,145,135,135,0.4962962962962963,0.24444444444444444,0.13333333333333333,0.24444444444444444,2.7954545454545454,-0.07222222222222222,-9.75
AR25_H1H4,ALIGNED,NON_DIRECT,807,210,199,198,0.457286432160804,0.22110552763819097,0.1407035175879397,0.2222222222222222,3.1363636363636362,-0.08080808080808081,-16.0
AR25_H1H4,OPPOSED,ALL,807,452,420,406,0.46190476190476193,0.23809523809523808,0.14047619047619048,0.23645320197044334,2.9375,-0.06896551724137931,-28.0
AR25_H1H4,OPPOSED,DIRECT,807,214,197,196,0.4416243654822335,0.22842639593908629,0.14213197969543148,0.22959183673469388,3.0833333333333335,-0.0625,-12.25
AR25_H1H4,OPPOSED,NON_DIRECT,807,238,223,216,0.4798206278026906,0.24663677130044842,0.13901345291479822,0.25,2.8333333333333335,-0.041666666666666664,-9.0
VI14_H1H4,ALIGNED,ALL,837,280,262,259,0.46946564885496184,0.24045801526717558,0.14122137404580154,0.24324324324324326,2.9523809523809526,-0.03861003861003861,-10.0
VI14_H1H4,ALIGNED,DIRECT,837,109,104,104,0.5,0.2692307692307692,0.16346153846153846,0.2692307692307692,3.0267857142857144,0.08413461538461539,8.75
VI14_H1H4,ALIGNED,NON_DIRECT,837,171,158,156,0.44936708860759494,0.22151898734177214,0.12658227848101267,0.22435897435897437,2.892857142857143,-0.1266025641025641,-19.75
VI14_H1H4,OPPOSED,ALL,837,557,526,499,0.44866920152091255,0.23574144486692014,0.1311787072243346,0.23647294589178355,2.7838983050847457,-0.10341365461847389,-51.5
VI14_H1H4,OPPOSED,DIRECT,837,280,264,257,0.42424242424242425,0.22727272727272727,0.13636363636363635,0.22568093385214008,3.0129310344827585,-0.0943579766536965,-24.25
VI14_H1H4,OPPOSED,NON_DIRECT,837,277,262,254,0.4732824427480916,0.24427480916030533,0.12595419847328243,0.24803149606299213,2.6547619047619047,-0.08992094861660078,-22.75
RSI14_H1H4,ALIGNED,ALL,1047,305,288,288,0.4826388888888889,0.2569444444444444,0.1597222222222222,0.2569444444444444,3.081081081081081,0.04861111111111111,14.0
RSI14_H1H4,ALIGNED,DIRECT,1047,122,117,117,0.5128205128205128,0.2905982905982906,0.17094017094017094,0.2905982905982906,2.9558823529411766,0.14957264957264957,17.5
RSI14_H1H4,ALIGNED,NON_DIRECT,1047,183,171,171,0.4619883040935672,0.23391812865497075,0.15204678362573099,0.23391812865497075,3.1875,-0.02046783625730994,-3.5
RSI14_H1H4,OPPOSED,ALL,1047,742,700,613,0.4542857142857143,0.22428571428571428,0.12714285714285714,0.21207177814029363,2.798076923076923,-0.19321895424836602,-118.25
RSI14_H1H4,OPPOSED,DIRECT,1047,360,339,331,0.45132743362831856,0.22418879056047197,0.12979351032448377,0.22356495468277945,2.929054054054054,-0.1216012084592145,-40.25
RSI14_H1H4,OPPOSED,NON_DIRECT,1047,382,361,323,0.45706371191135736,0.22437673130193905,0.12465373961218837,0.22910216718266255,2.8783783783783785,-0.10869565217391304,-35.0
DP3_MACD_H1H4,ALIGNED,ALL,963,392,369,364,0.46883468834688347,0.23848238482384823,0.15176151761517614,0.23626373626373626,3.1482558139534884,-0.019917582417582416,-7.25
DP3_MACD_H1H4,ALIGNED,DIRECT,963,155,146,146,0.5068493150684932,0.2671232876712329,0.17123287671232876,0.2671232876712329,3.1538461538461537,0.1095890410958904,16.0
DP3_MACD_H1H4,ALIGNED,NON_DIRECT,963,237,223,222,0.4439461883408072,0.21973094170403587,0.13901345291479822,0.22072072072072071,3.122448979591837,-0.09009009009009009,-20.0
DP3_MACD_H1H4,OPPOSED,ALL,963,571,534,475,0.4400749063670412,0.22284644194756553,0.12921348314606743,0.20421052631578948,2.8762886597938144,-0.20675105485232068,-98.0
DP3_MACD_H1H4,OPPOSED,DIRECT,963,277,259,257,0.42857142857142855,0.21235521235521235,0.12355212355212356,0.21011673151750973,2.9722222222222223,-0.16536964980544747,-42.5
DP3_MACD_H1H4,OPPOSED,NON_DIRECT,963,294,275,247,0.4509090909090909,0.23272727272727273,0.13454545454545455,0.22672064777327935,3.0267857142857144,-0.08333333333333333,-20.5
C1_DISP_H1_24,ALIGNED,ALL,1391,500,472,460,0.4724576271186441,0.23516949152542374,0.1483050847457627,0.23478260869565218,3.1458333333333335,-0.026630434782608695,-12.25
C1_DISP_H1_24,ALIGNED,DIRECT,1391,220,210,209,0.49047619047619045,0.26666666666666666,0.1761904761904762,0.2679425837320574,3.2276785714285716,0.13277511961722488,27.75
C1_DISP_H1_24,ALIGNED,NON_DIRECT,1391,280,262,259,0.4580152671755725,0.2099236641221374,0.12595419847328243,0.21235521235521235,3.0,-0.15057915057915058,-39.0
C1_DISP_H1_24,OPPOSED,ALL,1391,891,838,708,0.4522673031026253,0.21837708830548927,0.12052505966587113,0.21610169491525424,2.7598039215686274,-0.18635077793493635,-131.75
C1_DISP_H1_24,OPPOSED,DIRECT,1391,400,376,366,0.4521276595744681,0.21808510638297873,0.12234042553191489,0.2185792349726776,2.859375,-0.1564207650273224,-57.25
C1_DISP_H1_24,OPPOSED,NON_DIRECT,1391,491,462,406,0.4523809523809524,0.21861471861471862,0.11904761904761904,0.229064039408867,2.806451612903226,-0.1259259259259259,-51.0
