observed_at,event,timeframe,available_at,object_id,detail
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.05 09:30:00,M30:wave:LOW:1704425400,side=LOW price=0.6354900000 occurred=2024.01.05 03:30:00 confirmed_bar=2024.01.05 09:00:00 wick_bottom=0.6354900000 wick_top=0.6358300000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.05 18:30:00,M30:wave:HIGH:1704468600,side=HIGH price=0.6402200000 occurred=2024.01.05 15:30:00 confirmed_bar=2024.01.05 18:00:00 wick_bottom=0.6381500000 wick_top=0.6402200000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,STRUCTURE_PROTECTED_BREAK,M30,2024.01.05 21:30:00,M30:structure:PROTECTED_BREAK:1704488400,direction=SHORT bar_open=2024.01.05 21:00:00 close=0.6353700000 broken_id=M30:wave:LOW:1704412800 broken_kind=WAVE broken_price=0.6354200000 protected_id=NA protected_price=NA
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.05 23:00:00,M30:wave:LOW:1704475800,side=LOW price=0.6346300000 occurred=2024.01.05 17:30:00 confirmed_bar=2024.01.05 22:30:00 wick_bottom=0.6346300000 wick_top=0.6356900000 trend_at_confirmation=TRANSITION
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.08 04:00:00,M30:wave:HIGH:1704484800,side=HIGH price=0.6370700000 occurred=2024.01.05 20:00:00 confirmed_bar=2024.01.08 03:30:00 wick_bottom=0.6368600000 wick_top=0.6370700000 trend_at_confirmation=TRANSITION
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.08 05:30:00,M30:wave:LOW:1704672000,side=LOW price=0.6349900000 occurred=2024.01.08 00:00:00 confirmed_bar=2024.01.08 05:00:00 wick_bottom=0.6349900000 wick_top=0.6349900000 trend_at_confirmation=TRANSITION
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.08 07:30:00,M30:wave:HIGH:1704688200,side=HIGH price=0.6370100000 occurred=2024.01.08 04:30:00 confirmed_bar=2024.01.08 07:00:00 wick_bottom=0.6368800000 wick_top=0.6370100000 trend_at_confirmation=TRANSITION
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.08 14:30:00,M30:wave:LOW:1704706200,side=LOW price=0.6344900000 occurred=2024.01.08 09:30:00 confirmed_bar=2024.01.08 14:00:00 wick_bottom=0.6344900000 wick_top=0.6353600000 trend_at_confirmation=BEARISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.08 16:00:00,M30:wave:HIGH:1704711600,side=HIGH price=0.6362200000 occurred=2024.01.08 11:00:00 confirmed_bar=2024.01.08 15:30:00 wick_bottom=0.6357700000 wick_top=0.6362200000 trend_at_confirmation=BEARISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.08 21:00:00,M30:wave:LOW:1704735000,side=LOW price=0.6323400000 occurred=2024.01.08 17:30:00 confirmed_bar=2024.01.08 20:30:00 wick_bottom=0.6323400000 wick_top=0.6326600000 trend_at_confirmation=BEARISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.09 07:00:00,M30:wave:HIGH:1704758400,side=HIGH price=0.6354000000 occurred=2024.01.09 00:00:00 confirmed_bar=2024.01.09 06:30:00 wick_bottom=0.6351200000 wick_top=0.6354000000 trend_at_confirmation=BEARISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.09 21:00:00,M30:wave:LOW:1704772800,side=LOW price=0.6338900000 occurred=2024.01.09 04:00:00 confirmed_bar=2024.01.09 20:30:00 wick_bottom=0.6338900000 wick_top=0.6340000000 trend_at_confirmation=BEARISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.09 22:30:00,M30:wave:HIGH:1704812400,side=HIGH price=0.6375400000 occurred=2024.01.09 15:00:00 confirmed_bar=2024.01.09 22:00:00 wick_bottom=0.6368600000 wick_top=0.6375400000 trend_at_confirmation=BEARISH
2025.01.01 00:00:00,STRUCTURE_PROTECTED_BREAK,M30,2024.01.10 11:00:00,M30:structure:PROTECTED_BREAK:1704882600,direction=LONG bar_open=2024.01.10 10:30:00 close=0.6370700000 broken_id=M30:wave:HIGH:1704688200 broken_kind=WAVE broken_price=0.6370100000 protected_id=NA protected_price=NA
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.10 14:00:00,M30:wave:LOW:1704819600,side=LOW price=0.6344300000 occurred=2024.01.09 17:00:00 confirmed_bar=2024.01.10 13:30:00 wick_bottom=0.6344300000 wick_top=0.6349000000 trend_at_confirmation=TRANSITION
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.10 18:00:00,M30:wave:HIGH:1704895200,side=HIGH price=0.6377500000 occurred=2024.01.10 14:00:00 confirmed_bar=2024.01.10 17:30:00 wick_bottom=0.6373800000 wick_top=0.6377500000 trend_at_confirmation=TRANSITION
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.11 10:30:00,M30:wave:LOW:1704938400,side=LOW price=0.6352800000 occurred=2024.01.11 02:00:00 confirmed_bar=2024.01.11 10:00:00 wick_bottom=0.6352800000 wick_top=0.6353700000 trend_at_confirmation=TRANSITION
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.11 14:30:00,M30:wave:HIGH:1704976200,side=HIGH price=0.6368900000 occurred=2024.01.11 12:30:00 confirmed_bar=2024.01.11 14:00:00 wick_bottom=0.6365700000 wick_top=0.6368900000 trend_at_confirmation=TRANSITION
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.11 19:30:00,M30:wave:LOW:1704987000,side=LOW price=0.6346400000 occurred=2024.01.11 15:30:00 confirmed_bar=2024.01.11 19:00:00 wick_bottom=0.6346400000 wick_top=0.6353000000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.12 00:00:00,M30:wave:HIGH:1704988800,side=HIGH price=0.6385700000 occurred=2024.01.11 16:00:00 confirmed_bar=2024.01.11 23:30:00 wick_bottom=0.6376000000 wick_top=0.6385700000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.12 03:00:00,M30:wave:LOW:1705017600,side=LOW price=0.6352700000 occurred=2024.01.12 00:00:00 confirmed_bar=2024.01.12 02:30:00 wick_bottom=0.6352700000 wick_top=0.6357200000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.12 13:30:00,M30:wave:HIGH:1705060800,side=HIGH price=0.6391300000 occurred=2024.01.12 12:00:00 confirmed_bar=2024.01.12 13:00:00 wick_bottom=0.6389800000 wick_top=0.6391300000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.15 02:30:00,M30:wave:LOW:1705276800,side=LOW price=0.6343700000 occurred=2024.01.15 00:00:00 confirmed_bar=2024.01.15 02:00:00 wick_bottom=0.6343700000 wick_top=0.6343700000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.15 08:00:00,M30:wave:HIGH:1705296600,side=HIGH price=0.6367400000 occurred=2024.01.15 05:30:00 confirmed_bar=2024.01.15 07:30:00 wick_bottom=0.6367100000 wick_top=0.6367400000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.15 09:30:00,M30:wave:LOW:1705303800,side=LOW price=0.6361400000 occurred=2024.01.15 07:30:00 confirmed_bar=2024.01.15 09:00:00 wick_bottom=0.6361400000 wick_top=0.6361800000 trend_at_confirmation=BULLISH
