dir,k,candidates,stops,mean_R,stop_rate
LONG,1,13,4.0,0.03807680159599802,0.3076923076923077
LONG,2,4,1.0,-0.08355133493802733,0.25
LONG,3,5,1.0,-0.04914624401516944,0.2
LONG,4,3,1.0,-0.0479871810609129,0.3333333333333333
LONG,5,2,0.0,0.6416991816192165,0.0
LONG,6,1,0.0,0.4617320688130003,0.0
LONG,7,1,0.0,0.64430728816336,0.0
LONG,8,1,0.0,-0.2014106344818476,0.0
LONG,9,1,0.0,-0.1734203152557086,0.0
LONG,10,1,0.0,-0.0333427194556892,0.0
SHORT,1,9,1.0,0.24047926123841393,0.1111111111111111
SHORT,2,9,1.0,0.6606464547111645,0.1111111111111111
SHORT,3,4,0.0,0.20143788100363397,0.0
SHORT,4,5,0.0,-0.13000167995350512,0.0
SHORT,5,4,0.0,-0.194764523068173,0.0
SHORT,6,1,0.0,0.0456742690874572,0.0
SHORT,7,1,0.0,-0.1159544537563135,0.0
