feature,orientation,rows,stops,auc_stop_risk,stopped_median,nonstop_median,bootstrap_q025_auc,bootstrap_q50_auc,bootstrap_q975_auc,bootstrap_valid_draws
h4_wma_oc2_n20_slope_atr,higher_healthier,65,9,0.7559523809523809,0.1457894137136998,0.2490358310952817,0.6009602732793523,0.7712296459033342,0.95463226010101,4990
h4_wma_oc2_n20_span_atr,higher_healthier,65,9,0.7281746031746031,-0.081129981740302,0.8046522223889794,0.5374537037037038,0.7431818181818182,0.955376984126984,4997
h1_wma_oc2_n20_edge_atr,higher_healthier,65,9,0.6845238095238095,0.6051843324499698,1.2112789002117679,0.5104851452382728,0.6943217946152649,0.9012345679012346,4994
h1_wma_oc2_n20_span_atr,higher_healthier,65,9,0.6845238095238095,0.6051843324499698,1.2112789002117679,0.517058237929318,0.6929824561403509,0.900394337463303,4992
m15_sma_oc2_n60_deterioration4h,higher_riskier,65,9,0.683531746031746,0.2372881355932203,0.0338983050847457,0.45833333333333337,0.683512667887668,0.9044716883361598,4996
m15_sma_close_n60_deterioration4h,higher_riskier,65,9,0.6815476190476191,0.2542372881355932,0.0169491525423728,0.5015089142628204,0.6871991807475679,0.9312920875420875,4996
m15_sma_close_n60_support,higher_healthier,65,9,0.6706349206349207,0.7457627118644068,0.9745762711864407,0.4881305488297014,0.6756250458580968,0.9243371212121213,4996
m15_sma_oc2_n60_support,higher_healthier,65,9,0.6676587301587301,0.7627118644067796,0.9661016949152542,0.4465147783251232,0.6724137931034483,0.8968661971830987,4989
m15_wma_oc2_n60_deterioration4h,higher_riskier,65,9,0.6577380952380952,0.3220338983050848,0.02542372881355925,0.4613613360323887,0.6604191756991837,0.9035686728395063,4994
m15_wma_oc2_n60_support,higher_healthier,65,9,0.6517857142857142,0.6779661016949152,0.9661016949152542,0.4479589253980728,0.6543742496998799,0.8903268467787643,4996
m15_sma_oc2_n60_order,higher_healthier,65,9,0.6021825396825397,0.7457627118644068,0.7966101694915254,0.41538069073783357,0.6146384479717814,0.8424748186946012,4999
m15_sma_close_n60_order,higher_healthier,65,9,0.5932539682539683,0.7457627118644068,0.8050847457627119,0.4121358629130967,0.6088362068965517,0.8529590017825311,4993
m15_wma_oc2_n60_order,higher_healthier,65,9,0.5694444444444444,0.864406779661017,0.8559322033898304,0.4116566609491138,0.5765306122448979,0.786911758207768,4995
