market,event_id,h1_open,decision_time,side,ktr,ktr_regime,session,h1_close,action,sl_mult,tp_mult
GOLD#,GOLD-01,2026-04-17 15:00:00,2026-04-17 16:00:00,UPPER,16.039999999999964,NORMAL,EUROPE,4846.26,LONG,2.0,3.0
GOLD#,GOLD-02,2026-04-24 05:00:00,2026-04-24 06:00:00,LOWER,13.909999999999854,LOW,ASIA,4676.8,SHORT,3.0,3.0
GOLD#,GOLD-03,2026-05-15 12:00:00,2026-05-15 13:00:00,LOWER,22.649999999999636,NORMAL,EUROPE,4545.74,SKIP,,
GOLD#,GOLD-04,2026-05-27 13:00:00,2026-05-27 14:00:00,LOWER,13.430000000000291,LOW,EUROPE,4445.7,SHORT,3.5,3.0
GOLD#,GOLD-05,2026-06-25 15:00:00,2026-06-25 16:00:00,UPPER,18.389999999999873,NORMAL,EUROPE,4012.29,SHORT,2.5,2.0
GOLD#,GOLD-06,2026-07-29 08:00:00,2026-07-29 09:00:00,UPPER,11.340000000000146,NORMAL,ASIA,4032.99,SKIP,,
GOLD#,GOLD-07,2026-07-30 16:00:00,2026-07-30 17:00:00,UPPER,47.710000000000036,HIGH,US,4112.26,SKIP,,
GOLD#,GOLD-08,2026-08-18 23:00:00,2026-08-19 00:00:00,LOWER,30.19000000000051,NORMAL,US,4334.15,SHORT,2.5,3.0
BTCUSD#,BTCUSD-01,2026-02-15 06:00:00,2026-02-15 07:00:00,UPPER,302.90000000000873,NORMAL,ASIA,70172.5,SKIP,,
BTCUSD#,BTCUSD-02,2026-04-15 18:00:00,2026-04-15 19:00:00,LOWER,622.7999999999884,NORMAL,US,73823.6,LONG,2.5,2.0
BTCUSD#,BTCUSD-03,2026-04-25 01:00:00,2026-04-25 02:00:00,LOWER,561.9000000000087,NORMAL,US,77322.0,LONG,2.5,1.5
BTCUSD#,BTCUSD-04,2026-05-31 17:00:00,2026-05-31 18:00:00,LOWER,219.10000000000582,LOW,US,73594.5,LONG,3.5,2.0
BTCUSD#,BTCUSD-05,2026-06-14 00:00:00,2026-06-14 01:00:00,UPPER,207.90000000000146,LOW,US,64456.7,LONG,3.0,3.5
BTCUSD#,BTCUSD-06,2026-06-22 04:00:00,2026-06-22 05:00:00,UPPER,528.6999999999971,NORMAL,ASIA,64592.2,LONG,2.5,3.0
BTCUSD#,BTCUSD-07,2026-07-22 08:00:00,2026-07-22 09:00:00,LOWER,350.0,NORMAL,ASIA,65968.7,LONG,2.5,2.5
BTCUSD#,BTCUSD-08,2026-07-27 01:00:00,2026-07-27 02:00:00,UPPER,163.5,LOW,US,65398.7,LONG,3.5,3.0
USDJPY#,USDJPY-01,2026-02-04 11:00:00,2026-02-04 12:00:00,UPPER,0.10200000000000387,LOW,EUROPE,156.64,LONG,3.5,3.5
USDJPY#,USDJPY-02,2026-03-20 11:00:00,2026-03-20 12:00:00,UPPER,0.2330000000000041,NORMAL,EUROPE,158.83,SKIP,,
USDJPY#,USDJPY-03,2026-04-07 22:00:00,2026-04-07 23:00:00,LOWER,0.16800000000000637,LOW,US,159.577,LONG,3.5,2.0
USDJPY#,USDJPY-04,2026-05-01 09:00:00,2026-05-01 10:00:00,LOWER,0.37999999999999545,HIGH,ASIA,155.961,SHORT,1.5,1.5
USDJPY#,USDJPY-05,2026-05-18 06:00:00,2026-05-18 07:00:00,UPPER,0.117999999999995,NORMAL,ASIA,159.031,LONG,2.5,3.0
USDJPY#,USDJPY-06,2026-08-13 15:00:00,2026-08-13 16:00:00,LOWER,0.09200000000001296,LOW,EUROPE,159.169,LONG,3.5,2.0
USDJPY#,USDJPY-07,2026-08-18 07:00:00,2026-08-18 08:00:00,UPPER,0.10699999999999932,NORMAL,ASIA,159.689,LONG,2.0,2.5
USDJPY#,USDJPY-08,2026-08-19 00:00:00,2026-08-19 01:00:00,LOWER,0.15799999999998704,NORMAL,US,159.578,LONG,2.5,2.0
