symbol,dt,decision_time,SIDE,OPEN,HIGH,LOW,CLOSE,M1_COUNT,BB20_MID,BB20_UP,BB20_LO,BB4_MID_OPEN,BB4_UP_OPEN,BB4_LO_OPEN,CLOSE_OUT_BOTH,TR,PRE_ATR20,TR_PREATR,BODY,BODY_RANGE,CLOSE_LOC,UP_WICK,LO_WICK,MA20_DIST_ATR,MA20_SLOPE_6_ATR,BB20_WIDTH,BB4_WIDTH,BB20_WIDTH_CHG,BB4_WIDTH_CHG,BB_WIDTH_RATIO,DISP_6H_ATR,DISP_12H_ATR,DISP_24H_ATR,DISP_48H_ATR,DB_PREV1,DB_COUNT_PREV6,DB_COUNT_PREV24,SAME_SIDE_PREV6,event_close,PRE_ATR20_futurebase,future_1bar_full,future_1bar_n,up_exc_1h,down_exc_1h,path_span_1h,end_disp_1h,up_exc_1h_atr,down_exc_1h_atr,path_span_1h_atr,end_disp_1h_atr,same_exc_1h_atr,opp_exc_1h_atr,side_polarity_1h,future_4bar_full,future_4bar_n,up_exc_4h,down_exc_4h,path_span_4h,end_disp_4h,up_exc_4h_atr,down_exc_4h_atr,path_span_4h_atr,end_disp_4h_atr,same_exc_4h_atr,opp_exc_4h_atr,side_polarity_4h,future_12bar_full,future_12bar_n,up_exc_12h,down_exc_12h,path_span_12h,end_disp_12h,up_exc_12h_atr,down_exc_12h_atr,path_span_12h_atr,end_disp_12h_atr,same_exc_12h_atr,opp_exc_12h_atr,side_polarity_12h,future_24bar_full,future_24bar_n,up_exc_24h,down_exc_24h,path_span_24h,end_disp_24h,up_exc_24h_atr,down_exc_24h_atr,path_span_24h_atr,end_disp_24h_atr,same_exc_24h_atr,opp_exc_24h_atr,side_polarity_24h,server_time_basis,server_timezone_status,session,KTR,KTR_status
BTCUSD#,2025-01-01 21:00:00,2025-01-01 22:00:00,UPPER,94303.56,94791.28,94117.59,94596.32,60,93869.67749999999,94614.81120884267,93124.54379115731,94220.81749999999,94778.43297463641,93663.20202536357,False,673.6900000000023,490.65799999999945,1.3730337628246214,292.7600000000093,0.434561890483766,0.7106087369561799,194.95999999999185,185.97000000000116,1.480955166327701,0.3300720664902744,1490.2674176853616,1115.2309492728382,0.09908716141299267,0.051242076489474986,0.7483428383645274,1.2132890934215133,1.921847804376984,0.937903794496376,0.4280782133380244,False,0,0,0,94596.32,490.65799999999945,True,1,225.61999999999534,47.24000000000524,272.8600000000006,159.15999999998894,0.459831491588837,0.09627887449100044,0.5561103660798374,0.3243807295509074,0.459831491588837,0.09627887449100044,0.6537418456350865,True,4,524.0699999999924,85.07000000000698,609.1399999999994,-35.29000000000815,1.0680963114837485,0.1733794211039198,1.2414757325876682,-0.07192382474148631,1.0680963114837485,0.1733794211039198,0.720688183340424,True,12,1372.9199999999983,235.07000000000698,1607.9900000000052,1194.929999999993,2.7981200754904636,0.4790913426460126,3.277211418136476,2.4353623093886054,2.7981200754904636,0.4790913426460126,0.7076225598417824,True,24,3144.699999999997,235.07000000000698,3379.770000000004,2690.659999999989,6.409148531156122,0.4790913426460126,6.888239873802135,5.4837789254429605,6.409148531156122,0.4790913426460126,0.8608958597774365,RAW_MT5_SERVER_TIME,INFERRED_EET_EEST_FROM_GOLD_WEEKLY_DST_PATTERN_NOT_AUTHORITATIVE,UNKNOWN_SESSION_BOUNDARY_NOT_FROZEN,,NOT_COMPUTED_UNTIL_SESSION_OPEN_H1_MAPPING_IS_FROZEN
BTCUSD#,2025-01-02 02:00:00,2025-01-02 03:00:00,UPPER,94561.03,95350.94,94361.25,95097.84,60,94109.0955,95193.32193926365,93024.86906073634,94758.46250000001,95311.60416498988,94205.32083501013,False,989.6900000000023,442.0929999999993,2.2386466196026715,536.8099999999977,0.5424021663349093,0.7442633551920246,253.10000000000582,199.77999999999884,2.2365079293270926,0.66043004526197,2168.452878527314,1106.2833299797494,0.07150090546183452,0.09761844327388958,0.5101717177876016,1.7836292363823905,2.9582915811831416,1.6454908808779896,6.058906157754127,False,1,1,1,95097.84,442.0929999999993,True,1,387.40000000000873,419.7299999999959,807.1300000000047,-265.86999999999534,0.87628621127231,0.9494156206951855,1.8257018319674954,-0.6013893004413003,0.87628621127231,0.9494156206951855,-0.04005550530891803,True,4,871.4000000000087,419.7299999999959,1291.1300000000047,579.4700000000012,1.9710784834865291,0.9494156206951855,2.9204941041817145,1.3107423098759812,1.9710784834865291,0.9494156206951855,0.3498253467892553,True,12,1766.4000000000087,419.7299999999959,2186.1300000000047,1721.4100000000035,3.9955394000810047,0.9494156206951855,4.94495502077619,3.8937734820501713,3.9955394000810047,0.9494156206951855,0.6160063674163979,True,24,2710.9000000000087,419.7299999999959,3130.6300000000047,1697.2300000000105,6.131967708151935,0.9494156206951855,7.08138332884712,3.8390791077895674,6.131967708151935,0.9494156206951855,0.731855888431405,RAW_MT5_SERVER_TIME,INFERRED_EET_EEST_FROM_GOLD_WEEKLY_DST_PATTERN_NOT_AUTHORITATIVE,UNKNOWN_SESSION_BOUNDARY_NOT_FROZEN,,NOT_COMPUTED_UNTIL_SESSION_OPEN_H1_MAPPING_IS_FROZEN
BTCUSD#,2025-01-02 06:00:00,2025-01-02 07:00:00,UPPER,95000.27,95969.24,94954.09,95677.31,60,94416.762,95677.01701279871,93156.5069872013,95033.505,95580.21570379546,94486.79429620455,True,1015.1500000000087,518.9080000000001,1.9563198100626864,677.0399999999936,0.6669359207998697,0.7124267349652711,291.93000000000757,46.18000000000757,2.4292321567599555,0.8172710769539069,2520.5100255974103,1093.4214075909113,0.055290829466331015,-0.4517721852894847,0.43380958476122267,1.7442012842353587,3.1172577797991012,4.151333184302425,6.282558758007184,False,1,2,1,95677.31,518.9080000000001,True,1,91.93000000000757,312.84999999999127,404.77999999999884,-111.58000000000175,0.17716049858550562,0.6029007068690234,0.780061205454529,-0.21502848289099746,0.17716049858550562,0.6029007068690234,-0.5457779534561598,True,4,503.47000000000116,326.72000000000116,830.1900000000023,441.9400000000023,0.9702490614906709,0.6296299151294663,1.5998789766201371,0.851673128955426,0.9702490614906709,0.6296299151294663,0.21290307038147835,True,12,1941.9300000000076,326.72000000000116,2268.6500000000087,1521.6800000000076,3.7423396825641677,0.6296299151294663,4.371969597693634,2.932465870636042,3.7423396825641677,0.6296299151294663,0.7119696735944285,True,24,2131.4300000000076,326.72000000000116,2458.1500000000087,1105.320000000007,4.107529658436577,0.6296299151294663,4.737159573566043,2.1300885706136863,4.107529658436577,0.6296299151294663,0.7341740739987389,RAW_MT5_SERVER_TIME,INFERRED_EET_EEST_FROM_GOLD_WEEKLY_DST_PATTERN_NOT_AUTHORITATIVE,UNKNOWN_SESSION_BOUNDARY_NOT_FROZEN,,NOT_COMPUTED_UNTIL_SESSION_OPEN_H1_MAPPING_IS_FROZEN
BTCUSD#,2025-01-02 10:00:00,2025-01-02 11:00:00,UPPER,95801.39,96180.78,95609.3,96119.25,60,94873.7015,96091.76627612345,93655.63672387654,95649.345,96055.1792361572,95243.5107638428,True,571.4799999999959,534.692500000001,1.0688012268733802,317.8600000000006,0.556204941555265,0.892332190102892,61.529999999998836,192.0899999999965,2.329466936603753,1.1917709711656401,2436.1295522469154,811.668472314399,0.046781478470037996,-0.6157725217988128,0.33317951894872455,1.7124609004240712,2.55056878486233,5.089916166768728,4.145616405691122,False,1,3,1,96119.25,534.692500000001,True,1,649.8500000000058,113.13999999999942,762.9900000000052,605.5099999999948,1.2153714518157719,0.21159825507183885,1.4269697068876106,1.1324452839716166,1.2153714518157719,0.21159825507183885,0.7034299269977362,True,4,744.9900000000052,113.13999999999942,858.1300000000047,700.0,1.3933054980198971,0.21159825507183885,1.604903753091736,1.3091636781888631,1.3933054980198971,0.21159825507183885,0.7363103492477857,True,12,1689.4900000000052,216.42999999999302,1905.9199999999983,1156.449999999997,3.1597413466618702,0.40477470695772355,3.564516053619594,2.1628319080592955,3.1597413466618702,0.40477470695772355,0.7728865849563537,True,24,1689.4900000000052,216.42999999999302,1905.9199999999983,-20.029999999998836,3.1597413466618702,0.40477470695772355,3.564516053619594,-0.03746078353445915,3.1597413466618702,0.40477470695772355,0.7728865849563537,RAW_MT5_SERVER_TIME,INFERRED_EET_EEST_FROM_GOLD_WEEKLY_DST_PATTERN_NOT_AUTHORITATIVE,UNKNOWN_SESSION_BOUNDARY_NOT_FROZEN,,NOT_COMPUTED_UNTIL_SESSION_OPEN_H1_MAPPING_IS_FROZEN
BTCUSD#,2025-01-02 11:00:00,2025-01-02 12:00:00,UPPER,96091.65,96769.1,96006.11,96724.76,60,95009.889,96403.61030695419,93616.1676930458,95752.2,96632.060403721,94872.339596279,True,762.9900000000052,535.0310000000012,1.426066900796409,633.1100000000006,0.8297749642852412,0.9418865253803972,44.34000000001106,85.5399999999936,3.2051806343931384,1.3216187473249252,2787.4426139083807,1759.720807442005,0.14420951518667757,1.1680290259695818,0.6313029723595395,3.2618296883731768,3.3213776398002914,6.247208105698529,5.1055733219196515,True,2,4,2,96724.76,535.0310000000012,True,1,52.41000000000349,216.7399999999907,269.1499999999942,-47.51999999998952,0.09795694081278164,0.4050980223575647,0.5030549631703464,-0.0888172834844886,0.09795694081278164,0.4050980223575647,-0.610551736949622,True,4,217.85000000000582,319.50999999999476,537.3600000000006,-297.34999999999127,0.4071726684995922,0.5971803502974483,1.0043530187970404,-0.555762189480592,0.4071726684995922,0.5971803502974483,-0.18918415959503654,True,12,1083.9800000000105,821.9399999999878,1905.9199999999983,457.16999999999825,2.026013445949876,1.5362474323917417,3.5622608783416174,0.8544738529169286,2.026013445949876,1.5362474323917417,0.1374874076561571,True,24,1083.9800000000105,821.9399999999878,1905.9199999999983,-201.1999999999971,2.026013445949876,1.5362474323917417,3.5622608783416174,-0.37605297636958723,2.026013445949876,1.5362474323917417,0.1374874076561571,RAW_MT5_SERVER_TIME,INFERRED_EET_EEST_FROM_GOLD_WEEKLY_DST_PATTERN_NOT_AUTHORITATIVE,UNKNOWN_SESSION_BOUNDARY_NOT_FROZEN,,NOT_COMPUTED_UNTIL_SESSION_OPEN_H1_MAPPING_IS_FROZEN
BTCUSD#,2025-01-02 16:00:00,2025-01-02 17:00:00,UPPER,96427.9,97405.62,95902.82,97230.45,60,95651.24549999999,97326.2824591633,93976.20854083668,96668.8,97255.98621682181,96081.6137831782,False,1502.7999999999884,506.3270000000004,2.9680423915769594,802.5500000000029,0.534036465264845,0.8834375831780679,175.16999999999825,525.0799999999872,3.118941909082482,1.5356558113630001,3350.0739183266123,1174.3724336436135,0.04246906728463484,2.0503019569795016,0.3505512004434283,2.1946291625767462,4.00302571263234,6.093512690415473,3.124522294880576,False,2,5,2,97230.45,506.3270000000004,True,1,61.94999999999709,1096.4199999999983,1158.3699999999953,-806.1999999999971,0.12235176081859557,2.1654385407059022,2.287790301524498,-1.5922516476506219,0.12235176081859557,2.1654385407059022,-0.8930393570275519,True,4,388.79000000000815,1209.1600000000035,1597.9500000000116,58.529999999998836,0.7678634558299435,2.388100970321556,3.1559644261515,0.11559723261844379,0.7678634558299435,2.388100970321556,-0.5133890296942891,True,12,578.2900000000081,1209.1600000000035,1787.4500000000116,-294.3600000000006,1.1421275183824044,2.388100970321556,3.5302284887039606,-0.5813634271923093,1.1421275183824044,2.388100970321556,-0.3529441382975699,True,24,578.2900000000081,1209.1600000000035,1787.4500000000116,-245.1999999999971,1.1421275183824044,2.388100970321556,3.5302284887039606,-0.484272021835685,1.1421275183824044,2.388100970321556,-0.3529441382975699,RAW_MT5_SERVER_TIME,INFERRED_EET_EEST_FROM_GOLD_WEEKLY_DST_PATTERN_NOT_AUTHORITATIVE,UNKNOWN_SESSION_BOUNDARY_NOT_FROZEN,,NOT_COMPUTED_UNTIL_SESSION_OPEN_H1_MAPPING_IS_FROZEN
BTCUSD#,2025-01-03 17:00:00,2025-01-03 18:00:00,UPPER,96990.3,97629.24,96728.37,97490.6,60,96785.0875,97447.69859596986,96122.47640403012,96706.76250000001,97455.03648827251,95958.48851172751,True,900.8700000000099,402.5835000000014,2.237722112307153,500.3000000000029,0.5553520485752632,0.8461043213782256,138.63999999999942,261.93000000000757,1.7524625326174799,-0.1721468962339348,1325.2221919397416,1496.547976545,0.06175065991022266,0.6674290948605996,1.1292807995876428,2.402085530082591,1.1402603435063816,2.6487672743666897,7.671501688469602,False,0,0,0,97490.6,402.5835000000014,True,1,923.0599999999977,114.81000000001222,1037.87000000001,346.84999999999127,2.292841112464854,0.2851830738219818,2.578024186286836,0.8615603967872257,2.292841112464854,0.2851830738219818,0.7787584186843995,True,4,1455.5499999999884,114.81000000001222,1570.3600000000006,1070.659999999989,3.6155232392782697,0.2851830738219818,3.900706313100252,2.6594731279349135,3.6155232392782697,0.2851830738219818,0.8537787513690973,True,12,1455.5499999999884,114.81000000001222,1570.3600000000006,678.6499999999942,3.6155232392782697,0.2851830738219818,3.900706313100252,1.6857372445716028,3.6155232392782697,0.2851830738219818,0.8537787513690973,True,24,1455.5499999999884,114.81000000001222,1570.3600000000006,136.5899999999965,3.6155232392782697,0.2851830738219818,3.900706313100252,0.3392836517144792,3.6155232392782697,0.2851830738219818,0.8537787513690973,RAW_MT5_SERVER_TIME,INFERRED_EET_EEST_FROM_GOLD_WEEKLY_DST_PATTERN_NOT_AUTHORITATIVE,UNKNOWN_SESSION_BOUNDARY_NOT_FROZEN,,NOT_COMPUTED_UNTIL_SESSION_OPEN_H1_MAPPING_IS_FROZEN
BTCUSD#,2025-01-04 17:00:00,2025-01-04 18:00:00,LOWER,98004.3,98121.26,97484.04,97627.19,60,98014.50600000001,98410.57037720102,97618.441622799,97917.1575,98158.31822961867,97675.99677038133,False,637.2200000000012,309.6654999999999,2.0577687859965073,-377.1100000000006,0.5918050280907691,0.22464768839648547,116.95999999999185,143.15000000000873,-1.2507560577462014,-0.05145552216825521,792.128754402016,482.3214592373406,-0.06104582230777433,-0.07524356013449818,0.6088927545641853,-0.10469361294686771,-1.7504694581734093,0.4410888523261279,3.8846432683008043,False,0,1,0,97627.19,309.6654999999999,True,1,202.0500000000029,107.94999999999709,310.0,46.64999999999418,0.652478238615548,0.3486019592108166,1.0010801978263646,0.15064642331804542,0.3486019592108166,0.652478238615548,-0.303548387096793,True,4,692.0500000000029,107.94999999999709,800.0,508.3099999999977,2.23483080937335,0.3486019592108166,2.5834327685841667,1.6414808882487646,0.3486019592108166,2.23483080937335,-0.7301250000000072,True,12,1119.8800000000047,107.94999999999709,1227.8300000000017,530.0200000000041,3.6164183611025607,0.3486019592108166,3.9650203203133776,1.7115887950062383,0.3486019592108166,3.6164183611025607,-0.8241613252649033,True,24,1119.8800000000047,381.15000000000873,1501.0300000000134,371.0399999999936,3.6164183611025607,1.230844249682347,4.847262610784908,1.198196118069316,1.230844249682347,3.6164183611025607,-0.4921487245424737,RAW_MT5_SERVER_TIME,INFERRED_EET_EEST_FROM_GOLD_WEEKLY_DST_PATTERN_NOT_AUTHORITATIVE,UNKNOWN_SESSION_BOUNDARY_NOT_FROZEN,,NOT_COMPUTED_UNTIL_SESSION_OPEN_H1_MAPPING_IS_FROZEN
BTCUSD#,2025-01-04 22:00:00,2025-01-04 23:00:00,UPPER,98150.02,98640.26,98150.02,98568.26,60,97986.6515,98434.45373050196,97538.84926949805,97935.04000000001,98619.16288224411,97250.9171177559,False,504.75999999999476,321.0255000000005,1.5723361539815186,418.2399999999907,0.8531331592689267,0.8531331592689267,72.0,0.0,1.8117205642542,-0.232249463048854,895.6044610039098,1368.2457644882088,0.24404099535591617,0.08470635649906644,1.5277344230225263,1.756776330852223,2.1585201175607134,0.8955674860719773,4.026346816685889,False,1,1,0,98568.26,321.0255000000005,True,1,178.81000000001222,255.00999999999476,433.820000000007,-236.5899999999965,0.5569962510766652,0.7943605726024705,1.3513568236791356,-0.7369819531470122,0.5569962510766652,0.7943605726024705,-0.17564888663496683,True,4,178.81000000001222,452.36999999999534,631.1800000000076,-385.58000000000175,0.5569962510766652,1.4091403953891348,1.9661366464657999,-1.2010883870595985,0.5569962510766652,1.4091403953891348,-0.4334104375930477,True,12,178.81000000001222,821.2399999999907,1000.0500000000029,-737.9700000000012,0.5569962510766652,2.5581768426495386,3.1151730937262037,-2.298789348509698,0.5569962510766652,2.5581768426495386,-0.6423978801059713,True,24,178.81000000001222,1322.2200000000012,1501.0300000000134,-323.3099999999977,0.5569962510766652,4.118738231075099,4.675734482151764,-1.0071162571197527,0.5569962510766652,4.118738231075099,-0.761750264818144,RAW_MT5_SERVER_TIME,INFERRED_EET_EEST_FROM_GOLD_WEEKLY_DST_PATTERN_NOT_AUTHORITATIVE,UNKNOWN_SESSION_BOUNDARY_NOT_FROZEN,,NOT_COMPUTED_UNTIL_SESSION_OPEN_H1_MAPPING_IS_FROZEN
BTCUSD#,2025-01-05 16:00:00,2025-01-05 17:00:00,LOWER,97659.2,97936.32,97246.04,97824.3,60,98077.341,98659.59388879307,97495.08811120693,97676.9675,97867.01462655872,97486.92037344127,False,690.2800000000134,286.76699999999835,2.4071109995223208,165.10000000000582,0.2391783044561665,0.837718027467112,112.02000000000407,413.1600000000035,-0.8823923254767769,-0.17472547399104799,1164.505777586135,380.09425311745144,0.012967791884542557,-0.11156921016049093,0.3263996284375128,-0.020888038023868582,-1.2987198666513062,-0.6276524146780896,2.925894541561643,False,0,2,0,97824.3,286.76699999999835,True,1,426.83000000000175,148.58000000000175,575.4100000000035,173.92999999999302,1.48842091314553,0.5181209832372714,2.0065418963828012,0.606520276042899,0.5181209832372714,1.48842091314553,-0.4835682382996443,True,4,477.4799999999959,277.5899999999965,755.0699999999924,63.84999999999127,1.6650451411773275,0.9679984098588684,2.633043551036196,0.22265462901934893,0.9679984098588684,1.6650451411773275,-0.26473042234495003,True,12,1452.9599999999919,277.5899999999965,1730.5499999999884,960.3300000000017,5.066691774158115,0.9679984098588684,6.034690184016983,3.348816286392811,0.9679984098588684,5.066691774158115,-0.679188697234985,True,24,3440.1699999999983,277.5899999999965,3717.7599999999948,2881.979999999996,11.996394285256038,0.9679984098588684,12.964392695114906,10.049901139252468,0.9679984098588684,11.996394285256038,-0.8506681442589102,RAW_MT5_SERVER_TIME,INFERRED_EET_EEST_FROM_GOLD_WEEKLY_DST_PATTERN_NOT_AUTHORITATIVE,UNKNOWN_SESSION_BOUNDARY_NOT_FROZEN,,NOT_COMPUTED_UNTIL_SESSION_OPEN_H1_MAPPING_IS_FROZEN
