idx,year,stage,direction,p_stop,mu_nonstop,EV,R,pnl,rid,L,decision
2809,2024,k3p,LONG,0.15536905645542431,0.02167851845119481,-0.13705870896134315,-0.6677524429967417,-8.199999999999818,976,4,2024-01-02 08:00:00
2810,2024,k3p,LONG,0.05917035136217714,0.09421461051955124,0.029469547549481577,-0.8143621084797353,-10.659999999999854,976,4,2024-01-02 12:00:00
2822,2024,k3p,LONG,0.40872986388883165,0.46638701930481763,-0.13296914750399003,-1.0,-6.198218979956437,980,3,2024-01-04 12:00:00
2827,2024,k3p,LONG,0.7594898809129246,0.6539356600232877,-0.6022117374454383,-1.0,-1.7799999999999727,982,3,2024-01-05 08:00:00
2837,2024,k3p,LONG,0.29063551993288683,0.6698622730424296,0.18454098310043088,-1.0,-6.1400000000001,986,6,2024-01-09 04:00:00
2838,2024,k3p,LONG,0.19002447213055226,0.07761549878608393,-0.12715781753044347,-1.0,-5.380000000000109,986,6,2024-01-09 08:00:00
2839,2024,k3p,LONG,0.2743541957141768,0.08793408050779328,-0.21054519913996483,-1.0,-6.335926354289995,986,6,2024-01-09 12:00:00
2840,2024,k3p,LONG,0.2667607399500328,0.059606674669255344,-0.2230547859215089,-1.0,-7.6617131771447475,986,6,2024-01-09 16:00:00
2851,2024,k3p,LONG,0.41219555188002444,0.011531343155725585,-0.4054173770802911,-1.0,-4.596265484949754,992,4,2024-01-11 12:00:00
2852,2024,k3p,LONG,0.7460872704322283,0.7162918468396022,-0.5642116524340447,-1.0,-0.3956327424750725,992,4,2024-01-11 16:00:00
2857,2024,k3p,LONG,0.12813222041939798,0.12588880902252442,-0.018373824022883165,0.9284147397009694,9.400000000000093,994,5,2024-01-12 12:00:00
2858,2024,k3p,LONG,0.08780250238708248,0.06031130870263238,-0.032786677510781057,-0.3501507897179328,-8.649999999999864,994,5,2024-01-12 16:00:00
2859,2024,k3p,LONG,0.12525122163478855,0.03733434504014756,-0.09259304891985418,0.3731315689500935,3.6000000000001364,994,5,2024-01-12 20:00:00
2862,2024,k3p,LONG,0.21448108827933815,0.13006085857642863,-0.11231582419292703,-0.11061676377913,-0.8400000000001455,996,3,2024-01-15 12:00:00
2879,2024,k3p,LONG,0.6217944564730215,1.3128381490932677,-0.12527179073224964,4.29478458049902,18.94000000000005,1002,10,2024-01-18 12:00:00
2880,2024,k3p,LONG,0.6147713674880245,1.7825466603325395,0.07191664486066851,21.265957446807285,19.99000000000001,1002,10,2024-01-18 16:00:00
2881,2024,k3p,LONG,0.23055395778767362,0.07920488382403384,-0.16961007340538367,1.3820960698689675,12.659999999999854,1002,10,2024-01-18 20:00:00
2882,2024,k3p,LONG,0.06482232842906684,0.027493691300728124,-0.039110842215561895,0.394023627519097,5.669999999999845,1002,10,2024-01-19 00:00:00
2883,2024,k3p,LONG,0.13037281915496826,0.16017619360798876,0.008920752530835019,0.426936614946632,5.169999999999845,1002,10,2024-01-19 04:00:00
2884,2024,k3p,LONG,0.3242714940694967,-0.016222927717828267,-0.3352337887780833,1.2956824568972192,7.559999999999945,1002,10,2024-01-19 08:00:00
2885,2024,k3p,LONG,0.1495355996416607,0.031227332035241306,-0.12297786542751843,-0.0723105968446718,-0.7400000000000091,1002,10,2024-01-19 12:00:00
2886,2024,k3p,LONG,0.0971013887255194,-0.0017667997375383493,-0.0986966297549429,-0.4289655172413812,-6.220000000000027,1002,10,2024-01-19 16:00:00
2896,2024,k3p,LONG,0.09912013008806551,0.011453609309509644,-0.08880180402329235,-0.4712643678161033,-3.690000000000055,1006,3,2024-01-23 12:00:00
2913,2024,k3p,LONG,0.1928452301046544,0.2124948950294372,-0.021328962003233393,-0.405897592301225,-2.259999999999991,1014,3,2024-01-26 08:00:00
2919,2024,k3p,LONG,0.3227927646342959,0.1958460954737722,-0.19016437176133488,-1.0,-6.819999999999936,1018,4,2024-01-29 12:00:00
2920,2024,k3p,LONG,0.1046195896577819,0.10094806295372233,-0.014232671627025933,-1.0,-13.864933230031284,1018,4,2024-01-29 16:00:00
2924,2024,k3p,LONG,0.7220720353493172,0.7045149165119668,-0.5262676385371006,-1.0,-2.8299999999999272,1020,6,2024-01-30 08:00:00
2925,2024,k3p,LONG,0.4056334507759003,0.04486128004416007,-0.3789694065622769,-1.0,-6.019999999999982,1020,6,2024-01-30 12:00:00
2926,2024,k3p,LONG,0.36760032034536766,0.15537259165359857,-0.26934274315652196,-1.0,-6.44984270671921,1020,6,2024-01-30 16:00:00
2927,2024,k3p,LONG,0.6748773201666953,0.7697412505579185,-0.4246169820070656,1.1460674157302857,3.059999999999945,1020,6,2024-01-30 20:00:00
2933,2024,k3p,LONG,0.04669357382355095,0.06153616805800549,0.011969250628419623,-1.0,-13.527186271146547,1024,3,2024-01-31 20:00:00
2941,2024,k3p,LONG,0.21309839406613693,0.10897456659759772,-0.12734613260454059,-0.1772223422846797,-1.6900000000000546,1028,4,2024-02-02 04:00:00
2942,2024,k3p,LONG,0.6611660596532792,0.024024560577715737,-0.6530257231276333,-0.4593036863949592,-2.5,1028,4,2024-02-02 08:00:00
2952,2024,k3p,LONG,0.6521569163930068,0.7589711631373605,-0.388154046638521,-1.0,-3.992507579027461,1032,4,2024-02-06 04:00:00
2953,2024,k3p,LONG,0.3986369612112933,1.292717008439984,0.37875526727802183,-1.0,-5.800000000000182,1032,4,2024-02-06 08:00:00
2957,2024,k3p,LONG,0.08979559576032076,0.09986570346154836,0.0011026073628743471,-0.2630702789217173,-2.4200000000000728,1034,4,2024-02-07 00:00:00
2958,2024,k3p,LONG,0.17822445067504816,-0.029337414374043497,-0.2023332204880515,-0.3289516365074484,-1.740000000000009,1034,4,2024-02-07 04:00:00
2982,2024,k3p,LONG,0.7322430850919215,1.223563547174825,-0.4046254845064052,-1.0,-2.5,1042,4,2024-02-13 08:00:00
2983,2024,k3p,LONG,0.1536763477950415,0.13822825376953565,-0.03669050722689425,-1.0,-9.860000000000127,1042,4,2024-02-13 12:00:00
2993,2024,k3p,LONG,0.6623029991793941,1.2920369387730275,-0.2259860000063058,-0.1811846689895332,-0.5199999999999818,1044,3,2024-02-15 04:00:00
2997,2024,k3p,LONG,0.1509723827294988,0.15235323586101399,-0.02162027790297144,-0.2077635762981692,-2.1699999999998454,1046,7,2024-02-15 20:00:00
2998,2024,k3p,LONG,0.15881149782121792,0.14617548671706404,-0.035850359094436374,-1.0,-7.5810320733639855,1046,7,2024-02-16 00:00:00
2999,2024,k3p,LONG,0.45398854536485417,0.06141662016614842,-0.42045436724916124,-1.0,-5.389266036682102,1046,7,2024-02-16 04:00:00
3000,2024,k3p,LONG,0.613020692451596,0.032890572489220615,-0.6002927214848468,-1.0,-2.295883018341101,1046,7,2024-02-16 08:00:00
3001,2024,k3p,LONG,0.7650737419051487,0.5711304642962519,-0.630900199044055,-1.0,-1.8299999999999272,1046,7,2024-02-16 12:00:00
3004,2024,k3p,LONG,0.11691989135653878,0.06168509807819986,-0.06244700824395949,-0.1966806461458281,-2.950000000000045,1048,5,2024-02-19 04:00:00
3005,2024,k3p,LONG,0.10626911634364643,0.08390924105418643,-0.03127683618935441,-0.3339534982990544,-3.910000000000082,1048,5,2024-02-19 08:00:00
3006,2024,k3p,LONG,0.21825896883371765,-0.010804885042259044,-0.22670559080828637,-0.4479353533020438,-3.3299999999999272,1048,5,2024-02-19 12:00:00
3013,2024,k3p,LONG,0.16231020159791207,0.05119014700628083,-0.11942873767204744,-0.4821681563478927,-5.960000000000036,1052,4,2024-02-20 16:00:00
3014,2024,k3p,LONG,0.22419732818867158,0.005653981543390363,-0.2198109542009374,-0.5020147722161605,-4.620000000000118,1052,4,2024-02-20 20:00:00
3019,2024,k3p,LONG,0.718524021634544,0.634247401839507,-0.5399986136760202,-1.0,-2.7799999999999727,1054,3,2024-02-21 16:00:00
3024,2024,k3p,LONG,0.4110822740230275,0.2728438792421516,-0.2503996771130039,-1.0,-4.769999999999982,1056,3,2024-02-22 12:00:00
3040,2024,k3p,LONG,0.3120929115829711,0.9661993264765627,0.3525624539240155,-1.0,-3.099999999999909,1064,5,2024-02-27 08:00:00
3041,2024,k3p,LONG,0.3646364518494622,0.26615234993606185,-0.19553295044548238,-1.0,-5.072238764652639,1064,5,2024-02-27 12:00:00
