idx,year,stage,direction,p_stop,mu_nonstop,EV,R,pnl,rid,L,decision
2815,2024,k1,LONG,0.40919304,0.34203514609397095,-0.20711629370108456,-1.0,-5.659999999999855,978,1,2024-01-03 08:00:00
2820,2024,k1,LONG,0.10105821,0.4511377626277742,0.30448839165398894,-0.166955017301041,-1.930000000000064,980,3,2024-01-04 04:00:00
2825,2024,k1,LONG,0.26469636,0.5972911808759407,0.1744940200219482,-0.6173184357541809,-4.419999999999845,982,3,2024-01-05 00:00:00
2830,2024,k1,LONG,0.16340224,0.3789990302855055,0.15366748799680013,0.0964061608670882,1.6900000000000546,984,2,2024-01-05 20:00:00
2835,2024,k1,LONG,0.13908938,0.401096707912625,0.20621905341924757,0.0092506938020478,0.1000000000001364,986,6,2024-01-08 20:00:00
2843,2024,k1,LONG,0.6739328,0.964204203327055,-0.3595374170362559,-1.0,-4.930000000000064,988,1,2024-01-10 04:00:00
2845,2024,k1,LONG,0.19109794,1.137169868184083,0.7287610644215252,-1.0,-10.230000000000018,990,2,2024-01-10 12:00:00
2849,2024,k1,LONG,0.29379833,0.49544894415748053,0.056088545583150184,-1.0,-9.240000000000007,992,4,2024-01-11 04:00:00
2855,2024,k1,LONG,0.1381562,0.3573456611548058,0.16981994582188903,0.6855282924386598,13.690000000000056,994,5,2024-01-12 04:00:00
2860,2024,k1,LONG,0.25702626,0.6247094094377591,0.20711643425425053,0.3923267326732125,3.169999999999618,996,3,2024-01-15 04:00:00
2864,2024,k1,LONG,0.39563674,0.4325047759913013,-0.13424673981538965,-0.7174721189591169,-3.8600000000001273,998,1,2024-01-16 00:00:00
2871,2024,k1,LONG,0.37773237,0.5135662386232966,-0.05815673358466328,-1.0,-6.0,1000,1,2024-01-17 04:00:00
2877,2024,k1,LONG,0.14436811,0.46576090569705186,0.25415177097027114,1.811340206185552,17.569999999999936,1002,10,2024-01-18 04:00:00
2891,2024,k1,LONG,0.57426107,2.4811849432278343,0.48207595530645,-1.0,-4.060000000000173,1004,1,2024-01-22 16:00:00
2894,2024,k1,LONG,0.6626639,0.8107792087351826,-0.3891587621349991,1.2337164750956486,3.2199999999998,1006,3,2024-01-23 04:00:00
2899,2024,k1,LONG,0.3779774,0.5325677484787203,-0.04670821010373727,-0.5760869565217304,-4.240000000000009,1008,2,2024-01-24 00:00:00
2902,2024,k1,LONG,0.23742647,0.45802498197138075,0.11185125731643147,-1.0,-8.039999999999964,1010,2,2024-01-24 12:00:00
2908,2024,k1,LONG,0.67778516,0.8602690385732736,-0.40059370595133154,-1.0,-3.289999999999964,1012,2,2024-01-25 12:00:00
2911,2024,k1,LONG,0.40948632,0.4070578095565074,-0.16911310783321853,0.1163101604277926,0.8699999999998909,1014,3,2024-01-26 00:00:00
2915,2024,k1,LONG,0.48666716,0.5581131296827799,-0.20016935620817622,-1.0,-6.419999999999845,1016,1,2024-01-26 16:00:00
2917,2024,k1,LONG,0.3640294,0.36894993389364483,-0.12938809944049395,0.846582984658281,6.069999999999936,1018,4,2024-01-29 04:00:00
2922,2024,k1,LONG,0.13751543,0.42325033663899103,0.22753146074393377,0.3258064516128979,4.039999999999964,1020,6,2024-01-30 00:00:00
