stage,direction,source,lift2024,rho2024,top25_meanR2024,all
k1,LONG,mu_nonstop,0.5380031368228719,-0.011107080617903838,0.758291916081252,mu_nonstop:0.538/-0.011;neg_pstop:-0.196/0.076;EV:-0.378/0.047
k1,SHORT,mu_nonstop,0.18941250737496895,-0.24595293170290608,0.14909265960552714,mu_nonstop:0.189/-0.246;neg_pstop:-0.037/0.267;EV:-0.190/0.049
k2,LONG,mu_nonstop,0.36166725886496615,-0.24944406140874514,0.569642955527172,mu_nonstop:0.362/-0.249;EV:0.054/0.309;neg_pstop:-0.015/0.341
k2,SHORT,EV,0.11085542387266109,0.13684502470060644,-0.022343841548609158,EV:0.111/0.137;mu_nonstop:0.048/-0.210;neg_pstop:-0.045/0.291
k3p,LONG,mu_nonstop,0.24395769436181952,-0.1271033625070576,0.41204499803280464,mu_nonstop:0.244/-0.127;EV:0.074/0.183;neg_pstop:-0.108/0.247
k3p,SHORT,neg_pstop,0.082929663475294,0.406963585480884,-0.013024833763617604,neg_pstop:0.083/0.407;EV:0.027/0.328;mu_nonstop:-0.216/-0.222
