scope,events,units,pnl,R,pf,wr,ddR
ALL,1544,3840,18890.902461090183,708.2931086635349,1.4754503822729268,0.37694300518134716,128.70783596612569
2025,1008,2556,10188.1912439509,507.1984193163125,1.5321983276906885,0.375,128.70783596612569
2026,536,1284,8702.711217139284,201.09468934722247,1.4226864149442306,0.3805970149253731,116.06861741983624
LONG,1112,3004,16071.01682378064,803.7577416411392,1.5721580283433956,0.40197841726618705,117.66255073120499
SHORT,432,836,2819.885637309544,-95.46463297760431,1.2421703283513506,0.3125,126.00930270937367
k1,331,699,2531.397837892755,136.40953717113288,1.4010146520632252,0.33534743202416917,33.96254005239818
k2,335,701,1302.2834094208279,151.76472069327315,1.1865942296785004,0.34328358208955223,47.519808303305766
k3p,878,2440,15057.221213776596,420.11885079912884,1.5694662105424892,0.4054669703872437,105.20060611746476
