idx,year,stage,direction,p_stop,mu_nonstop,EV,R,pnl,rid,L,decision
2811,2024,k1,SHORT,0.115932904,0.33243977962233057,0.17796617375121337,0.1802232854864613,2.2600000000002183,977,4,2024-01-02 16:00:00
2816,2024,k1,SHORT,0.12644033,0.521315510349364,0.32895986538015204,1.593238822246536,14.610000000000127,979,4,2024-01-03 12:00:00
2823,2024,k1,SHORT,0.12378368,0.27521233002473877,0.11736184961550067,-0.2925682031984886,-3.1099999999999,981,2,2024-01-04 16:00:00
2828,2024,k1,SHORT,0.2599971,0.40853927192565287,0.04232313432336465,-1.0,-8.889999999999873,983,2,2024-01-05 12:00:00
2831,2024,k1,SHORT,0.43948847,0.3826260731947147,-0.22502214506219972,2.407185628742515,16.080000000000155,985,4,2024-01-08 04:00:00
2841,2024,k1,SHORT,0.16042009,0.28632761768017123,0.07997483406698724,-0.2848101265822747,-4.0499999999999545,987,2,2024-01-09 20:00:00
2844,2024,k1,SHORT,0.3561546,0.8588671565864083,0.19682311059320257,-1.0,-5.860000000000127,989,1,2024-01-10 08:00:00
2847,2024,k1,SHORT,0.10110067,0.2980883124615544,0.16685071210297653,-0.3489808523780155,-5.650000000000091,991,2,2024-01-10 20:00:00
2853,2024,k1,SHORT,0.113645546,0.2879996673458738,0.14162423957865578,-0.6580013504388903,-19.49000000000001,993,2,2024-01-11 20:00:00
2863,2024,k1,SHORT,0.5935184,0.9210804639238875,-0.21911609386269681,-0.0869565217391485,-0.3800000000001091,997,2,2024-01-15 16:00:00
2865,2024,k1,SHORT,0.6550621,1.2417626957050711,-0.2267310373312577,4.371002132196063,20.499999999999773,999,6,2024-01-16 04:00:00
2872,2024,k1,SHORT,0.12734544,0.23097978635069677,0.07422012041459411,0.7744318045320508,9.170000000000073,1001,5,2024-01-17 08:00:00
2887,2024,k1,SHORT,0.26795116,0.13576710950456994,-0.16856300169105076,0.5765853658536444,5.909999999999855,1003,5,2024-01-19 20:00:00
2892,2024,k1,SHORT,0.1797682,0.4124018463888628,0.15849690216407164,-0.020833333333341,-0.1800000000000636,1005,2,2024-01-22 20:00:00
2897,2024,k1,SHORT,0.10650516,0.3084457194073412,0.16908949706507648,-0.2952086553323143,-3.820000000000164,1007,2,2024-01-23 16:00:00
2901,2024,k1,SHORT,0.44112596,0.9096746332409329,0.06726755186251532,-1.0,-5.039999999999964,1009,1,2024-01-24 08:00:00
2904,2024,k1,SHORT,0.10414697,0.23173731515990315,0.1034556065719206,0.0799309948246181,1.3900000000001,1011,4,2024-01-24 20:00:00
2910,2024,k1,SHORT,0.19396861,0.2447332560360731,0.0032940814641322647,-0.6119221411192329,-5.029999999999973,1013,1,2024-01-25 20:00:00
2914,2024,k1,SHORT,0.6821356,1.397201346818311,-0.23801498899338036,-1.0,-3.009999999999991,1015,1,2024-01-26 12:00:00
2916,2024,k1,SHORT,0.19149622,0.6154239079371457,0.3060763123409005,-1.0,-10.120000000000118,1017,2,2024-01-26 20:00:00
2921,2024,k1,SHORT,0.17350586,0.13302465703088617,-0.06356175577209454,-0.4410692588092468,-3.630000000000109,1019,1,2024-01-29 20:00:00
2928,2024,k1,SHORT,0.13401587,0.19630303887471562,0.03597944558334856,0.2032730404823515,2.3600000000001278,1021,1,2024-01-31 00:00:00
2930,2024,k1,SHORT,0.5206665,1.4577864245369192,0.17809941812323382,-1.0,-3.520000000000209,1023,1,2024-01-31 08:00:00
2934,2024,k1,SHORT,0.107105955,0.10258724467097369,-0.015506417199926667,-0.3055051421657569,-5.0499999999999545,1025,2,2024-02-01 00:00:00
2937,2024,k1,SHORT,0.20125651,0.39434970031484806,0.1137277408964385,-1.0,-8.470000000000027,1027,2,2024-02-01 12:00:00
2943,2024,k1,SHORT,0.71011966,0.41746031927662636,-0.5891061273297575,-1.0,-3.519999999999982,1029,3,2024-02-02 12:00:00
2947,2024,k1,SHORT,0.18604687,0.3575273304928221,0.10496363232149802,0.328490718321225,4.069999999999936,1031,3,2024-02-05 08:00:00
2954,2024,k1,SHORT,0.26397735,0.6680751405499853,0.22774108734095005,-1.0,-6.230000000000018,1033,1,2024-02-06 12:00:00
2959,2024,k1,SHORT,0.7156592,2.341160139055429,-0.04997185695907158,-1.0,-2.880000000000109,1035,2,2024-02-07 08:00:00
2963,2024,k1,SHORT,0.12903857,0.203885344355448,0.048537698293201176,-0.2335456475583894,-2.200000000000045,1037,1,2024-02-08 00:00:00
2965,2024,k1,SHORT,0.6760963,1.12789870008702,-0.3107657806986401,-1.0,-4.619999999999891,1039,4,2024-02-08 08:00:00
2971,2024,k1,SHORT,0.6848267,2.1504214542324496,-0.007071185910105471,-1.0,-2.1900000000000546,1041,10,2024-02-09 08:00:00
2984,2024,k1,SHORT,0.14648755,0.1102937595912758,-0.05235045021926593,0.4418811002661957,9.960000000000036,1043,7,2024-02-13 16:00:00
2994,2024,k1,SHORT,0.71500534,2.3447173405111985,-0.04677341269761126,-1.0,-2.369999999999891,1045,1,2024-02-15 08:00:00
3002,2024,k1,SHORT,0.4350019,1.0658855486531884,0.16722138969961975,-1.0,-5.0,1047,1,2024-02-16 16:00:00
3007,2024,k1,SHORT,0.39267606,0.5022605716362728,-0.08764118386392777,-0.19869706840391,-1.2200000000000273,1049,2,2024-02-19 16:00:00
3010,2024,k1,SHORT,0.71506846,2.0217829707015604,-0.13899872313398298,-1.0,-1.509999999999991,1051,1,2024-02-20 04:00:00
3015,2024,k1,SHORT,0.3355957,0.3346543454392327,-0.11324992006560008,-1.0,-6.810000000000173,1053,2,2024-02-21 00:00:00
3020,2024,k1,SHORT,0.2791574,0.5448830916172226,0.11361754425466875,-0.3665283540802329,-2.650000000000091,1055,2,2024-02-21 20:00:00
3025,2024,k1,SHORT,0.18215437,0.2825943504503436,0.04896418579529477,-0.1305285868392706,-1.2100000000000364,1057,3,2024-02-22 16:00:00
3029,2024,k1,SHORT,0.2729187,1.1540603489071994,0.5661769962376106,-1.0,-4.830000000000155,1059,2,2024-02-23 08:00:00
3033,2024,k1,SHORT,0.108723536,0.24882741427728616,0.11305048548408927,-0.1795634920634879,-1.8099999999999452,1061,2,2024-02-26 04:00:00
3036,2024,k1,SHORT,0.590554,0.9288578029723604,-0.21023688597336854,0.3607305936072803,1.5799999999999272,1063,2,2024-02-26 16:00:00
3043,2024,k1,SHORT,0.17150633,0.379109805067603,0.14258373757275072,-0.5139092240117171,-3.509999999999991,1065,5,2024-02-27 20:00:00
3053,2024,k1,SHORT,0.59762734,2.161672322803312,0.27217049705040797,-1.0,-2.519999999999982,1067,1,2024-02-29 12:00:00
3056,2024,k1,SHORT,0.33374014,0.20010651597482665,-0.20041720068005392,-0.2222222222222082,-1.599999999999909,1069,2,2024-03-01 00:00:00
3074,2024,k1,SHORT,0.20106494,0.22727126188655444,-0.01948996598549138,-0.3373101952277869,-3.1100000000001278,1071,2,2024-03-06 04:00:00
3084,2024,k1,SHORT,0.45981044,0.21648237190409367,-0.3428689176300134,-0.1671779141104522,-1.0900000000001455,1073,1,2024-03-07 20:00:00
3087,2024,k1,SHORT,0.33451456,0.9000510873463817,0.26445633708624483,-1.0,-5.769999999999982,1075,1,2024-03-08 08:00:00
3092,2024,k1,SHORT,0.13398747,0.1887275474287312,0.029452946280108,-0.2259528130671312,-2.4899999999997817,1077,1,2024-03-11 08:00:00
3098,2024,k1,SHORT,0.18447755,0.46885846872857295,0.19788704606319701,2.0300578034681807,17.559999999999945,1079,5,2024-03-12 08:00:00
3110,2024,k1,SHORT,0.23310865,0.33680307668778553,0.025182715010297785,0.8327137546469018,6.720000000000255,1081,4,2024-03-14 08:00:00
3118,2024,k1,SHORT,0.10454056,0.31553185816081397,0.1780054159889869,0.4112519809825752,5.190000000000055,1083,5,2024-03-15 16:00:00
