phase,family,preprocess,recency,score,params
family,lgb,raw,expanding,0.7812055222048007,"{""n_estimators"": 120, ""num_leaves"": 15, ""max_depth"": 4, ""learning_rate"": 0.04, ""min_child_samples"": 60, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
family,xgb,raw,expanding,0.6324074074074074,"{""n_estimators"": 120, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.85, ""colsample_bytree"": 0.85}"
family,cat,raw,expanding,0.786218937120813,"{""iterations"": 120, ""depth"": 5, ""learning_rate"": 0.04, ""l2_leaf_reg"": 15, ""random_strength"": 0.2}"
family,lgb,eng,expanding,0.8083461825705693,"{""n_estimators"": 120, ""num_leaves"": 15, ""max_depth"": 4, ""learning_rate"": 0.04, ""min_child_samples"": 60, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
family,xgb,eng,expanding,0.6586419753086419,"{""n_estimators"": 120, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.85, ""colsample_bytree"": 0.85}"
family,cat,eng,expanding,0.7861818383102654,"{""iterations"": 120, ""depth"": 5, ""learning_rate"": 0.04, ""l2_leaf_reg"": 15, ""random_strength"": 0.2}"
family,lgb,eng_rank,expanding,0.80099021549238,"{""n_estimators"": 120, ""num_leaves"": 15, ""max_depth"": 4, ""learning_rate"": 0.04, ""min_child_samples"": 60, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
family,xgb,eng_rank,expanding,0.6530864197530865,"{""n_estimators"": 120, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.85, ""colsample_bytree"": 0.85}"
family,cat,eng_rank,expanding,0.7775970555552085,"{""iterations"": 120, ""depth"": 5, ""learning_rate"": 0.04, ""l2_leaf_reg"": 15, ""random_strength"": 0.2}"
hparam,lgb,eng,expanding,0.7893104236899331,"{""n_estimators"": 140, ""num_leaves"": 7, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_samples"": 50, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
hparam,lgb,eng,expanding,0.6513374485596708,"{""n_estimators"": 200, ""num_leaves"": 15, ""max_depth"": 4, ""learning_rate"": 0.03, ""min_child_samples"": 80, ""reg_lambda"": 20, ""reg_alpha"": 1}"
recency,lgb,eng,expanding,0.7893104236899331,"{""n_estimators"": 140, ""num_leaves"": 7, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_samples"": 50, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
recency,lgb,eng,roll730,0.7893104236899331,"{""n_estimators"": 140, ""num_leaves"": 7, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_samples"": 50, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
recency,lgb,eng,exp365,0.7948811796935895,"{""n_estimators"": 140, ""num_leaves"": 7, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_samples"": 50, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
recency,lgb,eng,exp730,0.7944461275990857,"{""n_estimators"": 140, ""num_leaves"": 7, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_samples"": 50, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
prune,lgb,top16,exp365,0.7951898216688982,"{""n_estimators"": 140, ""num_leaves"": 7, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_samples"": 50, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
prune,lgb,top33,exp365,0.7948811796935895,"{""n_estimators"": 140, ""num_leaves"": 7, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_samples"": 50, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
