m5_index,year,decision,origin,S,rh,ah,pb,actual_leg,reveal_i,direction,phase,reveal_time,reveal_close,reveal_min,reveal_pos_s,reveal_overshoot_s,reveal_eff,reveal_flip,reveal_align,reveal_path_s,pre_reveal_mae_s,reveal_speed,origin_lost_before_accept,pullback_extreme,retest_i,accept_i,retest_level,accept_time,accept_close,pb_depth_s,accept_pos_s,t_reveal_retest,t_retest_accept,accept_eff,accept_flip,accept_align,accept_path_s,retest_accept_eff,run_accept,prog1,prog3,prog5,atr1_s,tv5_60,dist_target_s,dist_fail_s,geom_ratio,A_pre_target,A_touch,A_touch_i,A_close,A_close_i,A_equal25,terminal60_dir_s,B_i,B_time,B_close,B_pos_s,B_time_from_accept,B_eff,B_flip,B_align,B_path_s,B_prog1,B_prog3,B_prog5,B_atr1_s,B_tv5_60,B_dist_target_s,B_dist_fail_s,B_pre_target,B_touch,B_close_out,C_i,C_time,C_close,C_pos_s,C_time_from_B,C_eff,C_flip,C_align,C_path_s,C_prog1,C_prog3,C_prog5,C_atr1_s,C_tv5_60,C_dist_target_s,C_dist_fail_s,C_pre_target,C_touch,C_close_out,reveal_prog1,reveal_prog3,reveal_prog5,reveal_retain_origin_15,accept_retain_origin_15,accept_retain_extreme_15,reveal_retain_origin_30,accept_retain_origin_30,accept_retain_extreme_30,reveal_retain_origin_60,accept_retain_origin_60,accept_retain_extreme_60
141814,2024,2024-01-02 15:35:00,2069.45,8.502601473729385,15,60,0.25,1,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141818,2024,2024-01-02 15:55:00,2066.94,8.502601473729385,15,60,0.25,1,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141827,2024,2024-01-02 16:40:00,2066.94,8.818844225605845,15,60,0.25,1,708417,-1,0,2024-01-02 16:43:00,2063.27,3.0,0.4161543061781372,0.1661543061781372,1.0,0.0,1.0,0.4161543061781372,0.0340180631752929,0.0833333333333333,1.0,2069.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23699250678810632,0.38327017844199496,0.38327017844199496,0.0,,,0.0,,,0.0,,
141835,2024,2024-01-02 17:20:00,2065.09,8.818844225605845,15,60,0.25,1,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141839,2024,2024-01-02 17:40:00,2057.45,8.818844225605845,15,60,0.25,1,708478,1,0,2024-01-02 17:44:00,2060.04,4.0,0.2936892787469795,0.0436892787469794,1.0,0.0,1.0,0.2936892787469795,0.0487592238846123,0.0625,1.0,2057.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13607225270127496,0.26987663452424865,0.26987663452424865,0.0,,,0.0,,,0.0,,
141845,2024,2024-01-02 18:10:00,2065.57,8.818844225605845,15,60,0.25,1,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142073,2024,2024-01-03 14:10:00,2044.86,8.622699710421738,15,60,0.25,1,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142090,2024,2024-01-03 15:35:00,2042.94,8.622699710421738,15,60,0.25,1,709741,-1,0,2024-01-03 15:48:00,2039.38,13.0,0.4128637340457523,0.1628637340457522,0.4944444444444493,0.25,0.7692307692307693,0.8350053048116255,0.23078618841322,0.0192307692307692,0.0,2040.34,709743.0,709743.0,2040.27,2024-01-03 15:50:00,2039.93,0.1113340406415307,0.3490786065948678,2.0,0.0,0.3711467324291241,0.3571428571428571,0.7333333333333333,0.9405406975030542,1.0,1.0,0.0208751326202721,0.1971540303027551,0.23078618841322,0.1192649186288408,1.1429762392060678,0.1509213934051348,0.0475489131906463,3.1740239703480677,0.0,0.0,709745.0,0.0,709745.0,0.0,0.3293632035646108,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2609391577536396,0.2945713158641044,0.3606759024950191,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
142093,2024,2024-01-03 15:50:00,2039.93,8.622699710421738,15,60,0.25,1,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142100,2024,2024-01-03 16:25:00,2035.92,9.326078302534455,15,60,0.25,1,709790,-1,0,2024-01-03 16:37:00,2032.76,12.0,0.3388348132506371,0.0888348132506371,0.4388888888888975,0.6363636363636364,0.6666666666666666,0.7720286884191582,0.1329604963388551,0.0208333333333333,0.0,2033.58,709791.0,709791.0,2033.55,2024-01-03 16:38:00,2033.42,0.0879254895143967,0.268065516812206,1.0,0.0,0.3180661577608091,0.6666666666666666,0.6153846153846154,0.8427979848575893,1.0,0.0,-0.0707692964384311,0.2423312271982332,0.2691377788794538,0.1239939949844357,1.4136403875271548,0.2319344831877893,0.0171561930759655,13.518993907437228,0.0,0.0,709792.0,0.0,709792.0,0.0,-0.0654079861021675,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1694174066253064,0.2594874202742233,0.3420515994523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
