phase,rh,pb,actual,outcome,feature_group,test_year,n_train,n_test,base,auc,brier,logloss,mean_p
0,15,0.25,0,A_touch,geom2,2025,261,231,0.42424242424242425,0.6858216970998926,0.2212249578778355,0.6366790467575121,0.3643982085066306
0,15,0.25,0,A_touch,geom2,2026,492,140,0.32857142857142857,0.6868640148011101,0.20645700472399484,0.6000890657460707,0.4011125015988191
0,15,0.25,0,A_touch,path7,2025,261,231,0.42424242424242425,0.6634187509590302,0.22788053914010134,0.655009420979593,0.36952241146080106
0,15,0.25,0,A_touch,path7,2026,492,140,0.32857142857142857,0.6537927844588345,0.2175866031520259,0.6285998403445573,0.3876011329085302
0,15,0.25,0,A_touch,base9,2025,261,231,0.42424242424242425,0.6684057081479208,0.2262328447237234,0.6514842550085688,0.37185643876045726
0,15,0.25,0,A_touch,base9,2026,492,140,0.32857142857142857,0.6662812210915818,0.2153340725290064,0.6195252289909295,0.39609722445139206
0,15,0.25,0,A_touch,extended_path,2025,261,231,0.42424242424242425,0.6605032990639865,0.22993076164512075,0.6579975055481563,0.3758858162426238
0,15,0.25,0,A_touch,extended_path,2026,492,140,0.32857142857142857,0.6262719703977798,0.22706837894174023,0.6504808280515659,0.3908342016380872
0,15,0.25,0,A_touch,geom_path,2025,261,231,0.42424242424242425,0.6731624980819396,0.2279416971915341,0.6551125807958432,0.37043873634768987
0,15,0.25,0,A_touch,geom_path,2026,492,140,0.32857142857142857,0.6773820536540242,0.212672701706525,0.6158268654376932,0.3962460910954373
0,15,0.25,0,A_close,geom2,2025,264,233,0.45064377682403434,0.609375,0.2435493415944178,0.6803676998095227,0.3889276820950723
0,15,0.25,0,A_close,geom2,2026,497,138,0.3695652173913043,0.6804146946134776,0.215985601598597,0.6227627897242695,0.42166786787594057
0,15,0.25,0,A_close,path7,2025,264,233,0.45064377682403434,0.5819940476190476,0.2461703346193362,0.6880459271520737,0.39620812944443273
0,15,0.25,0,A_close,path7,2026,497,138,0.3695652173913043,0.6125760649087222,0.2280450051066796,0.6478511572102235,0.4131317955563988
0,15,0.25,0,A_close,base9,2025,264,233,0.45064377682403434,0.5702380952380951,0.2496042921916654,0.6950005796885754,0.3947633359061775
