phase,rh,pb,actual_leg,year,fresh_n,reveal_n,accept_n,A_touch_resolved_n,A_touch_target_rate,A_touch_amb_n,A_touch_cens_n,A_close_resolved_n,A_close_target_rate,A_close_amb_n,A_close_cens_n,A_equal25_resolved_n,A_equal25_target_rate,A_equal25_amb_n,A_equal25_cens_n,B_state_n,C_state_n
2,15,0.25,1,2024,733,493,316,288,0.3923611111111111,2,0,290,0.41724137931034483,0,0,286,0.4755244755244755,0,4,107,56
2,15,0.25,1,2025,579,370,235,219,0.4018264840182648,2,1,220,0.44545454545454544,0,2,221,0.5384615384615384,0,1,83,42
2,15,0.25,1,2026,292,200,144,130,0.35384615384615387,0,1,128,0.3984375,0,3,128,0.5,0,3,47,23
2,15,0.4,0,2024,733,493,265,238,0.41596638655462187,1,0,237,0.4219409282700422,0,2,235,0.4765957446808511,0,4,92,56
2,15,0.4,0,2025,579,370,214,199,0.41708542713567837,1,1,199,0.4371859296482412,0,2,200,0.525,0,1,78,43
2,15,0.4,0,2026,292,200,127,114,0.35964912280701755,0,1,113,0.415929203539823,0,2,113,0.48672566371681414,0,2,45,22
2,15,0.4,1,2024,733,493,233,221,0.45248868778280543,1,0,220,0.42727272727272725,0,2,217,0.46543778801843316,0,5,89,50
2,15,0.4,1,2025,579,370,189,181,0.49171270718232046,0,1,180,0.46111111111111114,0,2,181,0.5138121546961326,0,1,78,44
2,15,0.4,1,2026,292,200,108,104,0.4230769230769231,0,1,103,0.47572815533980584,0,2,102,0.5196078431372549,0,3,42,22
2,15,0.5,0,2024,733,493,229,207,0.4396135265700483,1,1,206,0.4320388349514563,0,3,204,0.47058823529411764,0,5,86,48
2,15,0.5,0,2025,579,370,180,168,0.44642857142857145,0,1,167,0.4431137724550898,0,2,168,0.49404761904761907,0,1,70,37
2,15,0.5,0,2026,292,200,106,95,0.4631578947368421,0,1,94,0.5106382978723404,0,2,93,0.5376344086021505,0,3,45,25
2,15,0.5,1,2024,733,493,185,174,0.46551724137931033,1,3,172,0.45348837209302323,0,6,171,0.4502923976608187,0,7,76,39
2,15,0.5,1,2025,579,370,140,135,0.5185185185185185,0,1,134,0.5149253731343284,0,2,135,0.5259259259259259,0,1,64,35
2,15,0.5,1,2026,292,200,86,84,0.5238095238095238,0,1,83,0.5301204819277109,0,2,82,0.5487804878048781,0,3,41,24
2,30,0.25,0,2024,733,634,415,373,0.3780160857908847,3,0,376,0.38563829787234044,0,0,367,0.49591280653950953,0,9,135,74
2,30,0.25,0,2025,579,502,348,323,0.4024767801857585,3,2,325,0.4276923076923077,0,3,318,0.5251572327044025,0,10,124,64
2,30,0.25,0,2026,292,259,187,169,0.3136094674556213,0,0,167,0.3473053892215569,0,2,164,0.4817073170731707,0,5,57,27
2,30,0.25,1,2024,733,634,390,358,0.388268156424581,2,0,360,0.40555555555555556,0,0,350,0.4857142857142857,0,10,132,71
2,30,0.25,1,2025,579,502,326,309,0.3818770226537217,2,2,310,0.41935483870967744,0,3,307,0.5146579804560261,0,6,112,53
2,30,0.25,1,2026,292,259,182,165,0.3575757575757576,0,2,163,0.3803680981595092,0,4,162,0.49382716049382713,0,5,59,30
2,30,0.4,0,2024,733,634,324,294,0.4387755102040816,1,0,293,0.43686006825938567,0,2,286,0.4965034965034965,0,9,120,73
2,30,0.4,0,2025,579,502,292,276,0.4057971014492754,1,1,276,0.42391304347826086,0,2,275,0.5054545454545455,0,3,106,55
2,30,0.4,0,2026,292,259,153,138,0.35507246376811596,0,1,137,0.38686131386861317,0,2,136,0.47794117647058826,0,3,51,26
2,30,0.4,1,2024,733,634,286,274,0.4854014598540146,1,0,272,0.45588235294117646,0,3,266,0.5,0,9,117,67
2,30,0.4,1,2025,579,502,255,246,0.46747967479674796,0,1,245,0.4489795918367347,0,2,244,0.4959016393442623,0,3,103,54
2,30,0.4,1,2026,292,259,134,129,0.4186046511627907,0,1,128,0.453125,0,2,126,0.49206349206349204,0,4,50,26
2,30,0.5,0,2024,733,634,281,256,0.47265625,1,1,253,0.45849802371541504,0,5,250,0.508,0,8,114,64
2,30,0.5,0,2025,579,502,240,227,0.44052863436123346,0,1,226,0.4424778761061947,0,2,226,0.48672566371681414,0,2,94,48
2,30,0.5,0,2026,292,259,131,118,0.4661016949152542,0,1,117,0.47863247863247865,0,2,115,0.5130434782608696,0,4,54,29
2,30,0.5,1,2024,733,634,227,216,0.49074074074074076,1,3,212,0.47641509433962265,0,8,211,0.4786729857819905,0,9,99,52
2,30,0.5,1,2025,579,502,194,188,0.4946808510638298,0,1,187,0.49732620320855614,0,2,188,0.5106382978723404,0,1,86,46
2,30,0.5,1,2026,292,259,105,102,0.5,0,1,101,0.48514851485148514,0,2,99,0.494949494949495,0,4,47,25
