pb,phase,year,direction,n,base,auc,topq,bottomq
0.25,0,2025,-1,119,0.3949579831932773,0.6932624113475176,0.7,0.2
0.25,0,2025,1,103,0.4368932038834951,0.6164750957854406,0.5769230769230769,0.34615384615384615
0.25,0,2026,-1,52,0.34615384615384615,0.803921568627451,0.7692307692307693,0.0
0.25,0,2026,1,85,0.3764705882352941,0.5283018867924528,0.4090909090909091,0.2727272727272727
0.25,2,2025,-1,116,0.3879310344827586,0.697339593114241,0.6206896551724138,0.20689655172413793
0.25,2,2025,1,103,0.4174757281553398,0.7178294573643411,0.6923076923076923,0.23076923076923078
0.25,2,2026,-1,52,0.34615384615384615,0.7647058823529411,0.6923076923076923,0.07692307692307693
0.25,2,2026,1,78,0.358974358974359,0.5421428571428571,0.45,0.2
0.4,0,2025,-1,98,0.46938775510204084,0.645066889632107,0.56,0.28
0.4,0,2025,1,79,0.5189873417721519,0.5770218228498074,0.7,0.5
0.4,0,2026,-1,42,0.40476190476190477,0.7552941176470588,0.7272727272727273,0.18181818181818182
0.4,0,2026,1,68,0.4117647058823529,0.4910714285714286,0.5294117647058824,0.5294117647058824
0.4,2,2025,-1,97,0.4639175257731959,0.6653846153846154,0.68,0.24
0.4,2,2025,1,84,0.5238095238095238,0.6602272727272728,0.7142857142857143,0.3333333333333333
0.4,2,2026,-1,44,0.4772727272727273,0.7080745341614907,0.7272727272727273,0.2727272727272727
0.4,2,2026,1,60,0.38333333333333336,0.508813160987074,0.4666666666666667,0.3333333333333333
0.5,0,2025,-1,74,0.5135135135135135,0.6717836257309943,0.631578947368421,0.3684210526315789
0.5,0,2025,1,64,0.53125,0.6509803921568627,0.875,0.4375
0.5,0,2026,-1,36,0.5555555555555556,0.728125,0.7777777777777778,0.4444444444444444
0.5,0,2026,1,59,0.4915254237288136,0.5494252873563218,0.6,0.4666666666666667
0.5,2,2025,-1,72,0.4861111111111111,0.5451737451737451,0.4444444444444444,0.4444444444444444
0.5,2,2025,1,63,0.5555555555555556,0.6755102040816326,0.8125,0.375
0.5,2,2026,-1,34,0.6176470588235294,0.7252747252747253,0.7777777777777778,0.3333333333333333
0.5,2,2026,1,50,0.46,0.5072463768115942,0.5384615384615384,0.5384615384615384
