pb,phase,cutoff,t_reveal_retest,t_retest_accept,accept_eff,accept_flip,prog1,prog3,prog5
0.25,0,2025,0.16335678328587477,-0.13436539341222087,-0.0023426853679442967,-0.13924500685803787,0.9053705764308918,0.267362451086573,-0.04820217508721584
0.25,0,2026,0.22022507620430726,0.03209369721430773,0.25768971130371715,-0.05029946993375462,0.7606005003102387,0.10596858048921891,0.07372623097429681
0.25,2,2025,0.18617133661219357,-0.259695743945158,0.06175942317098974,-0.10970352928460864,0.8457795600791667,0.165204220492639,0.11034840781971794
0.25,2,2026,0.20059431521625282,-0.04838035401903602,0.2054159455514799,-0.0662075772387853,0.791035174160536,0.1396862996498836,0.1067168718210133
0.4,0,2025,0.06324231100317873,-0.06833924105273398,0.008956957249032433,-0.1465829994798451,0.6090730852269463,0.3048070669240131,-0.16011551828508325
0.4,0,2026,0.13364357308644934,-0.02868042037063629,0.15668861335593973,0.03056575093032288,0.5907150871453954,0.09604134018834715,0.07437982800218713
0.4,2,2025,0.12847166945291078,-0.29914488481655943,-0.012598618548482932,-0.0992383839919153,0.49304390838754314,0.1644075215115606,0.0503204213902388
0.4,2,2026,0.16994630631740135,-0.17370199699862607,0.0407074218630428,0.03293851325674502,0.5285911595168881,0.07690176961911965,0.16234796797075796
0.5,0,2025,-0.006132960961646136,-0.039957764447954056,0.2731967844730308,-0.07647978447917064,0.2725140895454065,0.24589039160222273,-0.03439260065320342
0.5,0,2026,-0.011117802232271257,-0.0849442953402521,0.271547865326914,-0.007658902425576762,0.32202115657898983,0.14641976429962467,0.0924140623985555
0.5,2,2025,0.21285260305808013,-0.21773327748417967,0.2958111233839885,-0.18618566661667085,0.2696070895711266,0.30861052929921784,0.05064368259537098
0.5,2,2026,0.07080979630750675,-0.13283641479095198,0.11227542176282979,-0.09051748653770993,0.31937379234054697,0.16249148693282026,0.12555749668588884
