pb,phase,mode,ntrain,ntest,auc
0.25,0,expanding,472,137,0.6388505747126436
0.25,0,prev_year,222,137,0.6119540229885058
0.25,0,only2024,250,137,0.6422988505747126
0.25,2,expanding,507,130,0.6379399585921325
0.25,2,prev_year,219,130,0.6286231884057971
0.25,2,only2024,288,130,0.6410455486542443
0.4,0,expanding,375,110,0.6003418803418804
0.4,0,prev_year,177,110,0.5517948717948719
0.4,0,only2024,198,110,0.6304273504273504
0.4,2,expanding,402,104,0.5973484848484849
0.4,2,prev_year,181,104,0.5833333333333334
0.4,2,only2024,221,104,0.603030303030303
0.5,0,expanding,297,95,0.6273291925465839
0.5,0,prev_year,138,95,0.5967169476486246
0.5,0,only2024,159,95,0.6357586512866015
0.5,2,expanding,309,84,0.6102272727272728
0.5,2,prev_year,135,84,0.5738636363636364
0.5,2,only2024,174,84,0.5681818181818181
