H,phase,year,n,same_hit,opp_hit,same_first,opp_first,neither,ambig,ret_auc_same,ext_auc_same
60,0,2025,214,0.37383177570093457,0.028037383177570093,0.3691588785046729,0.028037383177570093,0.602803738317757,0.0,0.4753731343283582,0.5438432835820896
60,0,2026,136,0.3382352941176471,0.058823529411764705,0.3382352941176471,0.058823529411764705,0.6029411764705882,0.0,0.4359903381642512,0.5954106280193237
60,2,2025,210,0.3952380952380952,0.03333333333333333,0.3904761904761905,0.03333333333333333,0.5761904761904761,0.0,0.4616260316857983,0.5343895266103785
60,2,2026,131,0.33587786259541985,0.061068702290076333,0.33587786259541985,0.061068702290076333,0.6030534351145038,0.0,0.4205851619644723,0.5765412748171369
120,0,2025,214,0.5046728971962616,0.10747663551401869,0.5,0.09345794392523364,0.40654205607476634,0.0,0.48986722571628233,0.5496156533892383
120,0,2026,138,0.47101449275362317,0.14492753623188406,0.45652173913043476,0.11594202898550725,0.427536231884058,0.0,0.49399367755532136,0.5614330874604847
120,2,2025,210,0.5285714285714286,0.10476190476190476,0.5190476190476191,0.09047619047619047,0.3904761904761905,0.0,0.482027482027482,0.5425425425425425
120,2,2026,132,0.48484848484848486,0.15151515151515152,0.4696969696969697,0.12121212121212122,0.4090909090909091,0.0,0.4696691176470588,0.5337775735294118
240,0,2025,214,0.5514018691588785,0.2102803738317757,0.5420560747663551,0.1542056074766355,0.3037383177570093,0.0,0.4894950564971751,0.5429025423728814
240,0,2026,138,0.5579710144927537,0.2391304347826087,0.5434782608695652,0.18115942028985507,0.2753623188405797,0.0,0.4994677453693847,0.5443900361933148
240,2,2025,210,0.5761904761904761,0.19523809523809524,0.5619047619047619,0.14285714285714285,0.29523809523809524,0.0,0.48323892654842604,0.5171325099823567
240,2,2026,132,0.553030303030303,0.25,0.5378787878787878,0.1893939393939394,0.2727272727272727,0.0,0.4671465056884142,0.5388901787787322
